gene_id,gene_name,A5BKO_1,A5BKO_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000079739.17,PGM1,2165,1943,2334,2326,2350,2571.12986102135,-0.19585319966563594,0.055763563202875295,2.4219883956631583e-4,8.976267807820497e-4,NS
ENSG00000144580.15,CNOT9,3861,3577.001,3299,3137,3180,3216.7972259396925,0.18205079611853914,0.05150735640789846,2.4229649053235855e-4,8.976899584360869e-4,NS
ENSG00000143222.12,UFC1,1302.999,1174.998,1469,1482,1418,1354.4737016984382,-0.23538399856608394,0.0684036843186296,2.424259557721591e-4,8.978709243214286e-4,NS
ENSG00000132604.11,TERF2,1116,1033,818.001,899.999,901,993.2262772371407,0.2534572950864723,0.07444329464331736,2.438140348048926e-4,9.027117372413859e-4,NS
ENSG00000136153.20,LMO7,206.768,167.523,256.297,234.106,291.124,346.867961269556,-0.4136637112029866,0.13485692338256455,2.4764578558234354e-4,9.16593922908129e-4,Down
ENSG00000144579.9,CTDSP1,1236.001,1193,1391,1424.002,1478.002,1586.1353931296421,-0.2365583157186379,0.06891567125599676,2.4810764080494054e-4,9.1799827097828e-4,NS
ENSG00000116459.11,ATP5PB,5598.977,5169.958,4697.919,4755.043,4596.977,4623.023677700751,0.17041156684306505,0.04806285217437158,2.483676927036399e-4,9.186552619197733e-4,NS
ENSG00000165730.16,STOX1,98,86,149,140,155.999,127.2722067941875,-0.5530460983169379,0.19996440937585852,2.4889553474098295e-4,9.203019822079439e-4,Down
ENSG00000197119.13,SLC25A29,1160,963.001,1172,1258.999,1385.999,1285.1109625943884,-0.25805503219928994,0.07614871425131191,2.4995565715777465e-4,9.239150858832182e-4,NS
ENSG00000111817.19,DSE,591,522.001,688,657.002,735.001,613.0273401528069,-0.3008739069156391,0.09115010749086815,2.5125532379345736e-4,9.281928230829561e-4,Down
ENSG00000162413.17,KLHL21,1290,1189,1006,986.999,1030.001,876.5188688493424,0.25240190533015394,0.07426862124384806,2.5127964098007656e-4,9.281928230829561e-4,NS
ENSG00000107262.26,BAG1,1827,1716,2154,2077,2000,1695.2202645856198,-0.23191647204197954,0.06746200783412387,2.5143927312246226e-4,9.284745307575802e-4,NS
ENSG00000149091.15,DGKZ,1960.682,1855.801,2130.718,2131.877,2271.816,2246.5695004296012,-0.19859914224680025,0.05678380632912727,2.515524797030034e-4,9.285846756554023e-4,NS
ENSG00000146830.11,GIGYF1,1722,1467,1809.001,1771,2385.001,1768.4436603960542,-0.3010177363624188,0.09123599445699591,2.5235984057319765e-4,9.312563102928105e-4,Down
ENSG00000134371.14,CDC73,1455,1480,1172,1231.998,1231,1326.1824384783272,0.2358610174706247,0.0687855263207998,2.526775804122675e-4,9.321199778242541e-4,NS
ENSG00000145687.17,SSBP2,2572.001,2380.999,2064.198,2128.999,2157.001,2087.361362575109,0.1927659929985196,0.0549894555805558,2.531775211878844e-4,9.336549845925392e-4,NS
ENSG00000066654.14,THUMPD1,1797,1719.999,1449,1440,1517.001,1492.0550682100675,0.22142115704634105,0.06411975272363342,2.551854538285582e-4,9.407482288277566e-4,NS
ENSG00000176055.10,MBLAC2,446,496,318,343,369,365.91157666298307,0.3735748561414328,0.11884799406999805,2.5599654968015624e-4,9.433579800857022e-4,Up
ENSG00000176485.14,PLAAT3,1,7,18,18,17,64.29605157904503,-1.3852771843071814,0.7480725289012048,2.560627793659942e-4,9.433579800857022e-4,Down
