gene_id,gene_name,Mix_1,Mix_2,Mix_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000088854.13,DNAAF9,495.001,396,471,280,275,333,345.7580366817204,0.39306176525754394,0.1105932415641079,1.9294883912022816e-4,4.00834027472856e-4,Up
ENSG00000137309.21,HMGA1,29116.885,23038.938,24616.938,24904.953,25126.968,23917.956,24257.608170183325,-0.14604154198775993,0.039425519148260514,1.9301230719690352e-4,4.008910975852134e-4,NS
ENSG00000188816.4,HMX2,103,96,80,43,41,40,52.24658864088841,0.7857811346290939,0.2548094029342969,1.9359993901904256e-4,4.0203664382902794e-4,Up
ENSG00000137076.22,TLN1,8531.001,6562,6818,5120,5096.001,6194,6149.705205552934,0.21043561050283224,0.05728027262912957,1.9583472403261518e-4,4.066016632272996e-4,NS
ENSG00000055609.21,KMT2C,2778.131,1886.999,1886.215,1371.184,1466,1756,1715.0288617850742,0.290258391134765,0.08004884910630276,1.9636394920101227e-4,4.0762447385865304e-4,Up
ENSG00000112078.14,KCTD20,4239,3213.999,3338.001,3434,3679,3540.996,3505.211168775369,-0.18261794678168602,0.04955229093760976,1.9683821264330923e-4,4.085328315707295e-4,NS
ENSG00000171365.17,CLCN5,805,544,537,338.999,395.001,481,490.35620996497835,0.39704444483584134,0.11200196625457942,1.9733980607134248e-4,4.0949756292463967e-4,Up
ENSG00000132744.8,ACY3,56,42,37,81,68,71,64.12616027451048,-0.7475236522107821,0.2378491926367448,1.973990887167506e-4,4.095442718029902e-4,Down
ENSG00000121297.8,TSHZ3,575,466,422,341,316,303,358.6384920174949,0.3792575110278636,0.10657932582630766,1.9787808930377614e-4,4.1046159072008844e-4,Up
ENSG00000171204.13,TMEM126B,396,321.001,316.998,397.999,374.999,394.001,379.62954603561474,-0.35530189527085376,0.09936421608536243,1.9887606197297752e-4,4.1245487936555876e-4,Down
ENSG00000105655.19,ISYNA1,1827.001,1635.999,1594,1212.001,1165.001,1343.001,1425.352463396562,0.24032727890210792,0.06577700332518946,1.9902166853243432e-4,4.126800079027594e-4,NS
ENSG00000178996.14,SNX18,310,237,252,294,318,335,292.71122418078164,-0.415480544332808,0.11783535178776657,2.0033965625208155e-4,4.153355829634088e-4,Down
ENSG00000173706.15,HEG1,59,47,42,18,17,14,26.665087056056255,1.0360978443829019,0.38903493580928783,2.004875472767731e-4,4.155648267302107e-4,Up
ENSG00000116209.12,TMEM59,2606.999,2215,2338.001,1795,1813,1687.999,1832.3877360066538,0.23069904629551372,0.06311881681106422,2.0218758274194898e-4,4.190106269067893e-4,NS
