gene_id	gene_name	cDC1_TNFa_1	cDC1_TNFa_2	cDC1_TNFa_3	cDC1_Tumor_1	cDC1_Tumor_2	cDC1_Tumor_3	cDC1_Tumor_TNFa_1	cDC1_Tumor_TNFa_2	cDC1_Tumor_TNFa_3	cDC1_un_1	cDC1_un_2	cDC1_un_3
ENSMUSG00000031546.7	Gins4	1440	1267	1462	1521	1551	1800	1620	1870	1820	1494	1680	1677
ENSMUSG00000031548.8	Sfrp1	0	1	0	5	1	3	2	6	1	0	0	0
ENSMUSG00000031549.17	Ido2	448	469	465.999	161	158	149	338.999	334.001	225.999	1	7	5
ENSMUSG00000031551.13	Ido1	1602	1532	1716	618	587	498	769	856	782	54	65	66
ENSMUSG00000031552.14	Adam18	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031553.17	Adam3	23	28	24	23	26	18	38	49	50	7	6	5
ENSMUSG00000031554.19	Adam5	0	0	0	1	2	2	2	0	5	0	0	0
ENSMUSG00000031555.17	Adam9	2632	2513	2663	5376	6307	6870	6143.001	7928	7438	1825	1818	1879
ENSMUSG00000031556.7	Tm2d2	3992	3772	3930.001	2550.999	2592.999	3138.999	2129.999	2329	2168	5667	5982.999	5451.001
ENSMUSG00000031557.17	Plekha2	8833.999	8287.001	8787.999	4635	4464	5070.999	6909	7464	6508	6251.001	6853	6293
ENSMUSG00000031558.16	Slit2	0	0	0	191	226	275.999	199.001	268	257	0	0	0
ENSMUSG00000031559.16	4930555F03Rik	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000031561.17	Tenm3	0	0	0	6	7	3	5	3	8	0	0	0
ENSMUSG00000031562.17	Dctd	33.999	27	39	280	292.001	324.999	282	392.999	375	52.001	62	55.999
ENSMUSG00000031563.9	Wwc2	147	129	131	1044	1318	1400	1115	1541	1428	180	187	172
ENSMUSG00000031565.20	Fgfr1	738.002	676	721.999	393	357	619.999	259	233	169	2844.999	3128	2642
ENSMUSG00000031568.17	Rwdd4a	842	836	842.999	1339	1345	1484	1413	1677	1639	801	868	844
ENSMUSG00000031570.18	Plpp5	293	333	372	400	449.999	491	381.999	526.999	520	267.998	280	239
ENSMUSG00000031574.9	Star	63	85	71	40	32	43	51	34	39	67	74	49
ENSMUSG00000031575.19	Ash2l	1553	1475.999	1548	2902.999	3192.999	3727	2968.001	3753	3650	1578.001	1818.999	1676.001
ENSMUSG00000031576.17	Kcnu1	0	0	0	28	33	38	41	43	41	2	0	0
ENSMUSG00000031577.11	Tti2	588	593	552	585.001	639	726.999	628	712	728	499	559	459.001
ENSMUSG00000031578.6	Mak16	1450	1366.999	1365.001	2249.001	2565	2880	2161.999	2904	2644	1503.001	1654.999	1448
ENSMUSG00000031583.14	Wrn	1405.999	1346	1425	1199.999	1200.999	1304	1793	2060	1825	1033	1102	985
ENSMUSG00000031584.17	Gsr	4794	4818	5045	2631	2535	2560	4213	4841	4234	1319	1466	1339
ENSMUSG00000031585.14	Gtf2e2	954.999	945	875.001	1250	1392.999	1606.999	1528.999	1784	1681.001	893	934	896
ENSMUSG00000031586.18	Rbpms	451.999	433	461	1086.001	1212.999	1207	1569	1911	1843	119	113	99
ENSMUSG00000031590.9	Frg1	1915	1848	1915	1606	1723	2000	1811	2156	2006	2361	2449	2376
ENSMUSG00000031591.15	Asah1	8434	7593	8143.999	7803	7866.999	9243	7005	8042	7233	10924.001	11434	10957.001
ENSMUSG00000031592.11	Pcm1	1904	1795.001	1854.001	2457.001	2830.001	3051	2592	3641.001	3308	1529.999	1547	1408.999
ENSMUSG00000031594.10	Fgl1	0	0	0	26	21	25	11	13	27	0	0	0
ENSMUSG00000031595.10	Pdgfrl	1	1	0	1	0	0	1	2	1	0	0	2
ENSMUSG00000031596.16	Slc7a2	1	2	2	2	2	3	1	1	4	7	4	3
ENSMUSG00000031600.12	Vps37a	1116.001	1041.001	1097	1620	1746.001	1983	1710.999	2087.001	2035	894	930	902
ENSMUSG00000031601.17	Cnot7	2377.001	2227	2475.998	1892.001	2043.999	2262	2003.001	2448	2305.999	2102.999	2337.001	2000.001
ENSMUSG00000031603.15	Fgf20	5	1	2	2	2	1	1	1	0	1	0	2
ENSMUSG00000031604.11	Msmo1	2046.001	1967.001	2013.001	2757.001	3003.999	3531.001	3294	3998.001	3723.999	1437	1553	1531
ENSMUSG00000031605.9	Klhl2	963	1055	1070.999	923	1048	1189.999	1089	1321.999	1223.001	677.001	716	629
ENSMUSG00000031608.14	Galnt7	2360	2342	2493	1970.001	2156	2089	3236	3589.999	3110	1391.999	1559	1409
ENSMUSG00000031609.4	Sap30	1773	1633	1664	1603	1547	1908	1050	1125	1088	2264	2535	2482
ENSMUSG00000031610.4	Scrg1	0	0	0	34	27	48	39	54	42	0	0	0
ENSMUSG00000031613.10	Hpgd	76	58	63	4	3	11	6	3	6	964	1038	957
ENSMUSG00000031616.8	Ednra	0	1	0	0	1	3	1	2	1	0	0	0
ENSMUSG00000031617.17	Tmem184c	746.999	684.999	744	1462	1684	1884.999	1635	2084	1994	884	901	885.999
ENSMUSG00000031618.14	Nr3c2	1	0	2	13	12	10	9	15	13	0	0	0
ENSMUSG00000031620.17	Iqcm	0	0	0	1	1	1	1	0	1	0	0	0
ENSMUSG00000031621.10	Isx	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031622.17	Sin3b	4717	4704	5178.001	5780	5988.001	6472	9816.999	11086	10603	3628	4070.001	3631
ENSMUSG00000031626.19	Sorbs2	0	0	0	28	60.999	48.999	55	72	61.001	0	0	2
ENSMUSG00000031627.10	Irf2	3687.999	3478.001	3681	2544.001	2378	2726.001	2805	3246	2934.999	2719.001	3034	2875.001
ENSMUSG00000031628.10	Casp3	7248	7165	7653.999	4366.999	4446.001	4235	6926.999	7878	6796	2055.001	2134	2116
ENSMUSG00000031629.15	Cenpu	119.999	132.001	128	144	117	138	94	109.999	124	277	251	262
ENSMUSG00000031631.16	Cfap97	797	734	795	1131	1244.999	1374.999	1249.001	1608.16	1359.999	808.999	924.999	886
ENSMUSG00000031633.5	Slc25a4	7235	6697	7134	21960	24670	27513	24023	30440	29292	6193	6924	6250
ENSMUSG00000031634.14	Ufsp2	1236	1059	1178	1256	1394	1628.006	1341	1640	1559	1154	1194	1074.001
ENSMUSG00000031635.15	Anxa10	0	0	0	1	3	0	1	0	1	0	0	0
ENSMUSG00000031636.8	Pdlim3	0	0	0	0	1	2	2	3	2	5	11	10
ENSMUSG00000031637.14	Lrp2bp	0	1	0	8	7	7	5	8	11	1	1	0
ENSMUSG00000031639.13	Tlr3	1190.999	1102	1029	5437	5826.001	7270	1728	2074.001	2057	7042.999	7671	6658
ENSMUSG00000031640.12	Gm45753	0	1.05	1.041	0	0	0	0	0	3.477	2.138	1.039	1.051
ENSMUSG00000031641.15	Cbr4	328.001	301.999	330	551	642	720	591	775	702.001	385	371.999	335
ENSMUSG00000031642.10	Sh3rf1	590	570	560	547	660	706	684	851	695	392	465	383
ENSMUSG00000031644.20	Nek1	276	307	282	630	671	702.999	650	893.001	848	298	311.999	269
ENSMUSG00000031645.5	F11	0	0	0	1	1	1	0	0	0	0	0	0
ENSMUSG00000031647.11	Mfap3l	3	0	2	51	49	59	47	69	54	1	4	2
ENSMUSG00000031651.6	Triml1	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000031652.12	N4bp1	3463.308	3282.999	3339.168	2798	3052	3177.243	3907	4496	4168.264	1595	1699	1582
ENSMUSG00000031654.17	Cbln1	1	1	0	0	0	1	1	0	0	3	0	1
ENSMUSG00000031657.17	Heatr3	975	818	929.902	1072.001	1140	1313	943.001	1240.999	1186	832.999	935.001	823
ENSMUSG00000031659.14	Adcy7	3801.999	3779	3796	5495.001	5882.001	7255	3922	4806	4595	8900	9461.001	8058.999
ENSMUSG00000031660.15	Brd7	2285.999	2229.999	2396.999	2758	3052	3335.001	2634	3442	3409.999	2551	2787	2610.999
ENSMUSG00000031661.13	Nkd1	17.001	20.001	12	7	6	12	11	7	10	13	10	13
ENSMUSG00000031662.9	Snx20	8043	7976	8275	4432	4160	4546	6964	7414	6607	3947	4321	4019
ENSMUSG00000031665.8	Sall1	1	1	0	3	2	8	16	31	10	0	0	0
ENSMUSG00000031666.16	Rbl2	1962	1873.001	2047	2413	2806	2805.001	2942.998	3731.999	3442	1754.999	1953.999	1767.999
ENSMUSG00000031667.17	Aktip	535	469	506.999	786	837	947.999	854	996.001	1012.001	496.999	553.999	510.999
ENSMUSG00000031668.15	Eif2ak3	2634	2430	2652	4501.001	4778.001	4413.001	6440	8468	7574.001	2235	2459	2131
ENSMUSG00000031669.11	Gins3	789	796	827	857	968	796	1212	1380	1284	404	444	453
ENSMUSG00000031671.12	Setd6	270.001	255	266	492.001	504	661	506	640	667	342.001	355	291
ENSMUSG00000031672.9	Got2	14010.542	12873.164	14407.809	16423.253	17483.249	19716.426	18207.983	21125.812	20737.576	15284.613	16764.675	15894.316
ENSMUSG00000031673.7	Cdh11	25	28	21.051	12.016	7	18.016	17.15	22.006	20.007	15.012	21.007	16.037
ENSMUSG00000031681.17	Smad1	1268.999	1253	1316.999	1101	1128	1160	1231	1318	1193	1555	1726	1542
ENSMUSG00000031682.6	1700011L22Rik	0	2	0	1	1	0	0	1	0	0	0	0
ENSMUSG00000031683.17	Lsm6	2822.988	2659.983	2674.95	1598.975	1610.965	2028.944	1343.969	1585.976	1504.979	3211.99	3424.99	3201.971
ENSMUSG00000031684.12	Slc10a7	812	758	899.001	883.001	929	1073.001	773	960.001	895	1177	1278.001	1137.001
ENSMUSG00000031688.5	Pou4f2	0	0	0	0	0	0	0	0	1.004	0	0	0
ENSMUSG00000031691.15	Tnpo2	3365	3416.999	3357.001	5544	6010	6557.001	6773	8190	7720.999	2959	3044	2691.001
ENSMUSG00000031696.10	Vps35	7234.001	6528	6932	6680	6891.001	7868	7567	8952	8167	5766	6488	6071
ENSMUSG00000031697.13	Orc6	598.001	618.999	622	633.001	670	836.001	564.999	718.999	717.999	734	861	702
ENSMUSG00000031698.15	Mylk3	0	3	1	16	30	29	32	30	29	1	0	0
ENSMUSG00000031700.12	Gpt2	174	198	186	530	642	665	490	674	762	160	201	170
ENSMUSG00000031701.7	Dnaja2	9264	8467	9269	7136	7428	8284	8772	10365	9509	5854	6165	5928
ENSMUSG00000031703.9	Itfg1	2607	2416	2732.001	3695	4289	4666	4229.999	5515.999	5159.999	2336.999	2390	2166
ENSMUSG00000031706.8	Rfx1	615	702.001	726.999	773	867	977.999	894	1092.001	1071	832	1008.001	818
ENSMUSG00000031708.18	Tecr	3462	3160.98	3525.983	3702.999	4051.986	4759.983	3823	4735.001	4748	3601.001	4025.999	3748.981
ENSMUSG00000031709.16	Tbc1d9	23614	23326	23906	12608	12416	15200.001	7351	7285	6148	31956	33680	30740
ENSMUSG00000031710.5	Ucp1	20	26	31	11	12	9	16	6	5	19	26	9
ENSMUSG00000031711.8	Zfp330	1432.444	1325.086	1424.881	1415.831	1518.704	1654.609	1431.699	1827.673	1650.707	1413.697	1635.557	1462.379
ENSMUSG00000031712.11	Il15	1037	993	1064.001	805.001	758	749.001	1445.998	1524	1331	386	443	371.001
ENSMUSG00000031714.11	Gab1	2	8	9	602	785	911	626	875	870	7	6	5
ENSMUSG00000031715.15	Smarca5	5123.661	5009.605	4925.51	4267.8	4578.785	5073.934	4668.851	6007.717	5254.846	4273.986	4829.751	4339.063
ENSMUSG00000031722.11	Hp	23	15	17	7	4	7	14	7	8	7	5	8
ENSMUSG00000031723.9	Txnl4b	118	123	135	237	263	304	285	330	314	202	228	241
ENSMUSG00000031725.9	Ces1f	0	1	0	1	0	0	1	0	2	0	0	0
ENSMUSG00000031727.9	Pmfbp1	0	0	0	0	3	0	1	1	1	0	0	0
ENSMUSG00000031728.11	Zfp821	299.999	337	326.001	600.999	625	604	749.001	916.999	829	354	374.001	336
ENSMUSG00000031729.7	Ist1	3396.999	3810	3479	4030.001	4329.001	4617	5533	6039.999	5616	2995	3303.001	2530
ENSMUSG00000031730.19	Dhodh	262	258	287	288.001	296	363	284.999	317	324	370.999	356.001	309
ENSMUSG00000031731.17	Ap1g1	4166	4075	4136.001	4371	5009.999	5026	4923	5825	5318.999	3238	3590.999	2997
ENSMUSG00000031732.13	Phlpp2	1016	1019	975	683	735	821	835	1026	882	864	884	800
ENSMUSG00000031734.14	Irx3	2	2	5	433	451	506	379	574	615	0	0	1
ENSMUSG00000031736.13	Crnde	4	5.001	5	122.998	157.999	165	137.001	179.002	189.999	16	17	10
ENSMUSG00000031737.12	Irx5	37	26	37	169	223	251	177	275	260	1	0	1
ENSMUSG00000031738.15	Irx6	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000031740.9	Mmp2	2	6	1	112	135	122	149	160	150	6	5	8
ENSMUSG00000031748.17	Gnao1	0	0	0	771.999	960.01	1114.001	811.999	1049.001	1043	1	2	2
ENSMUSG00000031749.13	St3gal2	893	859.999	875	1391	1464	1565.001	1601	1970	1875	1004	1058.001	1001
ENSMUSG00000031750.16	Il34	0	0	0	0	1	0	2	2	2	1	0	0
ENSMUSG00000031751.15	Amfr	7390.999	6911.999	7091	8817	9657.001	10701	9617	11433	10832	9609	10275	9624
ENSMUSG00000031753.17	Cog4	1057.999	984	1049	2180	2416.999	2802.001	2558.001	3218.001	3031.002	739.999	833	823
ENSMUSG00000031754.11	Nudt21	3077.035	3008.321	3034.274	2534.868	2632.558	2965.681	2571.397	2997.092	2895.523	4394.58	4523.771	4326.875
ENSMUSG00000031755.7	Bbs2	196	192	220	467.001	458	559	422	549.001	572.999	272	344	327
ENSMUSG00000031756.6	Cenpn	179	157	166	243.001	259	281	178.999	230	231	539.999	641.999	540.001
ENSMUSG00000031757.8	Mt4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031758.11	Cdyl2	802	794	791	226	261	263	420	452	422	285	367	317
ENSMUSG00000031760.10	Mt3	0	0	4	3	5	2	2	1	2	0	1	0
ENSMUSG00000031762.8	Mt2	2945	2764	3040	3079	3320	3290	3913	4583	4663	155	189	131
ENSMUSG00000031765.9	Mt1	5586	5319	5839	8765.001	9299	10362	8918	10783	10681.001	3148.999	3518	3307
ENSMUSG00000031766.5	Slc12a3	16	12	18	4	3	6	11	6	9	5	1	1
ENSMUSG00000031767.14	Nudt7	66	56	67.001	274.999	338.001	368.999	287.999	341	355	87	94	96
ENSMUSG00000031770.17	Herpud1	23221	20665.001	23182.999	6606.999	6581.999	7409.999	8188.999	8363.001	7418.001	9230.001	9637	8909
ENSMUSG00000031772.18	Cntnap4	0	0	0	2	0	0	1	0	0	0	0	0
ENSMUSG00000031774.9	Psme3ip1	1902	1817.999	1876.998	2556.001	2754.999	2947.999	2709.999	3363	3130.999	1813	2141	1954
ENSMUSG00000031775.6	Pllp	0	0	0	22	30	16	21	25	25	0	0	0
ENSMUSG00000031776.18	Arl2bp	3170	2981	3102	4469	4852	5439.999	4708	5840.999	5699	4275	4519.001	4083.001
ENSMUSG00000031778.14	Cx3cl1	4770	4672.001	5109	1675	1583	1326	3790	4185	3863	525	551	587
ENSMUSG00000031779.4	Ccl22	166557	159774	181096	6681	6509	5994	69142	72120	60126	322	407	364
ENSMUSG00000031780.3	Ccl17	225	199	213	6	6	2	22	9	23	1	5	6
ENSMUSG00000031781.15	Ciapin1	1411.001	1267	1346.999	2225.001	2309	2632.001	2913.999	3481	3366.999	1064.001	1222	1068.001
ENSMUSG00000031782.16	Coq9	888	847	907.001	1808	1856.999	2203.001	1905.998	2424	2419.999	977	1068.001	1042
ENSMUSG00000031783.11	Polr2c	1391.593	1345.979	1452.701	1633.829	1748	1865.864	1706.783	2060.129	1984.915	1301.791	1337.854	1233.982
ENSMUSG00000031785.17	Adgrg1	114	127	138	3145.001	3493	4331.001	3304.001	4136.999	4236	163	135	136
ENSMUSG00000031786.8	Drc7	27	22	21	27	28	31	23	30	35	33	41	35
ENSMUSG00000031787.9	Katnb1	649	661	695.001	823	877.001	1053	749.001	988.999	904	864	933	857
ENSMUSG00000031788.15	Kifc3	40	36	40.998	940	1016.001	1216	942.001	1264	1270	114	104	86.999
ENSMUSG00000031789.18	Cngb1	0	0	0	110	176.001	184.999	140	156	185	0	1	0
ENSMUSG00000031790.9	Mmp15	1	0	0	476	526	647	450	665	619	1	0	0
ENSMUSG00000031791.9	Tmem38a	65	56	58	467	549.999	621	520	643	666	114	114.999	105
ENSMUSG00000031792.16	Usb1	1091	1018	1153.998	1086.001	1243.001	1364.999	1305	1494	1429	981	1018	993
ENSMUSG00000031796.8	Cfap20	690.093	755.355	755.26	890.221	1025.217	1104.168	880.112	1087.117	1127.23	1038.29	1165.209	924.183
ENSMUSG00000031799.11	Tpm4	22527.87	21214.924	23364.799	10122.844	10369.947	11784.956	17425.879	19157.914	16631.567	12531.971	13318.128	12703.954
ENSMUSG00000031802.10	Phxr4	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000031803.9	B3gnt3	103	103	109	314	375	418	359	446	440	77	89	94
ENSMUSG00000031805.18	Jak3	2791.745	2727.493	2877.221	2323.943	2278.414	2623	1850	1963.698	1974.08	1018.472	1165	1039.823
ENSMUSG00000031807.11	Pgls	3468.705	3262.677	3440.612	2601.993	2593.28	3084.261	3026.196	3259.499	3386.534	3762.33	4183.916	3645.787
ENSMUSG00000031808.8	Slc27a1	475	493.002	479	1305	1508	1595.001	1312.002	1531.001	1667.001	781	858	812
ENSMUSG00000031809.11	1700018B08Rik	0	0	2	2	0	0	0	0	0	0	0	0
ENSMUSG00000031812.17	Map1lc3b	5912.247	5679.246	5827.713	7451.914	7903.58	8338.056	9014.82	10797.152	10257.447	5660.001	6407.779	5499.033
ENSMUSG00000031813.9	Mvb12a	3167.999	3009.001	3156.001	3421.999	3525.001	3987	3686.001	4048	4025.999	2947	3314	2977.999
ENSMUSG00000031816.16	Mthfsd	665	595.999	677.002	1091	1195	1391.001	1163	1414	1459.001	766.999	847.001	768.999
ENSMUSG00000031818.13	Cox4i1	16121.999	14426.999	15947.999	17639.001	18299.999	20289.999	21326.001	24261.999	23870.001	14831	15897	14530.001
ENSMUSG00000031819.14	Emc8	2075.054	1949.018	2030.786	1553.739	1655.76	1820.869	1918.202	2209.838	2124.379	1525	1664.008	1526.153
ENSMUSG00000031820.10	Babam1	2538	2239	2519.001	2768	2923	3152	2800	3345.001	3381	2968.001	3235.999	2996.001
ENSMUSG00000031821.12	Gins2	869.001	902	832	686	682	811.999	495	532.999	560	826	906.999	849
ENSMUSG00000031822.21	Gse1	3471	3293	3402.999	2544	2710	2943.001	3389	4250	3867	2701	2909	2624
ENSMUSG00000031823.15	Zdhhc7	1472	1348.999	1443	1434	1554	1708	1586.999	1787	1733	1669	1809	1727.001
ENSMUSG00000031824.16	6430548M08Rik	150	127	148	442	495	559	372	511.001	522	61	56	59
ENSMUSG00000031825.17	Crispld2	127	94	90	32	37	16	77	67	68	1	3	6
ENSMUSG00000031826.21	Usp10	2227.001	2125.999	2192.001	2123	2210.001	2583	2072	2523	2402	2762	2853.999	2716
ENSMUSG00000031827.15	Cotl1	32145	29213.001	31572	17447	16939	21171	10083	11108	10703	46082	49741	46412
ENSMUSG00000031828.10	Klhl36	682	623	644	474	525	575	554	653.001	588	821	874	801
ENSMUSG00000031831.7	Dnaaf1	5	7	0	3	4	2	7	7	4	2	2	3
ENSMUSG00000031832.16	Taf1c	779	761	778	683	629	689	902	978	956	509	569	528
ENSMUSG00000031833.11	Mast3	2576	2662.999	2767.999	2278.001	2468	3033.998	2051	2434	2436	3270.001	3652.001	3098.999
ENSMUSG00000031834.16	Pik3r2	1079	960.001	1089	2356	2524	2790	2286	2930	2875	1492	1824	1488
ENSMUSG00000031835.17	Mbtps1	3856.999	3738.999	3834	4149	4576	4939	5230.999	6411.999	5873.001	2646.001	2959	2512.999
ENSMUSG00000031837.15	Necab2	1	2	3	3	4	6	8	1	3	0	0	2
ENSMUSG00000031838.11	Ifi30	15316	14580	16255	4002	4119	4201	12495	11956	10862	2564	2815	2881
ENSMUSG00000031839.8	Hsbp1	2584	2467.001	2380	3247	3440	3851	3569	4332	4117	2570	2891	2691
ENSMUSG00000031840.15	Rab3a	32.999	32	35	322	394	468.999	322.999	414	431.001	113.001	126	119.001
ENSMUSG00000031841.20	Cdh13	0	0	1	95	86	107	82	82	98	0	0	0
ENSMUSG00000031842.16	Pde4c	22.999	18	26	9	9	12	12	6	12	19	38	28.001
ENSMUSG00000031843.3	Mphosph6	886.966	824.997	938	539	580.999	708.981	650	784	669	841	903	794
ENSMUSG00000031844.9	Hsd17b2	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000031845.17	Bco1	0	0	0	1	1	0	1	4	1	0	0	0
ENSMUSG00000031847.9	1700030J22Rik	98	126	117	104	110	113	247	272	273	64	75	81
ENSMUSG00000031848.16	Lsm4	3305	3209	3024	2799	2837	3318	2210	2549	2484	4190	4663.001	4286
ENSMUSG00000031849.10	Comp	50	39	57	16	8	8	32	32	34	28	32	28
ENSMUSG00000031851.15	Ntpcr	488	430	486	421	418.999	527.999	412	483.001	413.999	535	537	520
ENSMUSG00000031853.6	Map3k21	0	0	0	1	0	1	1	3	1	0	0	0
ENSMUSG00000031858.18	Mau2	2847.999	2790	2859	3131	3501.999	3655.001	3934.998	4567	4253	2435.001	2761.001	2251
ENSMUSG00000031860.18	Pbx4	10	4	7	84	84	108	90	72	100.001	12	15	7
ENSMUSG00000031861.17	Lpar2	128	172	165	165	179	214	173	224	228	157	179	112
ENSMUSG00000031862.12	Atp13a1	2909.001	2881	2877.001	3913.999	4118	4889.001	3784.999	4514	4301.998	3198.001	3598.001	2998
ENSMUSG00000031864.17	Ints10	963.001	844.999	934.001	921.001	941.001	1033	786.999	938	939	1145	1349	1229.001
ENSMUSG00000031865.17	Dctn1	7963.001	7642	8212.999	10815	12118	13486	11529.999	14184.001	14144.998	8289	8960.999	8534.999
ENSMUSG00000031870.17	Pgr	0	1	0	5	2	1	0	0	0	0	0	2
ENSMUSG00000031871.10	Cdh5	10	11	11	12	11	22	3	4	3	12	17	15
ENSMUSG00000031872.15	Bean1	0	1	0	0	0	0	0	1	4	1	0	0
ENSMUSG00000031875.8	Cmtm3	932.999	905	957.001	3101	3574.999	4096	2933.001	3768.999	3789	2529	2821	2560.998
ENSMUSG00000031876.19	Gm45711	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031877.10	Ces2g	0	0	1	16	10	10	18	18	18.954	0	0	0
ENSMUSG00000031878.19	Nae1	1724.999	1633.998	1697.998	1400	1497	1529.999	2166.999	2454.999	2179.999	1002.001	1091	1067
ENSMUSG00000031879.15	Ciao2b	2268	2277	2266.001	1915	1954.999	2076.999	2938.999	3017.001	2836	794	858	828
ENSMUSG00000031880.8	Rrad	3458	3339	3601	1296	1264	1099	3812	3864	3541	137	143	136
ENSMUSG00000031881.7	Cdh16	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000031883.14	Car7	6	3	8	22	27	32	32	39	26	3	1	5
ENSMUSG00000031884.11	Ces2d-ps	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031885.15	Cbfb	7589	6968.999	7206	6042	6006.999	7129	4632.001	5643.999	5040	9739	10670.999	10138
ENSMUSG00000031886.15	Ces2e	0	0	0	39	30	45	48	51	50	0	0	0
ENSMUSG00000031887.14	Tradd	1176	1021.001	1117.999	1350.001	1493	1647.001	1487	1661	1549	1159	1336	1190
ENSMUSG00000031889.10	Phaf1	589	562	580	848	951	978.001	965	1188.001	1042.001	539	575	510
ENSMUSG00000031891.7	Hsd11b2	32	40	27	7	9	3	57	36	34	1	1	1
ENSMUSG00000031893.8	Tsnaxip1	0	0	0	1	2	1	2	3	2	0	0	0
ENSMUSG00000031896.8	Ctrl	23	21	23	9	9	12	16	19	12	5	8	1
ENSMUSG00000031897.10	Psmb10	6863	6514	6952.999	4087	3792	4366.999	5100	5024.999	4985	4198.001	4684.001	4262
ENSMUSG00000031898.10	Dpep3	79	132	99	41	31	45	6	1	3	883	962	601
ENSMUSG00000031901.13	Dus2	369	296	326.999	353.999	385	422.001	282	338	306.999	333	382	320.999
ENSMUSG00000031902.11	Nfatc3	4396	4095	4301.001	2791.001	3085.001	3279.001	3201	3946	3518	3449	3805.999	3556.999
ENSMUSG00000031903.8	Pla2g15	80	87	85	531.001	597	650	501	624	697	97	102	104
ENSMUSG00000031904.6	Slc7a6	1181	1072.999	1090.999	1266.999	1435	1500.001	1408.999	1732.001	1698.001	805.999	864	766.001
ENSMUSG00000031906.10	Smpd3	0	5	1	6	4	5	3	13	6	13	11	9
ENSMUSG00000031907.10	Zfp90	326.999	324.999	304	370.999	437.999	412	344	365.001	339	600	604	568
ENSMUSG00000031910.15	Has3	32	35	13	39	25	48	37	22	29	31	28	34
ENSMUSG00000031913.10	Vps4a	2024.001	1966	2100.999	1815.999	1918	2201	2241	2461	2300	2101.999	2141	2155
ENSMUSG00000031916.18	Cog8	1413.97	1323.962	1357.653	1550.261	1615.379	1966.405	1686.964	1978.109	2041.251	1306.932	1455.635	1436.678
ENSMUSG00000031917.13	Nip7	1531	1345	1479	1235	1223	1529	1140	1374	1386.001	1551	1656	1336.001
ENSMUSG00000031918.17	Mtmr2	1411.001	1362	1394	8831.998	10639.995	11634.997	9348.999	12518.998	12018.994	1413	1594.001	1355.001
ENSMUSG00000031919.7	Tmed6	1	2	3	1	2	1	3	2	5	0	1	1
ENSMUSG00000031921.18	Terf2	1117	1044	1113.999	1331	1443.999	1498	1421	1718	1728.001	1418.001	1458.999	1507.001
ENSMUSG00000031922.13	Cep57	1096	1101	1103.001	817	922	924.001	959.999	1154.001	1132	641	665.001	636.999
ENSMUSG00000031924.5	Cyb5b	4036	3822	4086	7013	7739	8642	7388	9881	9332	3049	3394	2964
ENSMUSG00000031925.18	Maml2	86	79	93	199	196	251	175	283	270	296	274	268
ENSMUSG00000031927.10	1700012B09Rik	3	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031928.16	Mre11a	1445	1352.001	1470	1184	1365	1485	1218	1572.001	1432	1522	1617.999	1531.001
ENSMUSG00000031930.12	Wwp2	3575	3456.998	3660.999	2845.999	2938	3355	3447.999	3956	3660.999	3668	3796.999	3698.001
ENSMUSG00000031931.5	Ankrd49	587.002	545.999	528.999	566	589	623.001	619.999	720	702	488.001	486.001	472
ENSMUSG00000031932.15	Gpr83	0	0	1	0	0	2	0	1	0	0	0	0
ENSMUSG00000031933.18	Izumo1r	1	0	0	0	0	2	0	1	0	0	0	0
ENSMUSG00000031934.15	Panx1	992	873	917	722	793	743	988.001	1037	1025	226.001	206.001	203
ENSMUSG00000031935.10	Med17	1676	1490	1534	1418	1411.999	1642	1471	1747.001	1628	1363	1549.999	1391
ENSMUSG00000031936.10	Hephl1	1	3	2	3	1	2	5	9	6	0	0	0
ENSMUSG00000031937.8	Vstm5	2	1	1	2	0	0	2	1	3	0	0	0
ENSMUSG00000031938.16	4931406C07Rik	836.001	727	834	5812.999	6734	7339.001	5014	6785.999	6457.001	1209	1471	1275
ENSMUSG00000031939.17	Taf1d	2554.996	2686.995	2723.001	2543.996	2834	3035.247	2881.001	3384.995	3302.999	3397.547	3673	2833.001
ENSMUSG00000031948.15	Kars1	5079	4765	5120.999	5144.001	5516	6020.999	5601.001	6863	6465.999	4523	4847.001	4678
ENSMUSG00000031949.18	Adat1	71	65	76	127	148	151	125	150	159	104	99	95
ENSMUSG00000031950.8	Gabarapl2	4897.95	4436.495	4731.531	3380.43	3445.632	4078.231	3801.954	4489.602	4102.244	3669.659	3820.329	3704.596
ENSMUSG00000031951.9	Tmem231	302	267	317	296	301	363	272	395	371	299	278	285
ENSMUSG00000031952.6	Chst5	0	0	0	3	3	4	2	4	1	0	0	0
