gene_id	gene_name	cDC1_TNFa_1	cDC1_TNFa_2	cDC1_TNFa_3	cDC1_Tumor_1	cDC1_Tumor_2	cDC1_Tumor_3	cDC1_Tumor_TNFa_1	cDC1_Tumor_TNFa_2	cDC1_Tumor_TNFa_3	cDC1_un_1	cDC1_un_2	cDC1_un_3
ENSMUSG00000082759.2	Gm14826	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082760.3	Gm15546	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082762.2	Gm12366	13.107	17.346	17.523	7.172	3.616	4.075	14.147	13.389	9.722	7.791	11.92	9.118
ENSMUSG00000082763.2	Tra2b-ps	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082765.4	Gm14411	0	0	0	0	0	1	3.607	1	0	0	2	0
ENSMUSG00000082766.2	1700064H15Rik	0	0	0	0	1	1	0	0	3	0	1	0
ENSMUSG00000082767.2	Gm11622	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082768.2	Gm12727	0	0	0	1.945	0.92	0	0	0	1.969	1.001	0	0
ENSMUSG00000082769.4	Gm15793	25.754	21.906	27.602	13.231	16.894	20.134	14.397	38.878	24.197	45.046	37.096	28.844
ENSMUSG00000082770.2	Gm14722	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082771.2	Gm12803	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082772.4	Gm381	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082773.2	Gm15058	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082774.2	Gm8805	0	0	1	0	1	0	0	1	0	1	0	0
ENSMUSG00000082775.2	Itpa-ps3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082776.4	Gm7061	6.001	4	1	2	2.001	6	3	1	0	8.006	3.007	5.001
ENSMUSG00000082777.2	Gm15861	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000082778.2	Gm15191	6.064	5	5	9	3.534	11.146	3.818	6.967	14	5.55	4.566	3
ENSMUSG00000082779.2	Gm13162	0	0	1	1	1	0	1	0	0	0	0	0
ENSMUSG00000082780.3	Rps11-ps5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082781.2	Rps19-ps14	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082782.2	Gm5319	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082783.3	Gm9126	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082784.2	Gm15957	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000082785.4	Vmn1r-ps100	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082786.2	Gm14489	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082788.2	Gm13396	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082789.4	Gm13284	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082790.2	Gm12155	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082791.4	Gm4875	2.007	3.013	1.004	4.089	0	4.021	3.011	1.002	3.027	2.009	0	1.003
ENSMUSG00000082792.2	Gm12176	1	1.994	0	1	1	2	3	1	2	0	0	0
ENSMUSG00000082793.3	Btf3-ps4	0	0	1	0	0	2	0	0	0	0	0	0
ENSMUSG00000082794.2	Gm6806	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000082795.2	Gm13193	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082796.2	Gm13385	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082797.4	Gm12015	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000082798.2	Gm11561	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082799.2	Gm14554	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082800.2	Gm13560	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082802.3	Gm15465	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082804.4	Rpl17-ps1	0	0	3	0	2	0	4	0	1	0	0	2
ENSMUSG00000082806.2	Rpl13-ps1	9	20	13	10	3	8	9	12	11	13	21	16
ENSMUSG00000082807.2	Gm14782	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082809.4	Gm14150	24.078	17.712	17.137	12.74	16.735	12.669	33.235	30.869	41.544	17.645	25.659	20.356
ENSMUSG00000082810.2	Gm8682	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000082812.2	Gm14860	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000082814.2	Gm12956	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082815.3	Cbr1b	0	0	0	1.005	0	0	0	0	0	0	0	0
ENSMUSG00000082816.2	Gm11953	8	4	6.774	16.109	17.32	17.031	13.193	14.597	21.712	0	2	3.25
ENSMUSG00000082817.2	Gm16428	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082818.2	Gm12175	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082819.3	Trav4d-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082820.4	Gm13803	7.056	4.074	4.745	3.963	11.314	8.144	6.516	11.04	16.444	2	5.62	4.053
ENSMUSG00000082821.2	Gm12880	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082822.2	Gm14731	0	0	0	0	0	0	0	0	0	0	0	0
