gene_id	gene_name	NC_1	NC_2	NC_3	NC_4	pi5_1	pi5_2	pi5_3	pi5_4
CLIP3	CLIP3	11.783067	12.300619	11.861387	11.64414	9.610487	11.309131	9.914055	10.978662
CLIP4	CLIP4	16.323407	15.985645	15.219655	15.10679	15.359584	15.971247	14.942282	16.705528
CLK1	CLK1	197.716736	207.764319	234.42278	226.425511	209.199704	213.426567	243.43102	210.749713
CLK2	CLK2	94.676109	109.145077	120.705707	119.241128	106.248871	117.429556	116.491949	105.904813
CLK3	CLK3	29.502805	31.544762	35.056342	35.933615	30.6231	31.817733	33.013656	32.236411
CLK4	CLK4	15.770631	14.447583	17.030039	15.802248	15.792249	15.299053	17.040496	15.462844
CLMN	CLMN	27.046534	26.760909	25.226644	24.720666	25.646374	24.552769	24.190666	24.676474
CLMP	CLMP	3.373969	3.360739	3.298369	3.395653	3.79468	3.490528	4.035344	3.686424
CLN3	CLN3	20.104416	21.003518	20.405347	21.246337	21.182251	23.426127	21.474371	21.684403
CLN5	CLN5	49.607483	49.709556	47.388493	48.284534	52.209991	52.036888	52.628711	53.432402
CLN6	CLN6	41.514017	42.058832	45.731744	45.935638	44.789222	45.801741	44.144964	41.620921
CLN8	CLN8	28.013654	27.717085	26.76805	28.225006	28.55763	28.853102	29.342047	32.93315
CLNK	CLNK	0	0	0	0	0	0	0	0
CLNS1A	CLNS1A	131.310394	123.43038	119.315632	111.262244	120.77868	123.540549	115.787708	123.467563
CLOCK	CLOCK	13.62352	14.179519	13.980973	13.295658	13.226114	13.669463	13.71477	14.577375
CLP1	CLP1	25.705429	30.089814	28.144035	25.256199	26.449419	26.082172	28.214089	25.806813
CLPB	CLPB	27.047438	28.221458	27.559416	29.162814	27.800654	28.979047	27.159408	28.469603
CLPP	CLPP	72.889507	81.347889	78.984301	72.683443	72.774137	67.722389	72.080161	72.853877
CLPS	CLPS	0	0	0	0	0	0	0	0
CLPTM1	CLPTM1	178.519498	200.266661	200.881885	200.380814	190.992413	213.47743	190.742582	188.467894
CLPTM1L	CLPTM1L	47.239254	46.695648	47.946634	47.829393	51.322869	51.03158	51.794519	52.780884
CLPX	CLPX	41.639001	44.910951	41.043607	37.155388	40.707035	39.889849	41.008778	42.422134
CLRN1	CLRN1	0	0	0	0	0	0	0	0
CLRN2	CLRN2	0	0	0	0	0	0	0	0
CLRN3	CLRN3	37.863887	47.070822	43.343704	47.799894	42.947716	46.427297	37.073855	38.704861
CLSPN	CLSPN	13.927815	14.836352	13.797193	13.452081	12.731157	13.554812	13.472715	14.783682
CLSTN1	CLSTN1	116.724889	129.626476	129.848429	128.077097	122.828748	130.349444	119.483497	124.84013
CLSTN2	CLSTN2	0.048385	0.013276	0.064219	0.030519	0.013935	0.065725	0	0.064646
CLSTN3	CLSTN3	0.49271	0.343212	0.469778	0.367713	0.38536	0.380747	0.355391	0.576687
CLTA	CLTA	285.099877	278.605184	258.366919	273.627046	285.304122	268.034335	276.238489	264.642616
CLTB	CLTB	0.183705	0.118196	0.375056	0.193531	0.14154	0.20913	0.307765	0.184697
CLTC	CLTC	104.92471	105.174	96.326412	96.786053	98.900506	100.535471	95.745822	108.494309
CLTCL1	CLTCL1	17.175066	20.303318	18.186986	17.010935	16.898322	20.29162	15.696725	19.835061
CLTRN	CLTRN	0.981404	0.818477	0.987578	1.004853	0.813012	1.28271	1.19215	1.157899
CLU	CLU	1119.302619	1131.288381	1162.395583	1231.208066	1137.411954	1236.33574	1250.957467	1078.040456
CLUAP1	CLUAP1	34.020907	30.734648	29.646206	25.776106	26.510241	27.533562	31.887949	34.482584
CLUH	CLUH	28.826441	36.176458	31.946625	31.011623	25.798945	31.853993	25.446706	31.902249
CLUL1	CLUL1	0	0	0	0.032001	0	0	0	0
CLVS1	CLVS1	0.094363	0.009195	0.062393	0.010603	0.01934	0.022743	0.024045	0.056071
CLVS2	CLVS2	0	0	0	0.017907	0	0	0	0
CLXN	CLXN	0	0	0	0	0	0	0	0
