gene_id	gene_name	NC_1	NC_2	NC_3	NC_4	pi5_1	pi5_2	pi5_3	pi5_4
ADAM10	ADAM10	21400	15057	15991	13370	14941	12891	12075	13525
ADAM11	ADAM11	23	36	37	19	25	11	17	20
ADAM12	ADAM12	87	67	68	50	51	56	56	40
ADAM15	ADAM15	1163.001	1000	1039	840	833.999	827	692	769
ADAM17	ADAM17	13303	9537	9993	8626	9755	8090	7791	8549
ADAM19	ADAM19	160	108	135	106	140	101	111	107
ADAM22	ADAM22	40	34	31	48	28	28	22	24
ADAM23	ADAM23	3774	2834	3046	2360	2825	2418	2296	2486
ADAM28	ADAM28	31	33	32	20	27	20	10	15
ADAM33	ADAM33	257	223	245	208	177	205	165	166
ADAM7	ADAM7	1	0	0	0	0	1	0	0
ADAM8	ADAM8	22	19	18	14	19	16	9	7
ADAM9	ADAM9	11100	7534	8121	7230	8162	6536	6493	6867
ADAMDEC1	ADAMDEC1	0	0	0	1	0	0	0	0
ADAMTS1	ADAMTS1	113	86	97	56	74	59	56	62
ADAMTS10	ADAMTS10	869	772.001	857	736.999	634	606.999	551	539
ADAMTS12	ADAMTS12	9	0	0	0	2	1	1	0
ADAMTS13	ADAMTS13	26	18	24	16	13	8	16	9
ADAMTS15	ADAMTS15	91	74	75	70	61	68	49	54
ADAMTS16	ADAMTS16	0	0	0	0	0	2	0	0
ADAMTS17	ADAMTS17	487	410	426	323	397	325	312	281
ADAMTS18	ADAMTS18	6	12	2	4	1	16	6	8
ADAMTS2	ADAMTS2	2	0	0	0	0	0	1	0
ADAMTS3	ADAMTS3	0	0	0	0	0	0	0	0
ADAMTS4	ADAMTS4	11	10	25	10	17	8	10	9
ADAMTS5	ADAMTS5	84	70	90	58	72	63	47	59
ADAMTS6	ADAMTS6	316	277	274.001	245	245	245	195	240
ADAMTS8	ADAMTS8	2223	1670	1795	1471	1587	1487	1371	1414
ADAMTS9	ADAMTS9	650	501	591	470	465	433	386	459
ADAMTSL1	ADAMTSL1	55	50	36	51	46	20	32	40
ADAMTSL2	ADAMTSL2	15	13	8	10	9	7	2	6
ADAMTSL3	ADAMTSL3	2321	1821	1977	1586	1597	1469	1329	1601
ADAMTSL4	ADAMTSL4	293	247	229	200	201	202	188	167
ADAMTSL5	ADAMTSL5	42	31	30	31	30	23	23	25
ADAP1	ADAP1	246	187	154	109	128	141	111	140
ADAP2	ADAP2	0	4	0	0	0	0	1	1
ADAR	ADAR	11578	9061	8441	7154	7794.001	6994.001	6077	7233
ADARB1	ADARB1	11	5	1	5	12	7	7	2
ADARB2	ADARB2	0	0	0	0	0	0	0	0
ADAT1	ADAT1	613	452	531	408	470	395.001	367.002	357
ADAT2	ADAT2	586	444	503	389	429	296	389	324
ADAT3	ADAT3	160	153	127	80	104	86	68	87
ADCK1	ADCK1	916	666	688	594	733	579	584	613
ADCK2	ADCK2	2046	1604	1650	1305	1417	1271	1189	1258
ADCK5	ADCK5	1590	1191.999	1396	1136.001	1168	910.968	1014	923
ADCY1	ADCY1	13	5	7	5	10	6	2	7
ADCY10	ADCY10	5.997	1.999	6.003	5	4	6	8	9
ADCY2	ADCY2	0	0	0	0	1	1	0	0
ADCY3	ADCY3	267	240	186	181	193	180	142	171
ADCY4	ADCY4	7	1	0	0	1	1	0	0
ADCY5	ADCY5	749	607	612	471	452	467	419	432
ADCY6	ADCY6	7984	6909	7122	5797	5890	5636	5154	5362
ADCY7	ADCY7	961	747	758	721	663	610	524	579
ADCY8	ADCY8	0	0	0	0	0	0	0	0
ADCY9	ADCY9	1125	917	860	739	770	727	587	753
ADCYAP1	ADCYAP1	0	0	0	0	0	0	0	0
ADCYAP1R1	ADCYAP1R1	246	214	237	180	173	156	147	163
ADD1	ADD1	11646	8959.999	9003	7211	8186	7244	6584.999	7508
ADD2	ADD2	24	17	17	18	17	10	5	22
ADD3	ADD3	8997	6813.999	6280	5133	6117	5194	4559	5539
ADGB	ADGB	56	45	44	22	29	29	37	19
ADGRA1	ADGRA1	64	60	56	50	41	35	32	34
ADGRA2	ADGRA2	383	314	385	274	289	268	209	244
ADGRA3	ADGRA3	2098	1627	1658	1402	1536	1333	1244	1378
ADGRB1	ADGRB1	6	4	1	0	1	0	0	0
ADGRB2	ADGRB2	305	266	295	279	185.999	189.001	168	190
ADGRB3	ADGRB3	0	0	0	0	1	0	0	0
ADGRD1	ADGRD1	4	0	1	1	5	2	0	1
ADGRD2	ADGRD2	2	0	0	0	1	1	0	0
ADGRE1	ADGRE1	0	0	0	0	0	0	0	0
ADGRE3	ADGRE3	0	0	0	5	2	0	1	0
ADGRE5	ADGRE5	1086	884	921	791	819	742	718	723
ADGRF1	ADGRF1	15	14	14	7	11	14	10	4
ADGRF3	ADGRF3	5	1	3	5	4	1	4	0
ADGRF5	ADGRF5	0	0	0	0	0	1	0	0
ADGRG1	ADGRG1	9177	6750	7324	5749	6087	5772	5352	5988
ADGRG2	ADGRG2	1795	1511	1512	1182	1387	1138	1109	1225
ADGRG3	ADGRG3	29	23	22	25	10	12	23	24
ADGRG4	ADGRG4	147	117	134	114	107	103	107	89
ADGRG5	ADGRG5	2	1	0	0	1	0	0	1
ADGRG6	ADGRG6	4	8	6	3	4	5	7	2
ADGRG7	ADGRG7	1	0	1	0	0	0	0	1
ADGRL1	ADGRL1	1835	1518.001	1590.999	1369.999	1311	1285	1095.999	1248
ADGRL2	ADGRL2	7	5	9	4	7	8	2	6
ADGRL3	ADGRL3	388	270	304	243	276	210	229	279
ADGRL4	ADGRL4	0	0	0	0	0	0	0	0
ADGRV1	ADGRV1	532	379	435	309	332	296	302	347
ADHFE1	ADHFE1	1018	730	755	604	634	536	553	560
ADI1	ADI1	6657	4500	4416	3626	4234	3559	3416	3719
ADIPOQ	ADIPOQ	0	0	0	0	0	0	0	0
ADIPOR1	ADIPOR1	2689	2048	2281	1901	1991	1767	1589	1771.999
ADIPOR2	ADIPOR2	5834	4218	4315.001	3683	4330	3559	3091	3780
ADIRF	ADIRF	153	81	99	73	106	59	77	79
ADISSP	ADISSP	823	685	721	601	565	524	455.999	472
ADK	ADK	261	60	112	106	88	61	79	104
ADM	ADM	278	202	261	216	179	206	174	167
ADM2	ADM2	147	136	136	91	92	75	66	98
