taxon	HFD_AL_6_05_12	HFD_IF_7_06_12	HFD_AL_4_03_11	HFD_IF_4_02_25	HFD_AL_4_02_25	HFD_AL_6_05_22	HFD_AL_7_06_12	HFD_IF_6_05_22	HFD_IF_4_03_11	HFD_IF_6_05_12
GGB28778_SGB102278	0	0	0	0.09174	0	0	0	0	0	0
GGB28778_SGB41431	0.14557	0.00051	0.02614	0.06794	0.04551	0.00981	0	0.02244	0	0.00166
GGB28782_SGB41435	0	0	0	0	0.00185	0	0	0	0	0
GGB28784_SGB41437	0.11159	0.08058	0	0	0	0.31046	0.17099	0.08819	0	0.38486
GGB28790_SGB41443	0.03785	0.04121	0	0	0.01785	0.11911	0.05218	0.03223	0	0.03467
GGB28792_SGB41445	0	0	0.037	0.04943	0.02484	0	0	0	9e-05	0
GGB28798_SGB41451	0.19494	0.08162	0.33827	0.3513	0.33612	0.01767	0.02043	0.53144	0.00313	0.0678
GGB28810_SGB41465	0	0	0	0.00271	9e-05	0	0	0	0	0
GGB28814_SGB41469	0.01807	0.10143	0.19074	0.109	0.19171	0.07514	0.05171	0.06966	0.01054	0.11261
GGB28818_SGB41473	1.58104	0.07868	0.28072	1.00845	0.36153	0.56576	0.09899	1.23565	0.00286	0.08835
GGB28829_SGB41485	0.22578	0.04038	0	0	0	0.03428	0	0.01224	0	0.00738
GGB28843_SGB41509	0.00973	0.00876	0.04992	0.07531	0.14841	0.01764	0.02428	0.00839	0.00287	0.00705
GGB28851_SGB41518	0.08656	0.04889	0.22778	0.42022	0.31556	0.01472	0.0185	0.02823	0.00478	0.02509
GGB28862_SGB41532	0.16421	0.40136	0	0	0	2.24436	0.67319	0.82299	0.05962	1.90989
GGB28865_SGB41537	0	0	1.09942	0.02121	0	0	0	0	0.006	0
GGB28866_SGB41538	0.5413	1.12907	0	0	0	3.34263	0.60101	1.14742	0	2.4631
GGB28868_SGB41542	0	0	0.31832	0.32104	0.49689	0	0	0	0.01767	0
GGB28869_SGB41543	0.06169	0.14041	0.26052	0.25051	0.29374	0.1208	0.09831	0.07739	0.01348	0.15335
GGB28870_SGB41545	0.61726	0.36864	2.79576	2.46597	1.02724	1.09904	0.2022	0.417	0.30384	3.54684
GGB28870_SGB41546	0.21342	0.22997	3.3313	0.38384	2.12525	0.68049	0.70572	0.09209	0.07709	0.52948
GGB28875_SGB41555	0	0.00207	0.00035	0.00027	0.01254	0.0083	0	0.0276	0	0
GGB28879_SGB41559	0.1569	0.06448	0.00119	0.01064	0	0.18817	0.11232	0.10792	0.02458	0.12144
GGB28881_SGB41561	0	0	0.10724	0.41624	0.20776	0	0	0	0	0
GGB28883_SGB41564	0.01176	0	0.0322	0.01406	0.01565	0.06842	0.12369	0.0431	0	0.00652
GGB28889_SGB41570	0.7459	0.00778	0.2355	0.54841	0.10087	0.1027	0.10301	0.06771	0.01159	0.00387
GGB28898_SGB41580	0	0	0	0	0.00735	0	0.00981	0.00056	0	0
GGB28904_SGB41596	1.61597	0.2791	0	0	0	1.56985	0.75627	0.44104	0	0.30906
GGB28904_SGB41597	1.18543	1.28248	3.73646	2.14132	3.84327	2.82391	2.00233	0.72711	0.25089	2.39949
GGB28909_SGB41602	0	0	0	0.00062	0.0016	0	0	0	0	0
GGB28916_SGB41612	0.0507	0	0.13509	0.81517	0.29367	0.00225	0	0.38303	0	0.03386
GGB28925_SGB41622	0.00238	0.00054	0	0.00883	0	0	0	0.00989	0	0
GGB28926_SGB41623	0	0.0016	0	0	0	0.00094	0.00251	0.00412	0	0
GGB28927_SGB41625	0.04219	0.03198	0.02779	0.0382	0.03126	0.11865	0.01951	0.17476	0.0019	0.01795
GGB28928_SGB41627	0.03573	0.0275	0.44386	0.40937	0.40883	0.02913	0.03009	0.06666	0.00378	0.0125
GGB28934_SGB41637	0	0.00586	0	0.00981	0.00242	0	0	0.00171	0	0.00124
GGB28944_SGB59839	0.01092	0	0	0	0	0.00684	0.14011	0	0	0
GGB28945_SGB41650	0.22069	0.02928	0.07452	0.21471	0.15725	0.08857	0.45107	0.12214	0	0.0128
GGB28948_SGB41654	0	0	0	0	0.00023	0	0	0	0	0
GGB28949_SGB41655	0	0	0.00163	0.00997	0.01544	0	0	0.00109	0	0
GGB28950_SGB41657	0.01486	0	0	0	0	0	0	0.01026	0	0
GGB28951_SGB102295	0	0	0	0	0	0	0.00207	0	0	0
GGB28954_SGB41662	0.0234	0.03959	0.03049	0.03032	0.04314	0.02229	0.01145	0.05419	0.00419	0.03141
GGB28956_SGB41665	0.06818	0.06212	0.13336	0.08535	0.16571	0.11392	0.13194	0.04869	0.00949	0.05445
GGB28965_SGB41675	0	0	0	0	0	0	0	0.00072	0	0
GGB28968_SGB41679	0.17409	0.26938	0.63032	0.40894	0.59864	0.39008	0.1844	0.19715	0.0319	0.51442
GGB28991_SGB41705	0	0	0.01308	0.13581	0.0084	0	0	0	0	0
GGB28996_SGB41712	0	0	0	0	0.02105	0	0	0.06022	0	0.03407
GGB29531_SGB42317	0.22616	0.13913	0.25665	0.24959	0.29232	0.3512	0.24694	0.16648	0.11718	0.29381
GGB29535_SGB42321	4.14461	0.21233	0	0	0	0.37011	0.4245	2.35177	0	0.09353
GGB29683_SGB42492	0	0	0.30519	0.50536	0.32585	0	0	0	0.13311	0
GGB29685_SGB42494	0	0	0	0	0	0	0	0.29687	0	0
GGB30090_SGB63356	0.03039	0.06586	0	0	0	0.043	0.03535	0.01471	0	0.03827
GGB30093_SGB43006	0	0.04964	0	0	0	0	0	0.08868	0	0.16294
GGB30145_SGB43072	0	0	0.0251	0.0074	0.0123	0	0	0.01463	0.00109	0.01077
GGB30286_SGB43248	0.02233	0.03924	0	0.2388	0	0.05302	0.06463	0.02878	0.042	0.00576
GGB30295_SGB43259	0	0.00355	1.56769	1.11668	1.76518	0	0	0.01251	0.15973	0.08667
GGB30297_SGB43261	0.39017	0.2117	0	0.02392	0	0.5325	0.2947	0.12333	0	0.65711
GGB30300_SGB43264	1.14331	1.72318	1.00141	0.67007	0.77515	3.14606	1.45675	0.49693	0.3386	1.825
GGB30301_SGB43265	0.12015	0.21713	0.29074	0.27231	0.23398	0.47569	0.08262	0.04215	0.08696	0.35371
GGB30302_SGB43266	1.32936	1.73452	1.6089	1.08433	1.48094	2.17316	2.10246	0.70874	0.55733	2.04833
GGB30302_SGB43267	0.01957	0.047	0.18933	0.18398	0.18585	0.14887	0.00903	0.04402	0.05893	0.09142
GGB30303_SGB43268	0.02364	0.02915	0.06268	0.05098	0.07735	0.0613	0.01492	0.00243	0.00459	0.05687
GGB30304_SGB43269	0	0.00183	0	0	0	0	0	0.00977	0	0.03318
GGB30414_SGB43453	0.054	0.04763	0.22191	0.09945	0.28397	0.21896	0.03701	0.08683	0.04237	0.18911
GGB30449_SGB43506	3.82787	5.04521	13.78705	8.17525	10.87556	10.89831	1.05574	3.15757	3.31072	10.43188
GGB30450_SGB43508	0.15019	0	0.26476	0.27708	0	0.77262	0.18735	0	0.17106	0
GGB30454_SGB43514	0.10134	0.49215	0	0.0036	0	0.89745	0.38644	0.26566	0.43273	0.00523
GGB30455_SGB43519	1.34212	1.36652	2.77547	1.80068	1.82547	2.26363	0.67018	0.68893	0.91123	2.75966
GGB30456_SGB43520	0	0	0	0.00255	0	0	0	0	0.00039	0
GGB30460_SGB43527	0.04323	0	0	0	0	0	0	0	0	0
GGB30460_SGB43533	0	0	0	0.37336	0	0	0	0	0.16311	0
GGB30461_SGB102216	0	0.08136	0	0	0	0	0	0.03704	0	0.13535
GGB30461_SGB43530	1.04709	1.28648	0.11038	0.00534	0.29807	1.32836	1.11693	0.40965	0.2982	0.92916
GGB30461_SGB63209	0.0072	0.00981	0.06825	0.02724	0.03004	0.05826	0.00342	0.01404	0.01406	0.05348
GGB30463_SGB102197	0	0	0	0	0	0	0	0	0	0.0069
GGB30463_SGB43537	0.96762	0.60155	0.15828	0.61601	0.0411	1.60618	0.54827	0.52865	0.19407	1.86503
GGB30468_SGB43552	0.05269	0.0147	0.01288	0.0512	0.01037	0.04783	0.01587	0.03598	0.00751	0.10836
GGB30473_SGB43557	0.61078	0.49159	0.52799	0.44068	0.80591	0.60529	0.68747	0.35715	0.59553	0.78992
GGB30475_SGB63182	0.83779	0.47258	0.38899	0.1492	0.47467	0.85213	0.55791	0.43246	0.37545	1.11991
GGB30520_SGB43608	0.03829	0.03479	0	0	0	0.05303	0.00257	0.03132	0	0.04036
GGB31184_SGB44478	0	0.00062	0	0	0	0	0	0	0	0
GGB31386_SGB44714	0	0	0	0	0	0	0	0.0014	0	0
GGB31438_SGB44768	0	0	0	0	0	0.01072	0	0.00024	0	0
GGB32371_SGB41694	0	0.00548	0.01258	0.00928	0.01748	0.0047	0.00327	0.00275	0	0.00256
GGB42343_SGB59511	0	0.00193	0	0	0	0	0	0.00493	0	0
GGB42586_SGB59781	0	0	0	0	0	0.00084	0	0.01016	0	0
GGB42601_SGB59797	0.02826	0.01843	0.04634	0.07641	0.05641	0.0659	5e-04	0.04667	0.00078	0.05527
GGB42619_SGB59815	0.02028	0.16061	0.71662	0.68814	0.74746	0.05934	0.84415	0.09333	0.16078	0.13524
GGB45512_SGB63184	0.24939	0.13683	0.19602	0.19093	0.1941	0.23857	0.57033	0.1801	0.40825	0.15641
GGB45514_SGB63186	0.53003	0.48462	0.09761	0.1155	0.20104	0.44102	0.66038	0.2125	0.09065	0.58854
GGB45532_SGB63210	0.00606	0.00136	0	0	0	0	0	0	0	0
GGB45536_SGB63216	0.07853	0.04985	0	0.00549	0	0.15299	0.10575	0.04181	0.00504	0.08825
GGB45564_SGB63259	0	0	0.81567	1.27885	2.58084	0	0	0	1.62872	0
GGB45566_SGB63261	0.05337	0.09269	0.13127	0.11476	0.28113	0.14862	0.26142	0.19231	0.25394	0.1905
GGB45602_SGB63314	0.29576	0.10676	0	0	0	0.01745	0.4102	0.04506	0	0.00759
GGB45624_SGB63337	0.10939	0.16738	0.53946	0.37089	0.47735	0.43907	0.06005	0.09897	0.13134	0.40871
GGB45635_SGB63349	0.08576	0.07284	0.08378	0.08257	0.09711	0.10254	0.0565	0.06417	0.07138	0.10818
GGB45656_SGB63370	0.10448	0.06511	0.16665	0.12457	0.26875	0.09568	0.10563	0.02012	0.0433	0.06954
GGB46159_SGB63927	0.51704	0.95613	1.48308	0.85766	2.14229	0.16802	0.30573	0.67738	2.87643	0.43198
GGB70594_SGB95034	0.04978	0.05078	0.07201	0.03943	0.04798	0.059	0.18358	0.02975	0.00351	0.07063
GGB70852_SGB95305	0.02387	0.88762	0.2471	0.39621	0.46983	0.00432	0.01235	0.35896	1.91917	8e-05
GGB70853_SGB95306	0	0	0.89501	0.73833	1.27268	0	0	0	5.91081	0
GGB74395_SGB43523	0.06743	0.18883	0	0	0	0.37206	0.47235	0.11114	0	0.26507
GGB74408_SGB43542	0.00658	0.02679	0.52562	0.26516	0.26282	0.03896	0.005	0.02524	0.06153	0.07342
GGB75036_SGB102224	0.00705	0	0	0.00212	0.00023	0	0	0	0	0
GGB75044_SGB102893	0	0.01657	0.1529	0.42238	0.2409	0	0	0.00502	0.31078	0.00663
GGB75048_SGB102485	0	0.00338	0	0	0	0	0	0.04935	0	0.01186
GGB75057_SGB102223	0	0	0.36449	0.50745	0.46127	0	0	0	0.11671	0
GGB75060_SGB102173	0.00413	0.01802	0.0037	0.00087	0.00361	0.00913	0.02626	0.01945	0.02014	0.00891
GGB75094_SGB102310	0	0	0.00232	0	0.00418	0	0.00121	0	0	0
GGB75095_SGB41525	0.00434	0	0	0	0	0	0.31084	0.00018	0	0
GGB75104_SGB102231	0	0	0	0	0	0	0.00066	0	0	0
GGB75109_SGB102238	0.58539	0.39847	0.87853	0.30248	1.47167	0.18116	0.40306	0.64266	0.04536	0.24029
GGB75112_SGB102247	0.01135	0.02294	0.02478	0.0276	0.04457	0.01519	0.00625	0.01615	0.00629	0.01584
GGB75900_SGB102322	0	0	0	0	0	0	0	0.02381	0	0
GGB75934_SGB102437	0	0	0	0	0.0016	0	0	0	0	0
Klebsiella_oxytoca	0	0	0	0	0	0	0.00528	0	0	0
Lachnospiraceae_bacterium	7.18698	2.01314	6.99172	10.43106	11.95181	7.6044	7.42728	7.68314	0.39538	2.24072
Lachnospiraceae_bacterium_A2	0	0	0.08204	0.06227	0.11517	0	0	0	0.00127	0
Lachnospiraceae_bacterium_A4	0.06815	0.08085	0.84361	0	0.64016	0.32437	0	0.14037	0	0.17664
Lachnospiraceae_bacterium_MD308	0.01786	0	0	0	0	0.00032	0.01435	0.01752	0	0
Lachnospiraceae_bacterium_MD329	0.02397	0	0	0	0	0	0	0.01649	0	0
Lachnospiraceae_unclassified_SGB102286	0	0	0.00414	0.01044	0.02084	0	0.00512	0	6e-05	0
Lachnospiraceae_unclassified_SGB41413	0	0.03039	0.39776	0.59666	0.52311	0	0	0.10062	0.0224	0.02992
Lachnospiraceae_unclassified_SGB41424	0.13911	0	0.00687	0.04733	0.01628	0.09665	0.36107	0.12637	0	0.00442
Lachnospiraceae_unclassified_SGB41677	0.09018	0.01264	0.041	0.08377	0.14006	0.01997	0.04888	0.02704	0	0.00284
Lachnospiraceae_unclassified_SGB7271	0.00784	0	0.01603	0.02437	0.02316	0.00376	0.00149	0.00258	0	0.00018
Lachnospiraceae_unclassified_SGB7275	1.09223	0.24183	0.36975	0.47184	0.72964	0.89145	0.73454	0.381	0.01762	0.30407
Lactobacillus_johnsonii	0.18153	0.0441	0.10914	0.28968	0.57313	0.04755	0	0.03271	0	0.0143
Lactococcus_cremoris	1.7756	0.18517	0.29236	0.17851	0.52724	0.10819	0.12089	0.27827	0.09648	0.2856
Lactococcus_lactis	0.50376	0.04013	0.07704	0.05261	0.15248	0.03255	0.0302	0.09366	0.02181	0.07102
Limosilactobacillus_reuteri	0.01932	0.00111	0	0	0	0	0	0.02111	0	0
Muricaecibacterium_torontonense	0.75622	1.12446	0	0	0	0.50614	0.01693	1.14169	0	2.1774
Neglectibacter_sp_X4	0.04714	0.02209	0	0	0	0.03204	0.10894	0.01941	0	0.01911
Oscillibacter_SGB102176	0.0393	0.16227	0.08181	0.05769	0.16478	0.09036	0.03047	0.04234	0.03214	0.12237
Oscillibacter_SGB43494	0.02559	0.08095	0.02512	0.04428	0.09754	0.05187	0.0095	0.0535	0.03232	0.05905
Oscillibacter_SGB43496	0.94481	1.5129	2.33485	1.47892	2.45798	3.1786	0.18028	0.77864	1.0278	2.08702
Oscillibacter_SGB43502	0.14513	0.78582	1.33745	0.57947	1.16093	0.16325	0.11134	0.10328	0.3707	0.06931
Oscillibacter_SGB63228	0.00585	0.02604	0.07719	0.08879	0.0555	0.0262	0.00556	0.01822	0.03788	0.03698
Oscillibacter_SGB63230	0.4687	0.30013	0.00274	0.50969	0	1.30853	0.08628	0.59664	0.25607	1.37141
Oscillibacter_SGB63234	0	0.01459	0	0.01476	0	0.00961	0	0.00663	0.0137	0.00138
Oscillibacter_SGB94989	0	0.00659	0.00567	0.00454	0.00754	0.00597	0	0.00474	0.00117	0.00765
Oscillibacter_sp_CU971	0.3939	0.39111	0.20996	0.08931	0.66077	0.98206	1.28018	0.2306	0.02422	0.88086
Oscillospiraceae_bacterium	0	0.00295	0.00441	0.00779	0.05112	0.00955	0.00556	0.00317	0	0.01312
Oscillospiraceae_unclassified_SGB102175	0.00267	0.02896	0.02981	0.02393	0.03006	0.00212	0.04017	0.0064	0.00964	0.00292
Otoolea_SGB41644	0.22364	0.1119	1.31506	0.54316	0.98086	0.39333	0.12104	0.14836	0.0987	0.77288
Parablautia_intestinalis	0	0	0	0	0	0	0	0.00092	0	0
Parasutterella_muris	0	0	0	0	0	0	0.17083	0	0	0
Petralouisia_muris	0	0	0	0	0.00169	0	0	0	0	0
Pumilibacter_intestinalis	0	0	0.00601	0	0	0	0	0	0	0
Pumilibacter_muris	0	0	0.02671	0.03734	0.03329	0	0	0.00191	0.00925	0.00071
Romboutsia_ilealis	0.00411	0.00141	0.00579	0	0.01485	0	0	0	0	0
Sangeribacter_muris	0.75688	0.37323	0.75338	0.82674	2.55939	0.23417	1.92852	2.03984	0.64619	0.0927
Schaedlerella_arabinosiphila	0.1565	0.05376	0.02297	0.02718	0.03601	0.14184	0.3732	0.05983	0	0.12022
Senimuribacter_intestinalis	0.25586	0.02023	0.15882	0.36811	0.49358	0.07377	0.65331	0.3445	0.02155	0.00402
Sporofaciens_musculi	0.20938	0	0	0.03393	0	0.05116	0.04912	0.0023	0	0
Streptococcus_acidominimus	0	0	0	0	0	0	0.02045	0	0	0
Thomasclavelia_cocleata	0.02029	0.00237	0.00093	0	0.00593	0.00714	0.02223	0	3e-04	0.00584
bacterium_1XD42_54	0.16728	0.01265	0.1522	0.34758	0.76613	0.01884	0.18238	0.01233	0.01026	0
bacterium_1xD42_67	0	0	0.03491	0.03594	0.01339	0	0	0	0.00911	0
