#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_mpa_vJan25.metaphlan	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_mpa_vJan25.metaphlan	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_mpa_vJan25.metaphlan	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_mpa_vJan25.metaphlan	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_mpa_vJan25.metaphlan	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_mpa_vJan25.metaphlan	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_mpa_vJan25.metaphlan	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_mpa_vJan25.metaphlan	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_mpa_vJan25.metaphlan	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_mpa_vJan25.metaphlan
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales	0.83427	1.24272	0.0	0.0	0.0	0.5972	0.06455	1.20695	0.0	2.43401
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales	0.54599	0.481	0.86471	1.23372	1.4719	0.48763	0.60479	0.24761	1.08417	0.78133
k__Bacteria|p__Firmicutes|c__CFGB9491|o__OFGB9491	0.29576	0.10676	0.0	0.0	0.0	0.01745	0.4102	0.04506	0.0	0.00759
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	0.22616	0.13913	0.25665	0.24959	0.29232	0.3512	0.24694	0.16648	0.11718	0.29381
k__Bacteria|p__Firmicutes|c__CFGB9657|o__OFGB9657	0.22578	0.04038	0.0	0.0	0.0	0.03428	0.0	0.01224	0.0	0.00738
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	0.16728	0.01265	0.1871	0.38352	0.7894	0.01884	0.18238	0.01233	0.01937	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	0.11151	0.19171	0.0663	0.0	0.01124	0.19859	0.0	0.04885	0.20139	0.29689
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales	0.10448	0.06511	0.16665	0.12457	0.26875	0.09568	0.10563	0.02012	0.0433	0.06954
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	0.08576	0.07284	0.08378	0.08257	0.09711	0.10254	0.0565	0.06417	0.07138	0.10818
k__Bacteria|p__Firmicutes|c__CFGB77250|o__OFGB77250	0.054	0.04763	0.22191	0.09945	0.28397	0.21896	0.03701	0.08683	0.04237	0.18911
k__Bacteria|p__Firmicutes|c__CFGB78699|o__OFGB78699	0.05337	0.09269	0.13127	0.11476	0.28113	0.14862	0.26142	0.19231	0.25394	0.1905
k__Bacteria|p__Firmicutes|c__CFGB2997|o__OFGB2997	0.04278	0.05181	0.12224	0.0477	0.18797	0.15862	0.01184	0.04243	0.03193	0.11889
k__Bacteria|p__Firmicutes|c__CFGB78576|o__OFGB78576	0.03829	0.03479	0.0	0.0	0.0	0.05303	0.00257	0.03132	0.0	0.04036
k__Bacteria|p__Firmicutes|c__CFGB28941|o__OFGB28941	0.03162	0.18354	0.74139	0.71574	0.79203	0.07452	0.8504	0.10949	0.16707	0.15108
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	0.03039	0.06586	0.0	0.0	0.0	0.043	0.03535	0.01471	0.0	0.03827
k__Bacteria|p__Firmicutes|c__CFGB12479|o__OFGB12479	0.01807	0.10143	0.19074	0.109	0.19171	0.07514	0.05171	0.06966	0.01054	0.11261
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	0.01176	0.0	0.13944	0.4303	0.22341	0.06842	0.12369	0.0431	0.0	0.00652
k__Bacteria|p__Firmicutes|c__CFGB79330|o__OFGB79330	0.00705	0.0	0.0	0.00212	0.00023	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	0.00411	0.00141	0.00579	0.0	0.01485	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	28.40974	47.38921	13.92098	15.32856	20.28402	20.08144	37.25326	35.96396	55.67813	23.92278
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	20.788	7.7982	34.57894	29.88346	35.93173	23.58318	15.9896	17.92246	2.27406	16.29296
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	14.07352	18.31865	26.66094	18.09286	23.4695	30.47111	12.51224	10.82812	10.01444	31.00131
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Akkermansiaceae	11.41912	10.70872	12.77335	9.17964	1.83006	7.18257	17.87502	17.84428	25.84339	8.46656
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	6.55018	1.0193	0.39614	14.584	0.22934	1.13617	1.08488	3.6802	0.09008	1.70463
k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260|f__FGB1260	4.14461	0.21233	0.0	0.0	0.0	0.37011	0.4245	2.35177	0.0	0.09353
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Bacillota_unclassified|f__Bacillota_unclassified	3.90583	4.13924	2.60169	2.54262	3.30799	6.31617	4.2994	2.58805	1.46399	6.04852
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2.27936	0.22531	0.3694	0.23112	0.67972	0.14074	0.17155	0.37194	0.11829	0.35661
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	1.28325	0.31572	0.85939	1.03733	1.33031	0.60016	0.93589	0.50713	0.04456	0.33828
k__Bacteria|p__Firmicutes|c__CFGB72709|o__OFGB72709|f__FGB72709	1.14331	1.72318	1.00141	0.67007	0.77515	3.14606	1.45675	0.49693	0.3386	1.825
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	1.0867	3.28422	0.0	0.0	0.0	2.05943	1.33202	2.75935	0.0	2.93495
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Acutalibacteraceae	0.91637	1.48234	1.56769	1.14059	1.76518	1.12224	1.38722	0.49981	0.15973	1.46787
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0.75622	1.12446	0.0	0.0	0.0	0.50614	0.01693	1.14169	0.0	2.1774
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.54599	0.481	0.86471	1.23372	1.4719	0.48763	0.60479	0.24761	1.08417	0.78133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	0.3663	0.15906	0.28658	0.4068	0.42251	0.30168	0.73714	0.28195	0.01445	0.15793
k__Bacteria|p__Firmicutes|c__CFGB9491|o__OFGB9491|f__FGB9491	0.29576	0.10676	0.0	0.0	0.0	0.01745	0.4102	0.04506	0.0	0.00759
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	0.25586	0.02023	0.15882	0.36811	0.49358	0.07377	0.65331	0.3445	0.02155	0.00402
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827|f__FGB9827	0.22616	0.13913	0.25665	0.24959	0.29232	0.3512	0.24694	0.16648	0.11718	0.29381
k__Bacteria|p__Firmicutes|c__CFGB9657|o__OFGB9657|f__FGB9657	0.22578	0.04038	0.0	0.0	0.0	0.03428	0.0	0.01224	0.0	0.00738
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.20085	0.04521	0.10914	0.28968	0.57313	0.04755	0.0	0.05383	0.0	0.0143
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	0.16728	0.01265	0.1871	0.38352	0.7894	0.01884	0.18238	0.01233	0.01937	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	0.14944	0.1269	0.31827	0.64117	0.41567	0.42957	0.22317	0.43992	0.13311	0.41953
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae	0.11151	0.19171	0.0663	0.0	0.01124	0.19859	0.0	0.04885	0.20139	0.29689
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales|f__Christensenellaceae	0.10448	0.06511	0.16665	0.12457	0.26875	0.09568	0.10563	0.02012	0.0433	0.06954
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	0.09361	0.06605	0.08118	0.43874	0.24548	0.15523	0.12562	0.18443	0.04798	0.03405
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038|f__FGB3038	0.08576	0.07284	0.08378	0.08257	0.09711	0.10254	0.0565	0.06417	0.07138	0.10818
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.07806	0.11826	0.0	0.0	0.0	0.09106	0.04762	0.06526	0.0	0.25662
k__Bacteria|p__Firmicutes|c__CFGB77250|o__OFGB77250|f__FGB77250	0.054	0.04763	0.22191	0.09945	0.28397	0.21896	0.03701	0.08683	0.04237	0.18911
k__Bacteria|p__Firmicutes|c__CFGB78699|o__OFGB78699|f__FGB78699	0.05337	0.09269	0.13127	0.11476	0.28113	0.14862	0.26142	0.19231	0.25394	0.1905
k__Bacteria|p__Firmicutes|c__CFGB2997|o__OFGB2997|f__FGB2997	0.04278	0.05181	0.12224	0.0477	0.18797	0.15862	0.01184	0.04243	0.03193	0.11889
k__Bacteria|p__Firmicutes|c__CFGB78576|o__OFGB78576|f__FGB78576	0.03829	0.03479	0.0	0.0	0.0	0.05303	0.00257	0.03132	0.0	0.04036
k__Bacteria|p__Firmicutes|c__CFGB28941|o__OFGB28941|f__FGB28941	0.03162	0.18354	0.74139	0.71574	0.79203	0.07452	0.8504	0.10949	0.16707	0.15108
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023|f__FGB3023	0.03039	0.06586	0.0	0.0	0.0	0.043	0.03535	0.01471	0.0	0.03827
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichales_unclassified	0.02429	0.0	0.00033	0.01625	0.05617	0.0	0.00134	0.04175	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	0.02029	0.00299	0.00093	0.0	0.00593	0.00714	0.02223	0.0	0.0003	0.00584
k__Bacteria|p__Firmicutes|c__CFGB12479|o__OFGB12479|f__FGB12479	0.01807	0.10143	0.19074	0.109	0.19171	0.07514	0.05171	0.06966	0.01054	0.11261
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633|f__FGB9633	0.01176	0.0	0.13944	0.4303	0.22341	0.06842	0.12369	0.0431	0.0	0.00652
k__Bacteria|p__Firmicutes|c__CFGB79330|o__OFGB79330|f__FGB79330	0.00705	0.0	0.0	0.00212	0.00023	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae	0.00411	0.00141	0.00579	0.0	0.01485	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.00096	0.0	0.0	0.00391	0.00365	0.0	0.0	0.07416	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27918	21.87801	35.57683	10.27973	8.18519	13.21398	13.70351	28.38399	29.24998	42.25459	15.94278
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	11.41912	10.70872	12.77335	9.17964	1.83006	7.18257	17.87502	17.84428	25.84339	8.46656
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	8.62631	2.37885	8.75292	11.72774	14.16023	8.94093	8.59274	8.49515	0.43673	2.75878
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27876	5.16294	9.44961	0.0	0.0	0.0	5.90681	6.60931	3.56895	0.0	7.37684
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dubosiella	4.76807	0.17866	0.39614	14.584	0.22934	0.44265	0.6883	3.12731	0.09008	0.21942
k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260|f__FGB1260|g__GGB29535	4.14461	0.21233	0.0	0.0	0.0	0.37011	0.4245	2.35177	0.0	0.09353
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Bacillota_unclassified|f__Bacillota_unclassified|g__Bacillota_unclassified	3.90583	4.0896	2.60169	2.54262	3.30799	6.31617	4.2994	2.49937	1.46399	5.88557
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30449	3.82787	5.04521	13.78705	8.17525	10.87556	10.89831	1.05574	3.15757	3.31072	10.43188
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28904	2.8014	1.56158	3.73646	2.14132	3.84327	4.39377	2.7586	1.16815	0.25089	2.70855
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	2.27936	0.22531	0.3694	0.23112	0.67972	0.14074	0.1511	0.37194	0.11829	0.35661
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter	2.02329	3.28041	4.0748	2.86744	4.60504	5.81644	1.70362	1.83457	1.796	4.63604
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28695	1.85971	0.01312	0.0	0.0	0.0	0.03449	0.10977	1.41285	0.0	0.01013
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum	1.7821	0.84064	0.0	0.0	0.0	0.69352	0.39658	0.55288	0.0	1.48521
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28818	1.58104	0.07868	0.28072	1.00845	0.36153	0.56576	0.09899	1.23565	0.00286	0.08835
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB20149	1.48337	0.33776	2.71532	5.95662	3.92994	0.35536	0.20114	0.45084	0.28975	0.11879
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30302	1.34893	1.78151	1.79823	1.26832	1.66679	2.32203	2.11149	0.75276	0.61626	2.13975
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30455	1.34212	1.36652	2.77547	1.80068	1.82547	2.26363	0.67018	0.68893	0.91123	2.75966
k__Bacteria|p__Firmicutes|c__CFGB72709|o__OFGB72709|f__FGB72709|g__GGB30300	1.14331	1.72318	1.00141	0.67007	0.77515	3.14606	1.45675	0.49693	0.3386	1.825
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	1.0867	3.28422	0.0	0.0	0.0	2.05943	1.33202	2.75935	0.0	2.93495
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified	1.08648	0.30449	0.78101	0.80234	1.1322	0.54185	0.88273	0.46142	0.04169	0.32817
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30461	1.05429	1.37765	0.17863	0.03257	0.32811	1.38663	1.12035	0.46073	0.31226	1.118
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30463	0.96762	0.60155	0.15828	0.61601	0.0411	1.60618	0.54827	0.52865	0.19407	1.87194
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30475	0.83779	0.47258	0.38899	0.1492	0.47467	0.85213	0.55791	0.43246	0.37545	1.11991
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28870	0.83068	0.59861	6.12706	2.84981	3.15248	1.77953	0.90792	0.50909	0.38093	4.07632
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sangeribacter	0.75688	0.37323	0.75338	0.82674	2.55939	0.23417	1.92852	2.03984	0.64619	0.0927
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Muricaecibacterium	0.75622	1.12446	0.0	0.0	0.0	0.50614	0.01693	1.14169	0.0	2.1774
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28889	0.7459	0.00778	0.2355	0.54841	0.10087	0.1027	0.10301	0.06771	0.01159	0.00387
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30473	0.61078	0.49159	0.52799	0.44068	0.80591	0.60529	0.68747	0.35715	0.59553	0.78992
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB75109	0.58539	0.39847	0.87853	0.30248	1.47167	0.18116	0.40306	0.64266	0.04536	0.24029
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	0.54599	0.45434	0.67145	0.80948	1.19718	0.48248	0.59838	0.23702	0.69572	0.75682
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB28866	0.5413	1.12907	0.0	0.0	0.0	3.34263	0.60101	1.14742	0.0	2.4631
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45514	0.53003	0.48462	0.09761	0.1155	0.20104	0.44102	0.66038	0.2125	0.09065	0.58854
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Acutalibacteraceae|g__Acutalibacter	0.5262	1.26709	0.0	0.0	0.0	0.58974	1.09252	0.36396	0.0	0.72408
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB46159	0.51704	0.95613	1.48308	0.85766	2.14229	0.16802	0.30573	0.67738	2.87643	0.43198
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus	0.39296	0.96445	0.50732	0.16787	0.79581	0.66346	1.02518	0.16801	0.18977	0.8321
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Acutalibacteraceae|g__GGB30297	0.39017	0.2117	0.0	0.02392	0.0	0.5325	0.2947	0.12333	0.0	0.65711
k__Bacteria|p__Firmicutes|c__CFGB9491|o__OFGB9491|f__FGB9491|g__GGB45602	0.29576	0.10676	0.0	0.0	0.0	0.01745	0.4102	0.04506	0.0	0.00759
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Senimuribacter	0.25586	0.02023	0.15882	0.36811	0.49358	0.07377	0.65331	0.3445	0.02155	0.00402
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45512	0.24939	0.13683	0.19602	0.19093	0.1941	0.23857	0.57033	0.1801	0.40825	0.15641
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827|f__FGB9827|g__GGB29531	0.22616	0.13913	0.25665	0.24959	0.29232	0.3512	0.24694	0.16648	0.11718	0.29381
k__Bacteria|p__Firmicutes|c__CFGB9657|o__OFGB9657|f__FGB9657|g__GGB28829	0.22578	0.04038	0.0	0.0	0.0	0.03428	0.0	0.01224	0.0	0.00738
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Otoolea	0.22364	0.1119	1.31506	0.54316	0.98086	0.39333	0.12104	0.14836	0.0987	0.77288
