final_bin	group	origin_binner	raw_bin_matched	completeness_pct	contamination_pct	quality_tier_MIMAG	genome_size_bp	n50_bp	gc_pct	num_contigs	gtdb_classification
MEGAHIT-MetaBAT2Refined-group-AL.93.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.93.fa	99.08	0.35	High	1995386	72553	52.08	47	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp910589155
MEGAHIT-MetaBAT2Refined-group-AL.95.fa	AL	MetaBAT2	MEGAHIT-MetaBAT2-group-AL.95.fa	97.05	0.01	High	2407616	48946	56.13	93	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp910577315
MEGAHIT-MetaBAT2Refined-group-IF.100_sub.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.100.fa	69.59	3.84	Medium	2419039	22845	61.05	184	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp910584605
MEGAHIT-MetaBAT2Refined-group-IF.107.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.107.fa	97.36	6.63	Medium	4181949	34728	51.86	197	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp910585765
MEGAHIT-MetaBAT2Refined-group-IF.129.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.129.fa	86.45	0.45	Medium	3029520	41529	47.05	136	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Claveliimonas;s__Claveliimonas sp910588745
MEGAHIT-MetaBAT2Refined-group-IF.13.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.13.fa	97.93	1.79	High	3631342	112261	52.1	55	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp003612485
MEGAHIT-MetaBAT2Refined-group-IF.131.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.131.fa	87.7	3.75	Medium	3339599	9907	48.9	473	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__1XD8-76 sp022799355
MEGAHIT-MetaBAT2Refined-group-IF.147.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.147.fa	81.36	4.77	Medium	2239436	85099	56.14	42	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp910579675
MEGAHIT-MetaBAT2Refined-group-IF.14_sub.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.14.fa	57.07	1.62	Medium	1892717	3591	59.78	569	
MEGAHIT-MetaBAT2Refined-group-IF.151.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.151.fa	74.54	1.79	Medium	1659853	98248	58.44	35	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vermiculatibacterium;s__Vermiculatibacterium sp910587345
MEGAHIT-MetaBAT2Refined-group-IF.162_sub.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.162.fa	95.25	0.02	High	3594373	34614	53.03	203	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp011959105
MEGAHIT-MetaBAT2Refined-group-IF.168.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.168.fa	93.28	0.54	High	2542967	64216	62.0	60	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Parvibacter;s__Parvibacter sp910588725
MEGAHIT-MetaBAT2Refined-group-IF.23.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.23.fa	86.27	0.0	Medium	2261184	22902	41.26	189	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__An181;s__An181 sp910585545
MEGAHIT-MetaBAT2Refined-group-IF.44_sub.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.44.fa	92.17	3.55	High	2861108	9518	62.57	399	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp022795575
MEGAHIT-MetaBAT2Refined-group-IF.54.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.54.fa	94.99	0.85	High	3305436	36813	53.6	155	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__Otoolea sp009911305
MEGAHIT-MetaBAT2Refined-group-IF.81_sub.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.81.fa	93.14	34.19	Low	4382126	21269	59.72	328	
MEGAHIT-MetaBAT2Refined-group-IF.87.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.87.fa	99.97	0.41	High	2007688	46994	63.71	71	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium globosum
MEGAHIT-MetaBAT2Refined-group-IF.88.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.88.fa	84.82	0.01	Medium	2167777	56860	52.68	55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp910588065
MEGAHIT-MetaBAT2Refined-group-IF.99_sub.fa	IF	MetaBAT2	MEGAHIT-MetaBAT2-group-IF.99.fa	79.51	1.2	Medium	1595349	6775	48.06	327	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__Avispirillum;s__Avispirillum sp011957885
MEGAHIT-SemiBin2Refined-group-AL.118.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_118.fa	94.39	3.18	High	3676318	55454	52.35	90	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp011959105
MEGAHIT-SemiBin2Refined-group-AL.124.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_124.fa	98.02	0.06	High	2653970	14782	60.05	268	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp022794295
MEGAHIT-SemiBin2Refined-group-AL.131.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_131.fa	98.8	0.54	High	2852250	69085	53.68	101	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775265
MEGAHIT-SemiBin2Refined-group-AL.147.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_147.fa	81.77	0.34	Medium	3072546	10860	47.23	405	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__UMGS1370 sp910577645
MEGAHIT-SemiBin2Refined-group-AL.152_sub.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_152.fa	87.52	2.72	Medium	2794281	26224	50.2	220	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__QZDW01;s__QZDW01 sp009917545
MEGAHIT-SemiBin2Refined-group-AL.154_sub.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_154.fa	84.39	3.5	Medium	2947240	12108	60.21	381	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp022797935
MEGAHIT-SemiBin2Refined-group-AL.15_sub.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_15.fa	93.8	6.48	Medium	4779876	46290	50.75	238	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910587555
MEGAHIT-SemiBin2Refined-group-AL.16.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_16.fa	86.72	3.9	Medium	2650585	16336	64.19	284	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia caecimuris
