gene_id,gene_name,cDC1_Tumor_1,cDC1_Tumor_2,cDC1_Tumor_3,cDC1_un_1,cDC1_un_2,cDC1_un_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000020283.6,Pex13,1496,1718,1797.998,666.001,869,753,1464.296722278127,0.8079920685163297,0.06456689162321078,2.3385913905014708e-36,6.971455071944026e-36,Up
ENSMUSG00000042569.14,Dhrs7b,1159,1249,1406,491,597,575,869.2455039106053,0.8707479478524729,0.06964673544818323,2.352987123289165e-36,7.012548958403706e-36,Up
ENSMUSG00000021156.18,Zmynd11,4181.998,4637.999,5059.739,4876,5375,4872,4713.821121403728,-0.44221401241480135,0.03520033871115724,2.4072199046821518e-36,7.172316078221368e-36,Down
ENSMUSG00000068566.14,Myadm,11924,12925,14499,14596.999,16177.999,15471,13458.4961180558,-0.5517897655390042,0.04398553659166574,2.56143985220859e-36,7.629834973517831e-36,Down
ENSMUSG00000031513.9,Leprotl1,2755,2820,3237,3277,3643,3543,2764.855203532286,-0.565415830191364,0.045096404245142815,2.7327942611770277e-36,8.138142246134804e-36,Down
ENSMUSG00000023915.6,Tnfrsf21,234,195,252,477,511,496,243.98088731363282,-1.4254503800514597,0.11486172131430938,2.8335608151329392e-36,8.436032885706907e-36,Down
ENSMUSG00000028744.16,Slc66a1,586.999,604,714,858,984.999,929,754.0095820182223,-0.8550668237852328,0.06846549032518957,2.8840376250434034e-36,8.584086067489217e-36,Down
ENSMUSG00000056116.19,H2-T22,4505.855,4550.773,4983.063,2491.509,2653.359,2545.306,4156.178017564042,0.5483647419102543,0.04375375535794952,2.9898181667214894e-36,8.896626589391776e-36,Up
ENSMUSG00000043702.10,Pde12,1019,1065,1233,1390,1492,1323,1259.2299585278831,-0.6586764653782595,0.052632532008397855,3.126540739687511e-36,9.30105370824655e-36,Down
ENSMUSG00000059142.17,Zfp945,603.249,744.282,647.221,216,234,189.001,626.79677800051,1.3128197163248598,0.10584328030111959,3.417367207638164e-36,1.0163591723726765e-35,Up
ENSMUSG00000026641.14,Usf1,2870.812,2977.968,3221.001,3766.909,4082.971,3574.915,3650.1587392107826,-0.6464896637074051,0.05171091733347208,3.746249570538022e-36,1.1138835789354766e-35,Down
ENSMUSG00000063382.7,Bcl9l,1838,2075,2239.666,994.483,940,903,1446.9293127019093,0.7895630944789522,0.06329310034328409,3.989669384155959e-36,1.1859532368175738e-35,Up
ENSMUSG00000029673.20,Auts2,29.001,14,24,157.999,176,140.001,59.377866711292214,-3.089095845088716,0.2542490709771216,4.116751449338477e-36,1.223412445464641e-35,Down
ENSMUSG00000036402.14,Gng12,4463,4854,5666,2686,2895.001,2758,3386.0357574082404,0.5206889940803923,0.041622073997930074,4.1744101152294875e-36,1.240226425696771e-35,Up
ENSMUSG00000040188.11,Scamp2,4768.999,4874,5329,5571.999,6106.999,5669,6081.543404111349,-0.5279545773530953,0.04221188948530678,4.2691104983513206e-36,1.2680340365382364e-35,Down
ENSMUSG00000003868.15,Ruvbl2,1654,1650,1866,2125,2361,2185,1852.4912350396282,-0.6819638335131775,0.054619118419755495,4.304576058772039e-36,1.278237571318317e-35,Down
ENSMUSG00000041000.9,Trim62,784,869,915,335,403,369,754.230377982004,0.88847452757551,0.07136544902455658,4.377220772651575e-36,1.2994732712605491e-35,Up
ENSMUSG00000032898.10,Fbxo21,1922.001,2198,2261,1039.001,1152,1026,1670.849133561092,0.6659672856171177,0.05333601250571623,4.40837979786146e-36,1.308385247320836e-35,Up
ENSMUSG00000026768.11,Itga8,42,63,63,201,199,224,101.7767497644544,-2.1812331913836327,0.17761371494675607,4.465801030144267e-36,1.325085096360378e-35,Down
ENSMUSG00000029201.15,Ugdh,1551,1764.636,1857,2318,2434.721,2359,2227.949515272684,-0.7747649294877559,0.062147594506168656,4.561807445433917e-36,1.3532222912921125e-35,Down
ENSMUSG00000118346.2,Tmem179b,730,719,825.999,997,1111,1010,850.3030098114169,-0.768071343006346,0.06163708096181345,4.9467379746425524e-36,1.4670297562711887e-35,Down
ENSMUSG00000029777.11,Gars1,9129,9810,11078,5577.999,6269,5850,7459.71985160289,0.4405764234270532,0.03523504806507413,5.068403121270779e-36,1.5027232905125836e-35,Up
ENSMUSG00000013663.9,Pten,6352.143,7004.344,7628.804,7627.676,8191.353,7158.389,7577.032970694364,-0.4487235438663063,0.035897119021931614,5.246090684458078e-36,1.5550041127938076e-35,Down
ENSMUSG00000067369.13,Trmt2b,728.001,773,888.001,1084.001,1245,1160,888.9578885846844,-0.8600565291809606,0.0691462612579849,5.3920416693813164e-36,1.597853277148533e-35,Down
ENSMUSG00000026819.16,Slc25a25,1418.999,1569.001,1676.999,1970.999,2105,1924,2247.308173574168,-0.6786600220647447,0.05443212798849344,5.4159650335002796e-36,1.6042266257085652e-35,Down
ENSMUSG00000045045.8,Lrfn4,376,446,464,150,144,133,359.7174664603953,1.2562006512703678,0.10153401791856002,5.416342966012459e-36,1.6042266257085652e-35,Up
ENSMUSG00000023259.18,Slc26a6,330,392,411,111.999,116,107.999,270.3388963206961,1.4159320978912866,0.11459915571419395,5.6366697975431995e-36,1.6690531017325568e-35,Up
ENSMUSG00000063511.12,Snrnp70,11634.002,12400.001,13372.001,18952,21637.001,15914.001,15228.851094459751,-0.901450784238453,0.07256600644674857,5.9655230804803507e-36,1.7659732284907415e-35,Down
ENSMUSG00000039585.16,Myo9a,1601.999,1692,1928,2498,2791,2182,2021.8988224986654,-0.8280887745844953,0.06663287417066949,6.61613838930981e-36,1.9580700289805298e-35,Down
ENSMUSG00000041650.16,Pcca,881.998,996,1140.999,1225,1385,1231.001,1146.6690695062325,-0.6647571616993658,0.053387594658256377,6.831154161928226e-36,2.0211837990575064e-35,Down
ENSMUSG00000028551.15,Cdkn2c,1565,1601,1826,2187,2437,2364,1451.4681251258075,-0.7994310315808529,0.06433084474039538,7.112801388560179e-36,2.1039747126439085e-35,Down
ENSMUSG00000031652.12,N4bp1,2798,3052,3177.243,1595,1699,1582,2963.5636229028673,0.5678348825686489,0.04557218473419929,7.24384605925743e-36,2.142186049406466e-35,Up
ENSMUSG00000031145.16,Prickle3,335,287.001,325.999,573.001,634.999,542,529.8416596795763,-1.1858620583130575,0.09596919279945239,7.3295950276761425e-36,2.1669860891556424e-35,Down
ENSMUSG00000026159.14,Agfg1,3597.999,4033.999,4421,1975,2265,1834.999,3212.757574536739,0.6662873555152516,0.053537265209948136,7.364875141054786e-36,2.1768561452955496e-35,Up
ENSMUSG00000023994.14,Nfya,3245.999,3519,3655.001,4657,4783.001,4302,4875.507972696898,-0.7125588711808615,0.05729061561748684,7.431848713947413e-36,2.1960864328939307e-35,Down
ENSMUSG00000041084.9,Ostc,2506,2534,3034,3066,3316,3149,2577.5209412619615,-0.5581009049948289,0.044823522975677446,8.242152047911683e-36,2.4349017742775886e-35,Down
ENSMUSG00000031458.9,Coprs,338.001,414,408,118,114.001,114.001,261.6990759086027,1.4080264282201376,0.11427440087682254,8.657511441090602e-36,2.5569496882212804e-35,Up
ENSMUSG00000073700.4,Klhl21,1904,2062,2099,896,985,924,1572.8098548957516,0.7901444529616423,0.06365760631854206,8.693367207582269e-36,2.5668792914545434e-35,Up
ENSMUSG00000025289.16,Prdx4,672,694,781,959,1042,983,665.3470523436632,-0.7890059748961551,0.06357235840677458,8.853213170783662e-36,2.6134048030876295e-35,Down
ENSMUSG00000059734.8,Ndufs8,2123,2127,2521,2679,2817.999,2661.999,2255.4147091005384,-0.5869760384031641,0.04720763985984586,9.747042428275646e-36,2.876517301564874e-35,Down
ENSMUSG00000024740.11,Ddb1,16854.999,18621,20642,11366.001,12096.001,11156,16513.61160240811,0.3750595701263374,0.030106811191138973,9.905411884608282e-36,2.922503717136611e-35,Up
ENSMUSG00000078453.4,Abracl,2232,2349,2490.999,2899,3119,3069,2914.6450382102994,-0.6763559282671547,0.054459416982544535,9.990697705393862e-36,2.946909369407596e-35,Down
