gene_id,gene_name,cDC1_TNFa_1,cDC1_TNFa_2,cDC1_TNFa_3,cDC1_un_1,cDC1_un_2,cDC1_un_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000042978.12,Sbk1,968,751,832,864,882,976,798.6446461322854,-0.10614141723528511,0.10512736404456263,0.28523530091134863,0.3280605929852781,NS
ENSMUSG00000040268.18,Plekha1,5390.999,5278.999,5356.998,5351.001,5933.001,5222,4777.872035538552,-0.05683427390269352,0.05521774001921946,0.28530514719473854,0.32810806261764475,NS
ENSMUSG00000027394.14,Ttl,397,339.999,367,384.001,357,430,544.2935579795445,-0.09907990294373592,0.09770987540406535,0.2854987658036769,0.32829784976202897,NS
ENSMUSG00000037761.17,Actr5,915,878,879,882.001,998,888.001,851.4368477165696,-0.06488452045181965,0.06319644331060623,0.2862393075801251,0.3291164482770178,NS
ENSMUSG00000050973.12,Gdpgp1,162,141,136,126,128,136,158.5495427280523,0.13076364695723822,0.13285996167883735,0.28652786994293983,0.32941525135710636,NS
ENSMUSG00000035725.14,Prkx,1487,1441,1487,1445,1627,1447,1965.6515363990254,-0.04879040509737812,0.04758803769036666,0.28675498202323296,0.3296433535461792,NS
ENSMUSG00000031200.17,Mtcp1,74.947,113.11,103.87,127.407,125.602,83.166,99.72844903827266,-0.16939970095966364,0.1820150485929051,0.2871421158366096,0.33002231169570495,NS
ENSMUSG00000032718.5,Mansc1,43,38,48,45,50,56,48.415150377147626,-0.18490703513064288,0.20460186766419855,0.2871389867094498,0.33002231169570495,NS
ENSMUSG00000029426.9,Scarb2,5909,5377,5696,5298,5664,5286,6291.55096898685,0.042720018651164336,0.04179209173318403,0.28727808701985624,0.33014554375990884,NS
ENSMUSG00000025413.14,Ttc4,799,797.001,782.001,774,934,756,1066.668816911103,-0.0637177332796165,0.062242084113438755,0.2877139725408464,0.33061338403748014,NS
ENSMUSG00000107622.2,4930512J16Rik,115,107,115.999,148,123,109,96.64200353944277,-0.154893578719833,0.16306387180494078,0.28831414132387795,0.33126989041645893,NS
ENSMUSG00000066621.13,Tecpr1,1199,1107.001,1184,1212.999,1303,1114,11956.2428665921,-0.07028551619031269,0.06884025637718993,0.2883871057221553,0.33132057378764473,NS
ENSMUSG00000059552.14,Trp53,4897.967,4360.96,4882.922,4505.984,5239.966,4744.937,4334.888287940227,-0.05068781240931979,0.049695407092027716,0.28944565083793244,0.33250344223409145,NS
ENSMUSG00000034210.15,Efcab14,1936.998,1848.001,1912.999,1771.001,1914,1758.001,2010.80993344819,0.04569013331631603,0.044900044350595913,0.29001937939711775,0.3331291921193461,NS
ENSMUSG00000004815.13,Dgkq,687.999,678.999,673.001,647.999,712,550.001,711.435098057878,0.07436906259237161,0.0732282899801611,0.2903555738553983,0.33348200185852556,NS
ENSMUSG00000024726.11,Carnmt1,967.749,909.528,893.782,925.778,987.8,946.983,1024.195596460116,-0.06119639432160776,0.06011815202858339,0.2905512593813848,0.3336733784854927,NS
ENSMUSG00000096458.8,Moap1,208.873,199.406,176.737,209.949,214.783,207.41,339.45882830729295,-0.1161448130048264,0.11740901442453407,0.2906204840874889,0.3337195018776635,NS
ENSMUSG00000117869.2,Snhg4,279.46,313.691,272.729,310.493,331.331,287.274,229.44591361656435,-0.10553070507253025,0.10592387299997003,0.29138727848048435,0.3345665552236178,NS
ENSMUSG00000020451.18,Limk2,1764,1835.001,1702,1644.001,1745.999,1637,1831.735155657635,0.05577795213494503,0.05513257942322489,0.29359857891615254,0.33707183380265743,NS
ENSMUSG00000021619.7,Atg10,313,243,258,267,313,287,295.583925820619,-0.10003623018633223,0.10053422546794731,0.2937444559522651,0.3372055970908588,NS
