taxon	meanAL	meanIF	meanRA	prev	log2FC	p	padj
Enterocloster bolteae	0.0210072620461467	0.0130505461681974	0.0170289041071721	10	-0.686736089241659	0.30952380952381	0.599078341013825
Faecalibacterium taiwanense	0.00125810371253369	0.000770662137505508	0.0010143829250196	10	-0.706355897830423	0.30952380952381	0.599078341013825
Flavonifractor plautii	0.00995297456457876	0.00676562127345374	0.00835929791901625	10	-0.556837057065239	0.30952380952381	0.599078341013825
Ihubacter sp. rT4E-8	0.00466453388099619	0.00298070200401253	0.00382261794250436	10	-0.645906099724967	0.30952380952381	0.599078341013825
Lactobacillus johnsonii	0.0147164929260953	0.00549568757713539	0.0101060902516153	10	-1.42089754786794	0.30952380952381	0.599078341013825
Mediterraneibacter gnavus	0.0027513812519023	0.00161614515775013	0.00218376320482622	10	-0.767231138402977	0.30952380952381	0.599078341013825
Oscillibacter hominis	0.00284002733871952	0.00197463316984173	0.00240733025428062	10	-0.524097618278344	0.30952380952381	0.599078341013825
Pusillibacter faecalis	0.00289585916984224	0.0019539767087025	0.00242491793927237	10	-0.567338130433774	0.30952380952381	0.599078341013825
Vescimonas coprocola	0.00193822658406316	0.0013831856493373	0.00166070611670023	10	-0.486443928706197	0.30952380952381	0.599078341013825
Vescimonas fastidiosa	0.0016878459747366	0.00118447580040749	0.00143616088757204	10	-0.510571545397995	0.30952380952381	0.599078341013825
[Clostridium] scindens	0.00700256686179409	0.00371591403193852	0.00535924044686631	10	-0.913984541853308	0.30952380952381	0.599078341013825
Acutalibacter muris	0.0216008265480466	0.0134363952786486	0.0175186109133476	10	-0.684899793576766	0.420634920634921	0.630952380952381
Adlercreutzia equolifaciens	0.00301948385091375	0.00179127618603904	0.00240538001847639	10	-0.752986702356025	0.420634920634921	0.630952380952381
Adlercreutzia hattorii	0.00243943735243266	0.00158972111194334	0.002014579232188	10	-0.617458795338013	0.420634920634921	0.630952380952381
Akkermansia muciniphila	0.503849748826868	0.657145795103652	0.58049777196526	10	0.383219238954627	0.420634920634921	0.630952380952381
Anaerotruncus colihominis	0.00252648612158999	0.00161847862947494	0.00207248237553246	10	-0.64217373976353	0.420634920634921	0.630952380952381
Blautia massiliensis (ex Durand et al. 2017)	0.00796468112170793	0.00518082478756709	0.00657275295463751	10	-0.620337492923539	0.420634920634921	0.630952380952381
Enterococcus faecium	0.00145790357281618	0.00104809676058366	0.00125300016669992	10	-0.475736783435215	0.420634920634921	0.630952380952381
Faecalibacterium prausnitzii	0.00208153558842519	0.00136309878274277	0.00172231718558398	10	-0.610393027475373	0.420634920634921	0.630952380952381
Taurinivorans muris	0.00160048739459458	0.00107075549860549	0.00133562144660003	10	-0.579436623744018	0.420634920634921	0.630952380952381
Bifidobacterium pseudolongum	0.00395993734389168	0.00640377251492582	0.00518185492940875	10	0.693305449608555	0.547619047619048	0.68452380952381
Flintibacter sp. KGMB00164	0.00404089289343297	0.00297627646882975	0.00350858468113136	10	-0.441037896145865	0.547619047619048	0.68452380952381
Intestinimonas butyriciproducens	0.00229479440086822	0.00157588993878016	0.00193534216982419	10	-0.541911478965016	0.547619047619048	0.68452380952381
Lactococcus cremoris	0.0349327908015681	0.0134942517456432	0.0242135212736057	10	-1.37217131403308	0.547619047619048	0.68452380952381
Lactococcus lactis	0.0173045324348845	0.00746785042001383	0.0123861914274491	10	-1.21227521870147	0.547619047619048	0.68452380952381
Lactococcus sp.	0.00985217039500223	0.0057025551694125	0.00777736278220737	10	-0.78872653874637	0.547619047619048	0.68452380952381
Pseudoflavonifractor gallinarum	0.00229583164382527	0.00170277066839649	0.00199930115611088	10	-0.43091395360856	0.547619047619048	0.68452380952381
uncultured Alistipes sp.	0.00089503122392917	0.00142594889346293	0.00116049005869605	10	0.671312753498182	0.547619047619048	0.68452380952381
Duncaniella sp. B8	0.0123882189521574	0.00989442809080067	0.011141323521479	7	-0.324251212335292	0.672335808365955	0.796703296703297
Bacteroides caecimuris	0.00480658229850379	0.00112532941032501	0.0029659558544144	10	-2.09368272964482	0.69047619047619	0.796703296703297
Lawsonibacter asaccharolyticus	0.00462819068440467	0.0034032031625407	0.00401569692347269	10	-0.443442851463937	0.69047619047619	0.796703296703297
Leptogranulimonas caecicola	0.00868672364464565	0.0288421112923995	0.0187644174685226	10	1.73117667874184	0.69047619047619	0.796703296703297
Enterococcus faecalis	0.00686840545448318	0.00491770179301225	0.00589305362374771	10	-0.481907648321336	0.841269841269841	0.870279146141215
Faecalibaculum rodentium	0.0196650657757173	0.0196806261865093	0.0196728459811133	10	0.0011410544067304	0.841269841269841	0.870279146141215
Muribaculum gordoncarteri	0.00421293009992196	0.00512287412184989	0.00466790211088592	10	0.282068650312387	0.841269841269841	0.870279146141215
Muribaculum intestinale	0.00744870487285865	0.00642566186364726	0.00693718336825295	10	-0.213113705446883	0.841269841269841	0.870279146141215
Paramuribaculum intestinale	0.00585819448118729	0.0066376116114843	0.00624790304633579	10	0.180179212841965	0.841269841269841	0.870279146141215
Streptococcus thermophilus	0.00126993002794477	0.000879994006431321	0.00107496201718805	10	-0.528680494451021	0.841269841269841	0.870279146141215
Duncaniella dubosii	0.00402055280359485	0.00414860540822753	0.00408457910591119	10	0.0452214921264616	1	1
Limosilactobacillus reuteri	0.00120127495427921	0.00516000872322308	0.00318064183875115	9	2.10188619815629	1	1
