gene_id,gene_name,ASHL_1,ASHL_2,ASHL_3,CTRL_1,CTRL_2,CTRL_3,CTRL_4,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000116299.17,ELAPOR1,406.001,477.001,722,515.001,569.001,477,446,510.33116208039235,-0.06987744482165112,0.06967988595051332,0.2550602323573265,0.3954095257986455,NS
ENSG00000180347.15,ITPRID1,37,42,93,20,56,36,40,41.44000255720071,0.1047582855114563,0.18573386667898706,0.2550684930253071,0.3954095257986455,NS
ENSG00000088854.13,DNAAF9,1789,2145.006,2872,2098,1948.002,1956,1790,1821.5260697154538,0.04398811789338975,0.04029453661345808,0.2551312380363128,0.39543351527583825,NS
ENSG00000130684.14,ZNF337,742,928,1290,866,831,898,739,856.2388765309636,0.05680654721700421,0.053804274984656536,0.2551682283032169,0.39543351527583825,NS
ENSG00000242689.3,CNTF,17,17,21,12,9,15,12,15.133448747077471,0.10218793898088628,0.20595146369731232,0.2551410197825847,0.39543351527583825,NS
ENSG00000113716.13,HMGXB3,828,979.999,1376,988.999,927,882.001,797,885.1215736533894,0.05646990549942225,0.053435756620386826,0.25522184672166387,0.39543813453739773,NS
ENSG00000138669.10,PRKG2,42,36,49,59,55,38,36,38.75105969495262,-0.10470387971769789,0.16709007286430003,0.2552763336541351,0.39543813453739773,NS
ENSG00000147082.18,CCNB3,14,16,31,12,13,12,13,15.272316479239116,0.10035309457926826,0.21352887689440408,0.25533342085105326,0.39543813453739773,NS
ENSG00000173818.17,ENDOV,567.002,689,911.001,699,658.999,739.001,610.001,599.8138444809962,-0.06425432046670117,0.06253477502613455,0.25533973159169565,0.39543813453739773,NS
ENSG00000181031.16,RPH3AL,57,60,67.001,48,49,51,36.001,42.60381362131091,0.10392338126225968,0.1575667939523834,0.2553043908221525,0.39543813453739773,NS
ENSG00000186377.8,CYP4X1,300,385,513,357,331,319,302,334.78073911442897,0.07935667225103532,0.08370580823223699,0.25531102457236354,0.39543813453739773,NS
ENSG00000129003.19,VPS13C,1955,2185.999,3159,2116,2095,2143,1864.999,2153.2931891983853,0.0591495212576362,0.05649555565909025,0.25543546024854663,0.3955124426070104,NS
ENSG00000249931.5,GOLGA8K,46.828,49.133,62.191,30.909,26.693,27.512,59.507,43.61993210954023,0.10479144013526658,0.18298688211941352,0.2554438980485507,0.3955124426070104,NS
ENSG00000147202.19,DIAPH2,74,59,114,79,64,50,55,73.88293063324481,0.1018326314586778,0.14362824840101152,0.2555492549860623,0.39563206080369157,NS
ENSG00000186976.15,EFCAB6,58.999,65,103,66,53,52,55.001,59.54097159824933,0.1021455626775642,0.14598313883753927,0.25600038152461474,0.3962869017575647,NS
ENSG00000114861.24,FOXP1,276.34,283,428.841,344.409,311.376,344.768,262.504,306.36277015798134,-0.07916875618983908,0.08361269105034164,0.256096430393549,0.3963414015083263,NS
ENSG00000151092.18,NGLY1,334,439.001,603,468.999,429,419.001,410,424.5585428678382,-0.07205800259910337,0.07286810144017596,0.25606392175080983,0.3963414015083263,NS
ENSG00000164403.15,SHROOM1,24,33,65,29,36,25,22.001,28.495794877750104,0.10474508554408468,0.17613662049573778,0.25612004197192645,0.3963414015083263,NS
ENSG00000243709.1,LEFTY1,13.495,12.417,30.065,17.183,18.165,19.693,30.658,23.288656233711794,-0.10170279952255326,0.2068004911810974,0.2562579307148151,0.3965111997509487,NS
ENSG00000153006.16,SREK1IP1,466,599,845.999,558,556,561,452.999,523.1145062606685,0.06542352662683604,0.06415556424963521,0.2563573513221409,0.3966214449741122,NS
ENSG00000149201.10,CCDC81,21,36,61.999,25,23.001,38,21.999,28.483522190481256,0.10463733866200636,0.17991747850845474,0.25639271814669085,0.39663257650667627,NS
