gene_id,gene_name,CHD3_1,CHD3_2,CHD3_3,CHD3_4,CTRL_1,CTRL_2,CTRL_3,CTRL_4,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000108679.13,LGALS3BP,2519,2079,2371.999,2454.002,1056.999,943.999,1052.999,749.998,1888.761030864957,1.474738147561691,0.05567531740090786,2.4414442286894224e-157,7.313424105471996e-155,Up
ENSG00000123091.5,RNF11,1376,1260,1434,1318,3250,3312,3220.999,2854,2681.540016881589,-1.0469269964901788,0.03997856858478214,7.034891652854362e-153,2.063421657927845e-150,Down
ENSG00000075340.23,ADD2,2922.001,2522.999,2797.999,2890.999,6075.001,5661.001,5701.001,5414.001,4543.560542358375,-0.8585832605392566,0.033225829892508586,1.3038456015644745e-148,3.7462943315155584e-146,Down
ENSG00000116852.15,KIF21B,7503,6500.999,6710,6908.999,16585.999,15237.001,15438,14910,11581.772677914607,-0.9898473575283986,0.03836777676760674,2.2377119611213697e-148,6.300949340125553e-146,Down
ENSG00000203879.12,GDI1,8571,7294,8400,8525,17435.997,16615.991,16592.001,16068.999,13350.717863931395,-0.847601072346123,0.03286598076573714,5.094113194097458e-148,1.4062748952881982e-145,Down
ENSG00000275832.5,ARHGAP23,1546.061,1364.082,1428.178,1491.7,3530.35,3523.553,3475.25,3127.661,2851.643609467812,-1.0454518102631056,0.04084055561097555,3.0281986027471362e-146,8.198847716937871e-144,Down
ENSG00000175130.7,MARCKSL1,6025,4984,6378,6560,15062,14911,14373,13855,11109.849712744546,-1.1021898806328885,0.04324833047728048,4.1996068218216365e-145,1.1155898951778645e-142,Down
ENSG00000124535.16,WRNIP1,645,484.001,579,541,1728,1694,1582.001,1509,1109.4760743660381,-1.3491302863431978,0.05325029079296179,5.128399867036169e-144,1.337087809777819e-141,Down
ENSG00000125744.12,RTN2,495.464,416,555.001,534,1656.999,1553.999,1565,1507.001,1115.762226843822,-1.464654432182386,0.05949894130226134,1.6435944954607078e-136,4.207303073016601e-134,Down
ENSG00000112972.15,HMGCS1,7497,6205.001,7004,6974.001,13744.001,13173,12862.001,12621.001,10141.60789699315,-0.7443426892605567,0.030282500393491202,1.1541016581010618e-134,2.9015352222151515e-132,Down
ENSG00000173786.17,CNP,672.004,610,697.001,732,1944.001,1786,1870.001,1688,1396.5027818105218,-1.240969025834719,0.05081303866121711,7.199672542648869e-134,1.7783191180342707e-131,Down
ENSG00000102225.17,CDK16,1452.001,1297.999,1440.999,1372.002,3233,3105.001,3055.002,2975.999,2524.2529201417233,-0.9719844401072419,0.03978402630716722,2.0981494460775665e-133,5.093076905401045e-131,Down
ENSG00000241360.2,PDXP,725,691,758,768,2003.793,2086,2005.296,1909,1439.8703737663834,-1.2579485001447952,0.051862515943590363,3.835029096332839e-132,9.151419431740685e-130,Down
ENSG00000134590.14,RTL8C,997.536,849.526,964.219,1053.426,2481.691,2366.625,2522.225,2254.961,1748.1754785733353,-1.1337497250109496,0.04675934610833599,8.997870450032537e-132,2.1113503011001346e-129,Down
ENSG00000135018.14,UBQLN1,2104,1798,2033,1990.999,4158,4062,4268,3787.999,3300.77587677236,-0.8587070922917441,0.03544999828797946,5.359250484192729e-131,1.2369325830647447e-128,Down
ENSG00000091039.17,OSBPL8,1197,1013.001,1093,1090,2594,2677.999,2704,2335,1954.071716556623,-1.0480043370005732,0.04346925227246003,3.76699093064622e-130,8.554107308478731e-128,Down
ENSG00000109572.16,CLCN3,2156,1805,2070.001,1844.997,4371.999,4533.998,4322.001,4032,3469.178898809197,-0.9513846305593591,0.039808831337998715,9.134413423296796e-128,2.0413239140729458e-125,Down
ENSG00000089486.17,CDIP1,960.001,849,970,947,2292,2142.001,2185.999,1942,1744.8138520015577,-1.0171377081734647,0.04288181975879746,4.899809042315933e-126,1.0778814297932191e-123,Down
ENSG00000157870.17,PRXL2B,680,547.001,576.001,639.999,1762.001,1689.999,1682.003,1514.999,1309.2763858748972,-1.2582323501108774,0.05319568570848809,7.272185097634147e-126,1.575155292147556e-123,Down
ENSG00000174307.7,PHLDA3,534,473,509,495,1379,1432.939,1318,1265,1159.7034351317443,-1.2374984577416501,0.052407675584356904,2.09364123393269e-125,4.466117414020961e-123,Down
ENSG00000121653.11,MAPK8IP1,2668,2397.919,2578,2614.448,5964.297,5779.734,5540,5586.75,4474.1015579211435,-0.9757561020348255,0.04143501263934771,3.342008650327937e-124,7.022707431039855e-122,Down
ENSG00000101204.18,CHRNA4,1080.997,887.982,1010,1029.989,2414.996,2303.997,2282,2161.989,1818.2024159617836,-1.0113532511524002,0.04300311927332938,5.905014810460667e-124,1.2225985811246432e-121,Down
ENSG00000172346.15,CSDC2,509,479,511,476,1418,1410,1406,1306,1059.639770565478,-1.3000692462200483,0.055426494292017056,6.047290417780533e-124,1.233910170897567e-121,Down
ENSG00000182307.14,C8orf33,489.999,432.999,464,481.57,1420,1279.001,1311.001,1198.001,965.292871264216,-1.2905299871907625,0.05508797979138336,1.2613775678725245e-123,2.536990682582468e-121,Down
ENSG00000087085.16,ACHE,944.998,844.999,848.001,802,2294,2350.002,2351.999,2233,1797.0501458639428,-1.2378413510484563,0.05293532742529784,4.5705198847666675e-123,9.063147810933791e-121,Down
ENSG00000018625.15,ATP1A2,5213.928,4288.946,5643.912,4976.93,2478.987,2168.996,2519.065,1909,3620.94312349854,1.311965504690583,0.05648621552104583,1.2078763868335404e-121,2.3619016180874188e-119,Up
ENSG00000103495.15,MAZ,2614.61,2323.876,2690,2714.929,5415.301,5161.256,5066.54,4757.114,4414.856709521452,-0.8000742041978379,0.03444729277496383,1.2528788105138813e-120,2.4163398319486214e-118,Down
ENSG00000104967.8,NOVA2,1981,1557,1830,1976.597,4134,3951,3908,3642,3112.080202719435,-0.910852707860766,0.03941302806900868,1.2494472895658168e-119,2.3771578905131262e-117,Down
ENSG00000172379.22,ARNT2,3641,3056.999,3383,3292,7245,6441,6773,5953,5594.201200700022,-0.80126854810375725,0.03472224597089975,4.0046841874770026e-119,7.517593156731829e-117,Down
ENSG00000102781.14,KATNAL1,1833,1560.07,1638,1658,916,887,871,693,1467.2413328426237,1.1584043413155898,0.05040409722236869,7.726827129545572e-119,1.4313947257483172e-116,Up
ENSG00000145016.17,RUBCN,1355.001,1154,1297.001,1245.001,2962.999,2895,2948,2759.999,2363.802238713347,-1.0137382047128092,0.04411716527638285,1.6844058740665496e-118,3.0798377014263574e-116,Down
ENSG00000142235.13,LMTK3,1021,844,940.999,950,2475,2360.047,2334.999,2392.999,1774.1658648504795,-1.165985367194762,0.05112694830924973,4.277610996211005e-117,7.721087848160864e-115,Down
ENSG00000127585.13,FBXL16,550,474,515,546,1473,1480,1438,1452,1277.9474097250586,-1.300725402577822,0.05727029288099533,1.7723921634837363e-116,3.158672059454117e-114,Down
ENSG00000123159.16,GIPC1,411,352.001,398.001,406.001,1150.654,1125,1118.002,983.001,874.3810385333785,-1.2927886658716523,0.057995289874114904,2.4399045301902278e-112,4.2939269850685275e-110,Down
ENSG00000158747.15,NBL1,1126.455,947.655,1050.7,1087.395,2474.684,2537.328,2414.537,2410.086,1907.4727655812055,-1.0422837640924532,0.04672444736239449,6.064959797215809e-112,1.0541798640123625e-109,Down
ENSG00000105647.19,PIK3R2,1267.384,1078.838,1210.67,1181.857,2759.885,2543.518,2479.724,2276.316,2155.986883778285,-0.9034954480263758,0.040883632157192845,1.1368636908624958e-109,1.951939500445497e-107,Down
ENSG00000272636.5,DOC2B,1535,1365,1461,1526,3784,3519.999,3553.999,3341,2784.173859374762,-1.0851098787228826,0.04944280704201415,1.4598633351398023e-108,2.476315168124491e-106,Down
ENSG00000162430.18,SELENON,581.632,426.884,544.663,628.733,1872,1701.455,1690.671,1398,1501.5480591622397,-1.4175915538729555,0.06488773184196246,2.161161435302248e-108,3.622260934240518e-106,Down
ENSG00000142186.18,SCYL1,485,379,477,451.001,1237.001,1210.001,1220,1132.999,942.6425006487314,-1.2353806418778266,0.05690437856130556,1.2300937822015982e-106,2.037469454072506e-104,Down
ENSG00000103018.18,CYB5B,916,771,838.998,816.999,1978,1927,1926,1730,1479.7405186461024,-0.9938739488693575,0.04570113017916694,1.755368163723367e-106,2.873700974076894e-104,Down
ENSG00000122756.15,CNTFR,1083,838,989,1068,2548,2432,2226.672,2194,1902.5189142052723,-1.0580922954301015,0.048788555148784635,4.817751106409061e-106,7.796450324957836e-104,Down
ENSG00000233927.5,RPS28,1514.941,1393.641,1648.481,1543.901,3697.464,4046.449,3614.692,3099.35,2693.323889623336,-1.0568415062449559,0.04874045048595338,5.315724643351617e-106,8.504555369744024e-104,Down
ENSG00000140992.19,PDPK1,1463.015,1254.937,1371.507,1382.256,2830.206,2734.694,2696.076,2501.46,2181.8708649005225,-0.7955011847115379,0.03667530808916104,1.283258595646711e-105,2.0299997492258475e-103,Down
ENSG00000176533.13,GNG7,498,434,498,544,1333,1326,1356,1267,965.93936188641635,-1.2331843022399862,0.057400357167565495,1.6501125592316822e-104,2.5813260801580948e-102,Down
ENSG00000160877.7,NACC1,622,591,588,668,1619,1575,1564,1459,1326.2913331441837,-1.1446411531226184,0.05369193663802479,8.958606382007503e-103,1.3860243873877323e-100,Down
ENSG00000188191.16,PRKAR1B,1468,1251,1374,1346,3115,3002,2900,2925,2382.1950678857747,-0.953468901112854,0.04470558437754479,1.794768541429553e-102,2.746581118998552e-100,Down
ENSG00000134287.10,ARF3,5606.313,4718.255,5573.57,5365.239,10071.451,9674.646,9586.142,8798.992,7821.124556354271,-0.664385980513541,0.03115715255709684,3.5236962960778773e-102,5.334421521772089e-100,Down
ENSG00000164715.6,LMTK2,910,777,850.68,799,1952,1873,1903,1733,1480.855057799275,-0.9774174782972567,0.04592574372544998,4.237985497862815e-102,6.292062998817535e-100,Down
ENSG00000186868.18,MAPT,14602.003,13152,13917.851,13947.001,28489.999,27130.036,26488,26426.999,21434.32342797768,-0.7845375580408106,0.03680619413820689,4.245656544411293e-102,6.292062998817535e-100,Down
ENSG00000102181.22,CD99L2,1542.999,1343.001,1464,1557,3065,2987,2902.001,2663,2346.9694420426263,-0.79475969785724,0.037351654968078525,9.258768621313637e-102,1.3578562856195282e-99,Down
