gene_id	gene_name	A	B	C	J_896	J_897	J_899	J_902	J_904	J_905	J_909	J_910	J_912
ENSMUSG00000036951.3	Aadacl2fm1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036955.17	Kifbp	1370.999	1289	1325	929	1326	1424.999	969	1176.999	1116	1169.999	1070.999	1068
ENSMUSG00000036957.9	Lrfn3	26	45	35	17	49	38	25	26	40	34	28	40
ENSMUSG00000036958.6	Cst11	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036959.16	Bcorl1	590	427	400	249	409	479.001	270	360	366	337	336	311
ENSMUSG00000036960.11	Clca2	47	13	18	10	46	50	11	24	13	29	25	10
ENSMUSG00000036961.6	Wnt8b	0	1	1	0	0	0	2	2	0	0	0	0
ENSMUSG00000036962.13	Cfap221	0	0	0	0	0	2	5	0	1	0	0	0
ENSMUSG00000036964.15	Trim17	19.586	18.447	4.177	30.58	5.122	10.526	14.146	14.31	11.333	11	16	5.527
ENSMUSG00000036966.16	Spryd3	940	853	690	393	639	617	405	721	744	923	635	439
ENSMUSG00000036968.16	Cnpy4	1030	964	1058	541	827	985	631	967	814	1012	832	528
ENSMUSG00000036972.15	Zic4	0	1	0	0	2	2	2	0	1	0	0	0
ENSMUSG00000036975.6	Tmem177	346	271	239	183	340	289	263	283	269	263	236	276
ENSMUSG00000036977.9	Anapc10	606.999	592	643	398	641	734	520	536	463	606	568	354
ENSMUSG00000036980.14	Taf6	703.999	520.999	499	429.999	561	556.999	389.999	496	621	619.001	442	597.999
ENSMUSG00000036983.8	Tfb1m	227	182	205	141	211	232	183	193	162	176	170	184
ENSMUSG00000036985.13	Zdhhc9	1382.999	989	1021	411	634.999	879	642.001	918	990	1075	740	495.001
ENSMUSG00000036986.17	Pml	642	705	571.999	318	352.001	566	322	448	538	743.001	554	303.998
ENSMUSG00000036989.17	Trim3	863.001	915.999	802	458	668	757	599	777.001	741	743	671	628
ENSMUSG00000036990.14	Otud4	3689	2945.001	3433.001	1516	2092	2913	2127	2244	2302	2856.002	1516	2106
ENSMUSG00000036992.11	Nxt1	430	456	383	294	455	397	286	352	432	576	479	332
ENSMUSG00000036995.8	Asap3	483	477	489	370	632	565	180	473	332	399	468	286
ENSMUSG00000037001.11	Zfp39	294	219	269	144	220	257	151	199	181	152	186	122
ENSMUSG00000037003.17	Tns2	782	841	941.999	1359	1418	1290	963.001	1249	1346.001	997	1250	1332.999
ENSMUSG00000037005.17	Xpnpep2	66	49	112	45.999	86	69	11	108	73	70	73	41
ENSMUSG00000037007.18	Zfp113	418	308	331	217	295	383	293	293	242	301	283	189
ENSMUSG00000037010.8	Apln	225	304	273	115	214	588	107	305	153	244	138	113
ENSMUSG00000037012.19	Hk1	1678.001	1470	1159	596	831	1185	770	1037.001	1214	1465	1073	658.001
ENSMUSG00000037013.18	Ss18	2158	2150	2355	1491.001	2197.001	2494	1691	2223.001	1943.001	2249.001	1917	1493
ENSMUSG00000037014.5	Sstr4	0	0	0	0	0	1	0	0	5	0	2	0
ENSMUSG00000037016.12	Frem2	197	91	62	100	75	100	53	38	41	56	25	130
ENSMUSG00000037017.16	Zscan21	813.999	716	707.001	505	678	791	550.001	599	547	616	627.001	481
ENSMUSG00000037020.17	Wdr62	133	86	84	73	75	71.999	71	83	114	118.001	99.001	79
ENSMUSG00000037022.4	Mmaa	432	402	395	434	514	545	553	513	448	326	323	407
ENSMUSG00000037025.12	Foxa2	1	0	0	0	1	0	0	0	0	0	2	0
ENSMUSG00000037028.9	Pramel18	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037029.9	Zfp146	1114	860	1238	382	581	842	658	763	709	883	438	525
ENSMUSG00000037031.11	Tspan15	309	224	192	283	267	287	367	312	181	186	160	189
ENSMUSG00000037032.18	Apbb1	521.999	365	390	224.999	425	367	218	397	308	287	361.999	308
ENSMUSG00000037033.10	Clca3b	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000037034.17	Pax1	13	34	45	6	14	9	3	3	3	28	7	28
ENSMUSG00000037035.6	Inhbb	155	212	341	156	164	265	317	470	425	438	287	181
ENSMUSG00000037049.10	Smpd1	1806	1382	1260	1099	1546	1556	1071	1369	1572	1191	1306	1480
ENSMUSG00000037053.7	Azgp1	6	4	4	0	9	4	0	0	0	0	4	1
ENSMUSG00000037058.17	Paip2	7255	5687.001	6546.999	5398	7258.999	8560.001	5693.001	6136.001	5895	5337	5411	5989.999
ENSMUSG00000037060.4	Cavin3	1348	1280	1300	1349	2025	1910	778	1538	1308	1500	1902	1069
ENSMUSG00000037062.14	Sh3glb1	20805	15836	16177	11934	17914	22084	15268.999	16275	16047.999	14597.999	14066.999	14807
ENSMUSG00000037064.7	Gm5229	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037070.11	Rbmxl1	1331	1391.794	1300	777.743	1182.785	1202.08	1011.434	1101.827	1142	1508	1184.877	834.842
ENSMUSG00000037071.4	Scd1	3668.202	27748.703	13331.955	4628.887	4123.688	13076.572	81187.754	18232.603	41336.97	27488.57	10857.999	2928.828
ENSMUSG00000037072.17	Selenof	13742	13835.999	13954	9229.999	14282.001	15254	10649	12985	11643	13690	13939	9200
ENSMUSG00000037075.8	Rnf139	2623.977	1994.943	2156	1294	2146	2274	1589	1914	1639	1561.922	1352	1834.953
ENSMUSG00000037085.9	Trmt12	418	283	274	232	372	359	220	290	250	368	294	290
ENSMUSG00000037086.4	Prr32	33	24	26	7	6	20	27	6	18	26	4	1
ENSMUSG00000037089.12	Slc35b2	1167	1144	921	676.001	1111	911.001	706	948.001	1067	1346	1327	922
ENSMUSG00000037095.9	Lrg1	208	216	329	307	245	235	557	375	712	718	457	336
ENSMUSG00000037096.7	Gm9762	48.619	59.369	45.478	46.164	67.531	65.348	40.259	65.321	44.419	41.301	32.103	21.147
ENSMUSG00000037098.19	Rab11fip3	1166.001	828	808	710.001	1025	973.999	601	827	766.001	708	549	1187
ENSMUSG00000037101.17	Ttc29	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037103.9	Dcaf15	339	343	317	277	294	305	224	296	300	460	441	260
ENSMUSG00000037104.10	Socs5	1504	1563	1617	992	1495	1696	1142	1446	1576	1673	1725	1175
ENSMUSG00000037106.9	Fer1l6	116	74.999	104.001	63	123	121	70	83.999	43	56	49	114
ENSMUSG00000037108.14	Zcwpw1	77	89	69	49	39	53.001	67	46	54	70	64	33
ENSMUSG00000037110.21	Ralgapa2	864.999	658.001	529	272	378	512	1177	534.999	568.001	897	481.001	358
ENSMUSG00000037111.10	Setd7	7888.999	4992	5784	4052	5629	5987	2967	5075	4219	3904	3348	6001
ENSMUSG00000037112.17	Sik2	543.999	493	418.001	177	206	282	1194.001	388.999	443.999	414.999	204.999	190
ENSMUSG00000037119.5	Fam91a1	4045	3715	4123	1848	2462	3161	2929	2898	3076	4079	3027	1998
ENSMUSG00000037124.7	Trim58	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000037126.17	Psd	22	17	21	8	21	29	8	19	18	16.999	18	4
ENSMUSG00000037129.8	Tmprss13	2	0	1	5	0	3	1	2	0	3	1	1
ENSMUSG00000037130.5	H2-M10.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037134.18	Prmt9	634	532	581	298	353	473	355	408.001	417	510.001	324	380
ENSMUSG00000037138.19	Aff3	165	196	180	298	508	475	101	393	269	185	698	174
ENSMUSG00000037139.16	Myom3	674	703	254	579	486	781	1337	542	805	296	165	768
ENSMUSG00000037140.7	Tas2r108	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000037143.18	Cfap61	0	1	0	0	1	0	0	1	1	9	1	1
ENSMUSG00000037145.15	Lypd8l	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037148.9	Arhgap10	1887	1449	1616.001	896	1385	1531.001	1040	1659	1611	1566	1172	1358.001
ENSMUSG00000037149.11	Ddx1	4271	3296	3439	2084	3025	3499	2482	3044	2981	3220	2243	2822
ENSMUSG00000037151.9	Lrrc20	3113	2312	2133	1758	2821	2790	1356	2471	2158	1585	1740	3434
ENSMUSG00000037152.12	Ndufc1	2045	2749.999	2188	4429.999	6699.999	5949	2929.001	3996	2186	1653	2318	3281
ENSMUSG00000037157.9	Il22ra1	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000037159.12	Wee2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037161.15	Mgarp	56	26	27	16	25	18	13	25	17	38	39	15
ENSMUSG00000037166.6	Ppp1r14a	28	11	29	47	32	54	27	35	32	19	14	26
ENSMUSG00000037167.6	Spaca5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037169.16	Mycn	19	13	3	10	32	45	17	27	3	12	11	8
ENSMUSG00000037171.7	Nodal	6	2	7	9	6	8	3	4	7	8	9	6
ENSMUSG00000037172.15	Dennd11	2380	1873	1862	721	1182	1364	1785	1737	1996	1994	1372	1264
ENSMUSG00000037174.19	Elf2	2931.001	2435.001	2893.001	1652.001	2128	2566.001	1858	2339	2266	2294	1956	1835.001
ENSMUSG00000037185.10	Krt80	173	152.999	108	143	97	146	103	95	169	220.999	113	125
ENSMUSG00000037188.8	Grhl3	7	5	4	3	4	5	2	2	1	4	1	10
ENSMUSG00000037190.13	Cyb561d2	231	209.001	199	135	207	208	129	219	206.001	282	242	178
ENSMUSG00000037196.7	Pacrg	94	57	72	42	69	73	55	51	45	51	34	63
ENSMUSG00000037197.12	Rbm17	2178.001	2193	1994	1809	2400	2595	1831	2272	1873.999	2515	2141	1704.999
ENSMUSG00000037202.7	Prf1	10	28	30	12	27	27	20	22	18	23	15	13
ENSMUSG00000037204.8	Atg101	920	839	735	811	987	793	663	786	921	1020	964	992
ENSMUSG00000037206.16	Islr	3027	2183	2362	2613	3588	3438	1550	2722	2620	2048	2843	2352
ENSMUSG00000037210.17	Fam193a	916.999	685	707	332	468	616.001	463	565	561	657	454	406
ENSMUSG00000037211.13	Spry1	786	971	1009	1129.001	1349	1319	587	1169	797	824	1112	780
ENSMUSG00000037214.13	Thap1	389	374	363	356	462	517	338	438	378	447	378	403
ENSMUSG00000037216.6	Lipt1	204	152	157	109	193	158	189	162	143	116	120	125
ENSMUSG00000037217.16	Syn1	48	26	15	18	24	38	23	24	37	34	33	17
ENSMUSG00000037221.14	Mospd3	310	425	267.999	267	384	336	240.999	314	337	445.001	477.001	298
ENSMUSG00000037224.16	Zfyve28	101	95	133	67	116	82	77	101	113	115	116	57
ENSMUSG00000037225.14	Fgf2	415	463	665	399	522	651	370	587	569	473	435	424
ENSMUSG00000037234.18	Hook3	7648	5147	5761	2713	3457	4737.999	3424.999	3795	3587	3895	2341	3354
ENSMUSG00000037235.14	Mxd4	5565	4052	4220	2048	2893	3383	3076	3366	4045	4283	3888	2693
ENSMUSG00000037236.17	Matr3	9079.982	7850.806	8737.305	5139.303	7670.618	9143.183	7260.738	7184.326	6364.028	7284.661	6347.423	5693.549
ENSMUSG00000037239.9	Spred3	181.999	159	151	104	104.001	161	69	121	101	202	164	61.999
ENSMUSG00000037242.9	Clic4	16342	14780	12519	5858	8382	12108	10428	10985	10365	14805	9525	6701
ENSMUSG00000037243.18	Zfp692	155	204	173	224	185	200	103	161	170	202	226	148
ENSMUSG00000037246.7	H2-M10.5	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037247.4	Pldi	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000037251.6	Pomk	613	510	564	336	470	465	374	402	466	615	487	404
ENSMUSG00000037253.9	Mex3c	2594	2574	2808	1476	2253	2752	1936	2154	2134	2350	2132	1650
ENSMUSG00000037254.19	Itih2	68	31	43	35	63	53	19	34	14	18	28	41
ENSMUSG00000037257.9	Aagab	1467	1186	1393	843	1175	1328.001	937.001	1212.001	1081	1155	1299	927
ENSMUSG00000037259.16	Dzank1	81	43	77	35	52	68	50	59	76	21	80	62
ENSMUSG00000037260.9	Hgsnat	955	984	1024	496	786	833	717	724	1025	1092	794	740
ENSMUSG00000037262.8	Kin	438	513	528	427	528	591	483	539	425	566.001	493	491.999
ENSMUSG00000037263.14	Aldh3b3	3	0	0	0	0	1	4.021	1	2	1	0	0
ENSMUSG00000037266.19	Rsrp1	15333.999	18232	22663	18187.999	20187	24120.999	14144.001	20400	17485.999	19393.001	18163.999	19966.001
ENSMUSG00000037270.19	Bltp1	3476.001	2480	2691.998	1104	1447.001	2058.999	1701.999	1730.999	1872.001	2150.001	1332.001	1576.999
ENSMUSG00000037275.15	Gemin5	525	460	413	222	291	383	227	361	397	446	262	291
ENSMUSG00000037278.10	Tmem97	519	654.99	529.35	304.981	447	454	407	421	435	777	598	335
ENSMUSG00000037279.14	Ovol2	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037280.13	Galnt6	2451	2207	2178	714	1154	1679	1533	2216	1916	2378	1592	1190
ENSMUSG00000037286.16	Stag1	2936.001	2307.999	2762	1275	1820	2352.999	1940	1997.001	2097	2470	1623.999	1512.999
ENSMUSG00000037287.16	Tbcel	1408	1043	1083	586	745	1026	776	965	935	1094	760	762
ENSMUSG00000037295.8	Ldlrap1	1833.999	1539	1241	562	899	1014	964	1013	1259	1860	1299	804
ENSMUSG00000037296.8	Lsm1	687	545	616	542	797	774	560	671	640	652	718	608
ENSMUSG00000037300.20	Ttc13	1762.999	1524	1488	879	1087	1292	1253	1187.999	1267.001	1690	1225	959
ENSMUSG00000037306.15	Man1c1	2769	2351	2238	1199	1811	2356	1576	2228	2321	2679	2033	1252
ENSMUSG00000037307.12	Banf2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037313.17	Tacc3	462	595.999	253	117.001	163	234.001	270.999	168	298.001	727	402	209
ENSMUSG00000037315.16	Jade3	245	203	227	96	111	196	162	164	185	221	157	130
ENSMUSG00000037316.10	Bag4	649	612	745	379	553	654	877	677	538	673.001	543	478
ENSMUSG00000037318.11	Traf3ip3	230	142.001	112	92	96.999	137	116	98	139.001	192.001	102.999	57.999
ENSMUSG00000037321.18	Tap1	985.001	1237	613.429	595.999	486	754.001	545	625	729	1498.999	1057.507	428.001
ENSMUSG00000037325.11	Bbs7	351	348	338	268	317	326.001	279	323	274	288	272	279
ENSMUSG00000037326.11	Capn15	486.001	481.999	423.001	337	423.001	422.999	253	454	440.001	603	479	414
ENSMUSG00000037331.16	Larp1	3778.999	3139	2838	2020	2602	3007	1974	2661	2574	3022	2016	2316
ENSMUSG00000037334.3	H2-M1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037335.14	Hand1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037336.15	Mfsd2b	21.001	17	32	40	33	29	15	33	38	27	47	16
ENSMUSG00000037337.12	Map4k1	736	564.001	340	181	183	261.999	458	240	431	889	496	376.999
ENSMUSG00000037339.18	Fam53a	856.999	1019	778	1065	1229.001	1063	618	906.001	980	942	1041.001	1142.999
ENSMUSG00000037341.15	Slc9a7	324.001	154	162	29	41	93	110	76	94	162	50.001	52
ENSMUSG00000037343.9	Taf2	1313	1169.001	1121.001	661	945.001	1157	928	899.001	938	1348	856	838.999
ENSMUSG00000037344.15	Slc12a9	395	426	312	344	395	336	344	304	399	513	492	268
ENSMUSG00000037346.6	Hrh4	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037347.8	Chst7	141	162	130	98	133	175	98	128	97	129	203	82
ENSMUSG00000037348.16	Paqr7	693	788	516	307	352	429	467	520	675	998	844.001	487
ENSMUSG00000037349.10	Nudt22	122	130	192	129	237	179	107	195	179	152	283	134
ENSMUSG00000037351.10	Actr1b	3747.001	3377.998	2902	2350	3127	3452.001	2468	3168	3484	3086	2733	3470
ENSMUSG00000037353.10	Letmd1	848.001	709	696.001	410	534	704	1285	632	706	829	672.999	483
ENSMUSG00000037355.15	Uvssa	625.999	514	627	338	300	512	423	408	373.001	406	324	285.001
ENSMUSG00000037358.7	Dipk2b	107	34	39	28	44	66	28	62	14	28	20	36
ENSMUSG00000037361.9	Sf3b6	2590	2617	2427	2049.001	3044.999	3112	2221	2584	2179	2900	2761.001	1985
ENSMUSG00000037362.9	Ccn3	3299	2131	4090	2003	3658	5897	985	2332	2457	1399	3542	1552
ENSMUSG00000037363.10	Letm2	159	111	163	116	123.999	171.999	93	140	110	101	120.999	136
ENSMUSG00000037364.14	Srrt	1873.001	1966.001	2044	1516	1756	2017.997	1349	1942.001	1851.002	2289	2045.999	1364
ENSMUSG00000037366.15	Pafah2	204	240	229	182	155	200	201	211	188	249	202	147
ENSMUSG00000037369.18	Kdm6a	1458.001	1122.999	1302	593.001	974	1079	859.001	947	1039	1214	814	805
ENSMUSG00000037370.14	Enpp1	1398.001	2029.001	2430	727	886	1362.001	881	1084	998.001	2022	1467.001	704
ENSMUSG00000037373.13	Ctbp1	5647	5592.001	4646	5268	6843	6588.999	4186	5844.999	5400	6310	6170	5343
ENSMUSG00000037375.17	Hhat	111	153	118	75	120	101	60	104	147	120	155	102
ENSMUSG00000037376.15	Trmt6	1005	917	940.001	532	640.999	827.001	635	741	809	925	814	565
ENSMUSG00000037379.8	Spon2	1673.999	879	1067	471.001	1032	1120	478.999	708	181	520	364	295.001
ENSMUSG00000037386.17	Rims2	1	1	2	0	0	3	0	12	1	0	2	0
ENSMUSG00000037390.14	Muc17	0	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000037393.3	Nmur2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037395.17	Rcor3	1540	1299	1334.001	1017	1449	1602.999	1235	1188	1005	1143	1275.999	1039
ENSMUSG00000037400.18	Atp11b	2558	1905.001	2368	894.001	1277	1834.001	1527	1420	1511	1852	1156.001	1136.999
ENSMUSG00000037405.9	Icam1	1168	1127	1053	499	792	867	747	899	976	1045	942	525
ENSMUSG00000037406.8	Htra4	156	91	102	137	158	137	54	189	94	92	103	99
ENSMUSG00000037408.11	Cnnm4	341	302	200	162	227	255	195	203	275	294	178	232
ENSMUSG00000037410.14	Tbc1d2b	2281	1827	2578	1020	1403	1785	1158	1868	2002	1883	1840	1018
ENSMUSG00000037411.12	Serpine1	587	1559	1503	908	661	1098	1197	1213	1523	2146	910	1035
ENSMUSG00000037415.8	Ranbp10	1943	1603	1498.001	857	1076	1334.999	1133	1201.001	1424	1465	1351	1089
ENSMUSG00000037416.14	Dmxl1	4280	3149	4180	1666	2414	3410	2671	2923	2853	2798	1950	2094
ENSMUSG00000037418.7	Best1	45	51	57	37	65	47	29	51	53	44	50	32
ENSMUSG00000037419.10	Endod1	1805	1527	1481	576	825	1180	1211	1179	1132	1533	1068	768
ENSMUSG00000037424.7	Taar9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037426.19	Depdc5	601.002	473.999	502	224	265.001	337.001	322	333.999	433.999	490	295.999	278.001
ENSMUSG00000037428.15	Vgf	0	1	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000037432.16	Fer1l5	2	2	4	0	1	2	0	0	0	1	0	2
ENSMUSG00000037434.8	Slc30a1	2623	2177	2680	1196	1437	2111	1965	1956	1816	2010	1590	1403
ENSMUSG00000037437.19	Adam32	6	1	5	3	2	2	1	3	0	2	1	0
ENSMUSG00000037438.7	Uqcrh-ps1	1.001	0	0	0	0	1.001	0	0	0	1.001	0	2.003
ENSMUSG00000037440.9	Vnn1	5	10	29	15	32	33	46	47	26	25	24	21
ENSMUSG00000037443.14	Cep85	1077	768.999	707	596	651	775	535	705	701.999	678	539	778.999
ENSMUSG00000037446.15	Tulp1	11	19	6	3	8	16	2	11	5	14.001	24	3
ENSMUSG00000037447.17	Arid5a	309.999	425	362.001	284.999	369.999	369	197	280	502	586	310	295.999
ENSMUSG00000037451.9	Slc22a20	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037455.18	Slc18b1	215	180	235	209	238	303	263	248	267	218	248	148
ENSMUSG00000037458.16	Azin1	9469.999	8563	6902.001	4130	5841	6977	6105.001	5989	5252.001	8281.999	5121	4392.999
ENSMUSG00000037461.11	Ints7	660	603.001	482	330	358.001	422.999	392.001	392	457	703.001	443	273.999
ENSMUSG00000037463.15	Fbxo27	39.999	22	59	23	47	29	13	30	31	31	38	30
ENSMUSG00000037465.11	Klf10	2635.999	2609	2898.999	2020	2713	2955	2235	2422.001	2924	3122	2806	2236
ENSMUSG00000037466.14	Tedc1	84	102	34	32	26	34	52	24	86	172	80	46
ENSMUSG00000037469.12	Acp7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037470.15	Uggt1	3763	2698.999	2467.999	1248	1553.999	2070	1903	1906.001	2425	3188	1688	1844
ENSMUSG00000037474.14	Dtl	210	244	121	55	61	117	105	53	98	357	154	58
ENSMUSG00000037475.16	Thoc2	3524	2488	3176.999	1261.999	1662	2367.999	1983.999	1927	2015	2464	1418	1542
ENSMUSG00000037477.9	Tbx10	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000037482.3	Erv3	1	0	2	4	2	10	0	3	4	1	1	1
ENSMUSG00000037486.19	Asxl2	2349.001	1840.001	1896	761.001	1072.001	1374	1277	1339.001	1437	1761	1163	887
ENSMUSG00000037487.8	Ubr5	6116	4693.001	5345.999	2810	3678.003	4627	3530.999	3884.999	3956.999	4412.001	3204	3414.001
ENSMUSG00000037490.6	Slc2a12	211	167	168	79	181	183	139	184	132	76	106	150
ENSMUSG00000037492.17	Zmat4	10	3	3	2	6	13	2	4	0	1	4	1
ENSMUSG00000037493.7	Cib2	2350	1862	2036	2116	3029	2370	1699	2323	1621	1370	2001	2450
ENSMUSG00000037499.10	Nenf	791	1230	958	1986	3106	2172	1052	1871	1074	1105	2144	1430
ENSMUSG00000037503.13	Fam168b	5749.999	4864.999	5435.999	2226.999	3768	4351	3303	4543	4228.999	5481	4037	3098.001
ENSMUSG00000037509.22	Arhgef4	120	58	74	29	48	67	30	56	44	82	86	56
ENSMUSG00000037514.19	Pank2	1375	1401.999	1528.336	1125.999	1445.999	1601	1192.001	1516.999	1339.999	1436.998	1326	1089
ENSMUSG00000037519.18	Ppfia1	1485	1443	1567	807.999	925	1316.999	1014.001	1139	1306	1526	1141.999	981
ENSMUSG00000037523.14	Mavs	1261	1006	899	531	813	880	951	852	938	1012	784	921.999
ENSMUSG00000037525.6	Bcdin3d	247	272	195	203	281	276	199	304	185	268	276	206
ENSMUSG00000037526.8	Atg14	717	546	610	316	428	572	556	569	496	481	516	402
ENSMUSG00000037529.14	Prss40	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037531.9	Mrpl47	1403	1228.999	1026	898	1485.001	1738.001	1156	1125	1026	791	778	1071
ENSMUSG00000037533.21	Rapgef6	3887	2769	3930	1430	2055.999	2885.001	2444	3508	2837.001	2474	2305.999	1759
ENSMUSG00000037535.6	1700021A07Rik	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000037536.15	Fbxo34	680.649	577.007	544.126	324.166	431	546.982	465.963	553.604	517.664	582.209	431.77	451.999
ENSMUSG00000037537.7	H2-M11	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037541.23	Shank2	11	19	23	12	16	11	10	26	8	14	25	6
ENSMUSG00000037542.14	Aldh8a1	3	5	0	2	4	3	0	2	0	0	2	0
ENSMUSG00000037544.15	Dlgap5	237	300	86	25	44.001	60	130	37.999	128.001	397	103	62
ENSMUSG00000037548.16	H2-DMb2	404.41	388.22	586.693	403.397	491.395	585.618	339.183	747.022	368.842	426.518	594.4	238.498
ENSMUSG00000037552.18	Plekhg2	596	519.999	454.999	326	346.001	423.999	254.999	365	389	564	347	258.001
ENSMUSG00000037553.15	Zdhhc18	1935	1876.999	1575	982	1511	1437	1155	1576.001	1555.999	2024	1748.999	1331
ENSMUSG00000037563.16	Rps16	11451.871	12641.884	10845.367	16370.475	22431.312	17934.623	12246.039	15745.929	10882.302	16463.364	21336.64	12178.559
ENSMUSG00000037568.13	Vash2	544	279	292	281	297	338	221	250	199	270	251	175
ENSMUSG00000037570.17	Mcrs1	1009.928	899.957	732.955	521.828	790.954	707.948	527.999	739	730.954	1004.885	1020.999	551.863
ENSMUSG00000037572.18	Wdhd1	239.999	313.999	181	69	83	131	197	89	171	421	175	118
ENSMUSG00000037573.6	Tob1	5295	6201	5193	6250	8597	7884	5284	5524	5710	4057	4286	8785
ENSMUSG00000037577.14	Ephx3	25	19	31	33	25	37	17	32	17	18	19	15
ENSMUSG00000037578.5	Pkd2l1	1	0	2	0	0	2	0	0	1	0	1	1
ENSMUSG00000037579.8	Kcnh3	1	7	2	1	1	3	5	3	4	7	18	2
ENSMUSG00000037580.11	Gch1	517	678	473	296	453	555	343	473	569	833	672	411
ENSMUSG00000037583.3	Nr0b2	1	0	2	2	4	1	0	1	0	0	3	1
ENSMUSG00000037593.13	Rskr	7	12	4	7	4	4	11.999	4	1	14.001	7	0
ENSMUSG00000037594.12	Clba1	84	136	114	64	87	101	77	88	102	146	161	78
ENSMUSG00000037600.17	Kdf1	0	0	0	1	0	0	0	0	0	2	0	0
ENSMUSG00000037601.12	Nme1	1988.36	2629.245	1509.63	1816.882	2621.533	2232.159	1725.214	1808.229	1904.37	3562.804	2709.178	2110.675
ENSMUSG00000037603.8	Gm5519	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037605.18	Adgrl3	66.001	92	85	24	37	63	33.001	56.999	38	57	29	29
ENSMUSG00000037606.19	Osbpl5	786	673	680	561	843.001	812	425.001	676	685	737	728	616.999
ENSMUSG00000037608.17	Bclaf1	5385.001	4544	5138.001	2571	3402	4635	3718.002	3771	3837	4620.002	3207	2923
ENSMUSG00000037610.17	Kcnmb2	9	7	6	18	17	31	12	7	5	2	15	4
ENSMUSG00000037613.17	Tnfrsf23	1078.448	924.933	642.469	344.405	367.113	548.43	492.736	416.252	568.766	817.673	438.673	403.896
ENSMUSG00000037617.13	Spag1	88	83.001	104.001	107.999	76	110	53	92	94	109	80.001	62
ENSMUSG00000037621.9	Atoh8	60	57	87	116	99	142.999	46	79	215	138	162	175
ENSMUSG00000037622.15	Wdtc1	1497	1141.001	989	833	1246	1018	726.001	1060.999	1302.001	1080	1232.001	1289
ENSMUSG00000037624.17	Kcnk2	134	136	138	145.001	169	133.999	121	206.999	73.999	90.999	260.999	124.999
ENSMUSG00000037625.8	Cldn11	31	21	15	43	62	88	20	77	42	17	95	16
ENSMUSG00000037627.17	Rgs22	0	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000037628.11	Cdkn3	111.001	157	44	13	29	34	59	20	26	183	80	24
ENSMUSG00000037636.7	Slc25a43	85	42	37	28	35	47	32	62	42	71	40	18
ENSMUSG00000037638.6	Zbtb42	323	320	229	162	195	268	219	325	306	403	423	220
ENSMUSG00000037640.16	Zfp60	818	701	836	423	594	726	513.606	560	526	613	472	478
ENSMUSG00000037643.15	Prkci	1257	1060	1288	582	969	1142	1057	937	952	1246	923	683
ENSMUSG00000037646.11	Vps13b	1756.999	1318	1526.999	642.001	781	1105	1194	998	1200.999	1296.999	839	767.999
ENSMUSG00000037649.11	H2-DMa	1119.999	935	1140	845.001	963	1118	882	1217	996.999	1342.999	1759.001	764
ENSMUSG00000037652.16	Phc3	2486.001	1721.001	2343	890	1167	1775	1357.999	1447.001	1543.999	1680	1060	1089
ENSMUSG00000037653.8	Kctd8	0	1	0	4	6	2	1	2	0	2	1	0
ENSMUSG00000037656.10	Slc20a2	1744	1466	1300	926	1467	1549	969	1239	1539	1240	941	1626
ENSMUSG00000037660.6	Gdf7	1	2	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000037661.15	Gpr160	295	187	156	144	212	208	238.001	215.001	151.001	300.999	324	156.999
