name	taxonomy_id	taxonomy_lvl	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_k2s8_bracken.bracken.tsv_frac
Tichowtungia aerotolerans	2697043	S	13	0.00000	24	0.00001	11	0.00000	14	0.00000	20	0.00001	19	0.00000	10	0.00000	11	0.00000	31	0.00002	15	0.00001
Duncaniella sp. B8	2576606	S	61768	0.01618	38149	0.01086	0	0.00000	80916	0.02230	0	0.00000	0	0.00000	64905	0.01888	71292	0.01500	15218	0.00871	44296	0.01606
Duncaniella sp. C9	2530392	S	1088	0.00029	1004	0.00029	0	0.00000	1832	0.00050	0	0.00000	0	0.00000	1182	0.00034	1467	0.00031	0	0.00000	959	0.00035
Duncaniella dubosii	2518971	S	13229	0.00347	5125	0.00146	16725	0.00689	13710	0.00378	6753	0.00221	17740	0.00368	15430	0.00449	21769	0.00458	12241	0.00701	6567	0.00238
Duncaniella freteri	2530391	S	49	0.00001	0	0.00000	414	0.00017	22	0.00001	0	0.00000	148	0.00003	31	0.00001	80	0.00002	199	0.00011	0	0.00000
Muribaculum intestinale	1796646	S	29934	0.00784	5236	0.00149	21177	0.00872	21372	0.00589	7755	0.00253	12563	0.00261	37582	0.01093	61432	0.01293	19113	0.01094	10662	0.00386
Muribaculum gordoncarteri	2530390	S	17971	0.00471	8282	0.00236	22900	0.00943	20143	0.00555	4177	0.00136	14671	0.00305	20214	0.00588	22507	0.00474	7354	0.00421	11716	0.00425
Paramuribaculum intestinale	2094151	S	24739	0.00648	11275	0.00321	22657	0.00933	29808	0.00822	7155	0.00234	24042	0.00499	24411	0.00710	32412	0.00682	12378	0.00708	14821	0.00537
Sodaliphilus pleomorphus	2606626	S	1613	0.00042	1219	0.00035	735	0.00030	3494	0.00096	892	0.00029	3821	0.00079	1588	0.00046	2595	0.00055	1627	0.00093	1113	0.00040
Bacteroides caecimuris	1796613	S	56149	0.01471	1040	0.00030	2097	0.00086	2633	0.00073	4771	0.00156	13272	0.00275	1446	0.00042	4341	0.00091	9634	0.00551	823	0.00030
Bacteroides faecium	2715212	S	20983	0.00550	39	0.00001	0	0.00000	72	0.00002	25	0.00001	25	0.00001	49	0.00001	26	0.00001	22	0.00001	49	0.00002
Bacteroides xylanisolvens	371601	S	6729	0.00176	122	0.00003	716	0.00029	366	0.00010	0	0.00000	50	0.00001	583	0.00017	463	0.00010	0	0.00000	207	0.00008
Bacteroides nordii	291645	S	3046	0.00080	559	0.00016	1289	0.00053	1419	0.00039	1880	0.00061	4406	0.00091	1332	0.00039	3811	0.00080	4818	0.00276	636	0.00023
Bacteroides thetaiotaomicron	818	S	2675	0.00070	50	0.00001	103	0.00004	236	0.00007	74	0.00002	259	0.00005	219	0.00006	160	0.00003	90	0.00005	81	0.00003
