name	taxonomy_id	taxonomy_lvl	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_7_06_12_HFD_AL_7_06_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_6_05_12_HFD_IF_6_05_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_4_02_25_HFD_IF_4_02_25_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_7_06_12_HFD_IF_7_06_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_4_03_11_HFD_AL_4_03_11_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_4_03_11_HFD_IF_4_03_11_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_6_05_12_HFD_AL_6_05_12_L4_k2s8_bracken.bracken.tsv_frac	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_k2s8_bracken.bracken.tsv_num	HFD_IF_6_05_22_HFD_IF_6_05_22_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_4_02_25_HFD_AL_4_02_25_L4_k2s8_bracken.bracken.tsv_frac	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_k2s8_bracken.bracken.tsv_num	HFD_AL_6_05_22_HFD_AL_6_05_22_L4_k2s8_bracken.bracken.tsv_frac
Streptomyces sp. NBC_01166	2903755	S	0	0.00000	196	0.00006	0	0.00000	93	0.00003	42	0.00001	0	0.00000	0	0.00000	129	0.00003	27	0.00002	0	0.00000
Streptomyces sp. Qhu-G9	3452799	S	0	0.00000	107	0.00003	0	0.00000	64	0.00002	0	0.00000	0	0.00000	0	0.00000	33	0.00001	0	0.00000	101	0.00004
Streptomyces sp. AM 3-1-1	3028711	S	0	0.00000	240	0.00007	62	0.00003	0	0.00000	137	0.00004	0	0.00000	0	0.00000	0	0.00000	93	0.00005	0	0.00000
Streptomyces sp. NBC_01465	2903878	S	0	0.00000	55	0.00002	33	0.00001	24	0.00001	51	0.00002	20	0.00000	39	0.00001	36	0.00001	19	0.00001	40	0.00001
Streptomyces sp. CA-111067	3240046	S	0	0.00000	53	0.00002	25	0.00001	36	0.00001	37	0.00001	20	0.00000	18	0.00001	0	0.00000	56	0.00003	50	0.00002
Streptomyces sp. SGAir0924	2109593	S	0	0.00000	663	0.00019	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. FZ201	3057122	S	0	0.00000	60	0.00002	20	0.00001	56	0.00002	26	0.00001	25	0.00001	58	0.00002	32	0.00001	33	0.00002	76	0.00003
Streptomyces sp. NBC_00258	2903642	S	0	0.00000	62	0.00002	27	0.00001	37	0.00001	60	0.00002	44	0.00001	26	0.00001	21	0.00000	32	0.00002	80	0.00003
Streptomyces sp. MOE7	1961713	S	0	0.00000	126	0.00004	71	0.00003	88	0.00002	128	0.00004	0	0.00000	58	0.00002	63	0.00001	121	0.00007	165	0.00006
Streptomyces sp. HUAS TT11	3447508	S	0	0.00000	44	0.00001	20	0.00001	33	0.00001	15	0.00000	0	0.00000	17	0.00000	18	0.00000	24	0.00001	29	0.00001
Streptomyces sp. Z423-1	2730915	S	0	0.00000	48	0.00001	0	0.00000	16	0.00000	16	0.00001	0	0.00000	0	0.00000	20	0.00000	37	0.00002	0	0.00000
Streptomyces sp. NBC_01217	2903779	S	0	0.00000	51	0.00001	25	0.00001	46	0.00001	45	0.00001	26	0.00001	26	0.00001	0	0.00000	38	0.00002	68	0.00002
Streptomyces sp. NBC_00645	2975795	S	0	0.00000	67	0.00002	50	0.00002	40	0.00001	90	0.00003	0	0.00000	30	0.00001	0	0.00000	42	0.00002	64	0.00002
Streptomyces sp. JB150	2714844	S	0	0.00000	44	0.00001	0	0.00000	30	0.00001	30	0.00001	24	0.00000	0	0.00000	0	0.00000	47	0.00003	33	0.00001
Streptomyces sp. GQFP	2907545	S	0	0.00000	54	0.00002	23	0.00001	59	0.00002	126	0.00004	52	0.00001	20	0.00001	35	0.00001	124	0.00007	62	0.00002
Streptomyces sp. NBC_01483	2903883	S	0	0.00000	79	0.00002	90	0.00004	79	0.00002	100	0.00003	86	0.00002	0	0.00000	0	0.00000	83	0.00005	0	0.00000
Streptomyces sp. T12	477697	S	0	0.00000	50	0.00001	48	0.00002	71	0.00002	56	0.00002	44	0.00001	46	0.00001	29	0.00001	66	0.00004	104	0.00004
Streptomyces sp. NBC_00683	2903670	S	0	0.00000	48	0.00001	43	0.00002	0	0.00000	58	0.00002	0	0.00000	0	0.00000	0	0.00000	25	0.00001	35	0.00001
Streptomyces sp. JL2001	3342488	S	0	0.00000	33	0.00001	0	0.00000	23	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. 11x1	3038642	S	0	0.00000	34	0.00001	23	0.00001	28	0.00001	35	0.00001	0	0.00000	0	0.00000	0	0.00000	23	0.00001	21	0.00001
Streptomyces sp. R41	3238632	S	0	0.00000	35	0.00001	38	0.00002	28	0.00001	49	0.00002	0	0.00000	31	0.00001	26	0.00001	27	0.00002	51	0.00002
Streptomyces sp. NBC_00445	2975745	S	0	0.00000	133	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. CA-210063	2801029	S	0	0.00000	36	0.00001	0	0.00000	18	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	46	0.00002
Streptomyces sp. RPA4-2	2721244	S	0	0.00000	260	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	500	0.00018
Streptomyces sp. NBC_00829	2903679	S	0	0.00000	26	0.00001	14	0.00001	28	0.00001	18	0.00001	0	0.00000	25	0.00001	0	0.00000	33	0.00002	33	0.00001
Streptomyces sp. VNUA24	3031131	S	0	0.00000	35	0.00001	0	0.00000	0	0.00000	47	0.00002	0	0.00000	0	0.00000	0	0.00000	20	0.00001	21	0.00001
Streptomyces sp. NBC_00690	2975808	S	0	0.00000	21	0.00001	20	0.00001	22	0.00001	15	0.00000	14	0.00000	18	0.00001	0	0.00000	14	0.00001	22	0.00001
Streptomyces sp. HSG2	2797167	S	0	0.00000	21	0.00001	17	0.00001	15	0.00000	31	0.00001	0	0.00000	24	0.00001	0	0.00000	43	0.00002	32	0.00001
Streptomyces sp. P1-3	3421658	S	0	0.00000	27	0.00001	0	0.00000	22	0.00001	0	0.00000	0	0.00000	17	0.00000	22	0.00000	0	0.00000	19	0.00001
Streptomyces sp. NBC_01497	2903885	S	0	0.00000	21	0.00001	27	0.00001	31	0.00001	38	0.00001	14	0.00000	11	0.00000	19	0.00000	34	0.00002	41	0.00001
Streptomyces sp. Je 1-369	2966192	S	0	0.00000	27	0.00001	0	0.00000	23	0.00001	0	0.00000	0	0.00000	22	0.00001	18	0.00000	19	0.00001	33	0.00001
Streptomyces sp. R39	3238631	S	0	0.00000	26	0.00001	29	0.00001	27	0.00001	36	0.00001	20	0.00000	25	0.00001	0	0.00000	36	0.00002	47	0.00002
Streptomyces sp. CdTB01	1725411	S	0	0.00000	28	0.00001	24	0.00001	31	0.00001	26	0.00001	23	0.00000	0	0.00000	0	0.00000	19	0.00001	28	0.00001
Streptomyces sp. NBC_01717	2975918	S	0	0.00000	47	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. Rer75	2750011	S	0	0.00000	30	0.00001	0	0.00000	42	0.00001	0	0.00000	0	0.00000	32	0.00001	0	0.00000	0	0.00000	57	0.00002
Streptomyces sp. NBC_00076	2975642	S	0	0.00000	25	0.00001	0	0.00000	23	0.00001	0	0.00000	0	0.00000	24	0.00001	20	0.00000	0	0.00000	55	0.00002
Streptomyces sp. 891-h	2720714	S	0	0.00000	20	0.00001	0	0.00000	27	0.00001	0	0.00000	19	0.00000	19	0.00001	28	0.00001	16	0.00001	30	0.00001
Streptomyces sp. NBC_01518	2903891	S	0	0.00000	44	0.00001	41	0.00002	38	0.00001	38	0.00001	0	0.00000	0	0.00000	54	0.00001	0	0.00000	46	0.00002
Streptomyces sp. NBC_00483	2975756	S	0	0.00000	42	0.00001	0	0.00000	54	0.00001	0	0.00000	0	0.00000	51	0.00001	0	0.00000	0	0.00000	60	0.00002
Streptomyces sp. SirexAA-E	862751	S	0	0.00000	24	0.00001	0	0.00000	0	0.00000	18	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	27	0.00001
Streptomyces sp. NBC_01304	2903818	S	0	0.00000	19	0.00001	0	0.00000	11	0.00000	16	0.00001	16	0.00000	13	0.00000	0	0.00000	22	0.00001	0	0.00000
Streptomyces sp. WAC 01438	2203204	S	0	0.00000	24	0.00001	0	0.00000	0	0.00000	0	0.00000	22	0.00000	14	0.00000	0	0.00000	17	0.00001	0	0.00000
Streptomyces sp. NBC_00191	2975674	S	0	0.00000	43	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	62	0.00001	0	0.00000	0	0.00000
Streptomyces sp. CB09001	2083284	S	0	0.00000	30	0.00001	0	0.00000	19	0.00001	0	0.00000	0	0.00000	20	0.00001	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. NBC_01343	2903832	S	0	0.00000	26	0.00001	0	0.00000	29	0.00001	24	0.00001	0	0.00000	23	0.00001	0	0.00000	25	0.00001	25	0.00001
Streptomyces sp. WL006	3423915	S	0	0.00000	112	0.00003	0	0.00000	92	0.00003	0	0.00000	76	0.00002	0	0.00000	0	0.00000	92	0.00005	0	0.00000
Streptomyces sp. NBC_00015	2903611	S	0	0.00000	40	0.00001	0	0.00000	27	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	34	0.00001
Streptomyces sp. TN58	234612	S	0	0.00000	23	0.00001	0	0.00000	39	0.00001	0	0.00000	0	0.00000	0	0.00000	35	0.00001	0	0.00000	0	0.00000
Streptomyces sp. NBC_00448	2903652	S	0	0.00000	36	0.00001	0	0.00000	33	0.00001	63	0.00002	0	0.00000	0	0.00000	0	0.00000	30	0.00002	64	0.00002
Streptomyces sp. SCUT-3	2684469	S	0	0.00000	71	0.00002	82	0.00003	78	0.00002	133	0.00004	0	0.00000	0	0.00000	0	0.00000	70	0.00004	0	0.00000
Streptomyces sp. NBC_00178	2975672	S	0	0.00000	22	0.00001	26	0.00001	26	0.00001	20	0.00001	0	0.00000	0	0.00000	32	0.00001	20	0.00001	43	0.00002
Streptomyces sp. NBC_00872	2903686	S	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	24	0.00001
Streptomyces sp. GS7	2692234	S	0	0.00000	18	0.00001	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	21	0.00001	44	0.00002
Streptomyces sp. BI20	3403460	S	0	0.00000	15	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000	12	0.00001	0	0.00000
Streptomyces sp. NBC_01241	2903794	S	0	0.00000	325	0.00009	0	0.00000	364	0.00010	0	0.00000	0	0.00000	363	0.00011	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. NBC_00588	2975784	S	0	0.00000	18	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	37	0.00001	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. NBC_00704	2975809	S	0	0.00000	18	0.00001	0	0.00000	22	0.00001	40	0.00001	0	0.00000	21	0.00001	0	0.00000	21	0.00001	34	0.00001
Streptomyces sp. NBC_01727	2975924	S	0	0.00000	90	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. NBC_00239	2903640	S	0	0.00000	15	0.00000	0	0.00000	20	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. NBC_00151	2975669	S	0	0.00000	35	0.00001	0	0.00000	45	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	58	0.00003	61	0.00002
Streptomyces sp. NBC_00464	2975751	S	0	0.00000	35	0.00001	0	0.00000	53	0.00001	0	0.00000	0	0.00000	46	0.00001	0	0.00000	0	0.00000	58	0.00002
Streptomyces sp. BYX5S	3679869	S	0	0.00000	16	0.00000	17	0.00001	20	0.00001	20	0.00001	24	0.00000	19	0.00001	0	0.00000	0	0.00000	20	0.00001
Streptomyces sp. NBC_01445	2903869	S	0	0.00000	34	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. NBC_00582	2975783	S	0	0.00000	16	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	17	0.00001
Streptomyces sp. NBC_01471	2903879	S	0	0.00000	17	0.00000	23	0.00001	0	0.00000	23	0.00001	31	0.00001	0	0.00000	0	0.00000	24	0.00001	33	0.00001
Streptomyces sp. SGAir0957	2109592	S	0	0.00000	14	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00001
Streptomyces sp. C8S0	2585716	S	0	0.00000	13	0.00000	0	0.00000	0	0.00000	18	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. NBC_01335	2903828	S	0	0.00000	14	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. ADI95-16	1522758	S	0	0.00000	20	0.00001	0	0.00000	24	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. CA-142005	3240052	S	0	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00001	0	0.00000	0	0.00000	24	0.00001
Streptomyces sp. LX-29	2900152	S	0	0.00000	12	0.00000	14	0.00001	13	0.00000	0	0.00000	0	0.00000	16	0.00000	0	0.00000	16	0.00001	0	0.00000
Streptomyces sp. NBC_00576	2903665	S	0	0.00000	16	0.00000	0	0.00000	35	0.00001	38	0.00001	0	0.00000	51	0.00001	0	0.00000	24	0.00001	76	0.00003
Streptomyces phaeoluteigriseus	114686	S	0	0.00000	21	0.00001	25	0.00001	17	0.00000	45	0.00001	13	0.00000	28	0.00001	17	0.00000	50	0.00003	32	0.00001
Streptomyces graminofaciens	68212	S	0	0.00000	40	0.00001	33	0.00001	28	0.00001	20	0.00001	0	0.00000	0	0.00000	28	0.00001	21	0.00001	44	0.00002
Streptomyces rapamycinicus	1226757	S	0	0.00000	51	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces phytohabitans	1150371	S	0	0.00000	58	0.00002	44	0.00002	56	0.00002	87	0.00003	30	0.00001	13	0.00000	15	0.00000	54	0.00003	56	0.00002
Streptomyces cyanogenus	80860	S	0	0.00000	66	0.00002	38	0.00002	0	0.00000	57	0.00002	0	0.00000	0	0.00000	0	0.00000	19	0.00001	28	0.00001
Streptomyces niveus	193462	S	0	0.00000	57	0.00002	18	0.00001	26	0.00001	23	0.00001	16	0.00000	44	0.00001	28	0.00001	16	0.00001	0	0.00000
Streptomyces profundus	2867410	S	0	0.00000	37	0.00001	23	0.00001	0	0.00000	20	0.00001	0	0.00000	28	0.00001	11	0.00000	31	0.00002	21	0.00001
Streptomyces thermoviolaceus	1952	S	0	0.00000	43	0.00001	29	0.00001	24	0.00001	68	0.00002	14	0.00000	14	0.00000	13	0.00000	53	0.00003	28	0.00001
Streptomyces tanashiensis	67367	S	0	0.00000	49	0.00001	20	0.00001	25	0.00001	49	0.00002	14	0.00000	17	0.00000	0	0.00000	29	0.00002	43	0.00002
Streptomyces tendae	1932	S	0	0.00000	44	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	17	0.00000	0	0.00000	35	0.00002	30	0.00001
Streptomyces spectabilis	68270	S	0	0.00000	38	0.00001	31	0.00001	36	0.00001	43	0.00001	14	0.00000	21	0.00001	17	0.00000	34	0.00002	41	0.00001
Streptomyces murinus	33900	S	0	0.00000	126	0.00004	0	0.00000	57	0.00002	0	0.00000	0	0.00000	0	0.00000	57	0.00001	0	0.00000	0	0.00000
Streptomyces halobius	2879846	S	0	0.00000	34	0.00001	13	0.00001	17	0.00000	18	0.00001	0	0.00000	11	0.00000	0	0.00000	12	0.00001	13	0.00000
Streptomyces luteireticuli	173858	S	0	0.00000	32	0.00001	0	0.00000	24	0.00001	0	0.00000	0	0.00000	20	0.00001	0	0.00000	0	0.00000	27	0.00001
Streptomyces armeniacus	83291	S	0	0.00000	29	0.00001	0	0.00000	15	0.00000	0	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000	20	0.00001
Streptomyces violarus	67380	S	0	0.00000	64	0.00002	35	0.00001	0	0.00000	107	0.00003	0	0.00000	0	0.00000	0	0.00000	91	0.00005	44	0.00002
Streptomyces luomodiensis	3026192	S	0	0.00000	44	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	47	0.00002
Streptomyces mirabilis	68239	S	0	0.00000	70	0.00002	89	0.00004	95	0.00003	63	0.00002	32	0.00001	120	0.00003	39	0.00001	103	0.00006	87	0.00003
Streptomyces solicamelliae	3231716	S	0	0.00000	25	0.00001	19	0.00001	17	0.00000	0	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	13	0.00000
Streptomyces coeruleorubidus	116188	S	0	0.00000	31	0.00001	28	0.00001	51	0.00001	34	0.00001	15	0.00000	36	0.00001	0	0.00000	52	0.00003	78	0.00003
Streptomyces griseorubiginosus	67304	S	0	0.00000	26	0.00001	0	0.00000	34	0.00001	0	0.00000	15	0.00000	28	0.00001	0	0.00000	0	0.00000	39	0.00001
Streptomyces kanamyceticus	1967	S	0	0.00000	29	0.00001	0	0.00000	35	0.00001	18	0.00001	0	0.00000	33	0.00001	26	0.00001	0	0.00000	56	0.00002
Streptomyces rectiverticillatus	173860	S	0	0.00000	23	0.00001	0	0.00000	38	0.00001	40	0.00001	0	0.00000	0	0.00000	14	0.00000	31	0.00002	53	0.00002
Streptomyces scopuliridis	452529	S	0	0.00000	21	0.00001	0	0.00000	15	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000	14	0.00001	16	0.00001
Streptomyces akebiae	2865673	S	0	0.00000	26	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	21	0.00001	0	0.00000	0	0.00000	22	0.00001
Streptomyces acidiscabies	42234	S	0	0.00000	22	0.00001	0	0.00000	0	0.00000	21	0.00001	0	0.00000	21	0.00001	0	0.00000	0	0.00000	29	0.00001
Streptomyces asoensis	249586	S	0	0.00000	29	0.00001	37	0.00002	0	0.00000	58	0.00002	0	0.00000	19	0.00001	0	0.00000	38	0.00002	0	0.00000
Streptomyces boninensis	2039455	S	0	0.00000	17	0.00000	12	0.00000	20	0.00001	14	0.00000	0	0.00000	11	0.00000	0	0.00000	17	0.00001	31	0.00001
Streptomyces drozdowiczii	202862	S	0	0.00000	26	0.00001	36	0.00001	22	0.00001	0	0.00000	0	0.00000	35	0.00001	0	0.00000	21	0.00001	0	0.00000
Streptomyces clavifer	68188	S	0	0.00000	20	0.00001	0	0.00000	12	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	25	0.00001
Streptomyces liliifuscus	2797636	S	0	0.00000	23	0.00001	39	0.00002	23	0.00001	43	0.00001	0	0.00000	0	0.00000	0	0.00000	44	0.00003	28	0.00001
Streptomyces zaomyceticus	68286	S	0	0.00000	20	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces tubercidicus	47759	S	0	0.00000	21	0.00001	0	0.00000	18	0.00000	0	0.00000	0	0.00000	17	0.00000	0	0.00000	22	0.00001	28	0.00001
Streptomyces broussonetiae	2686304	S	0	0.00000	18	0.00001	0	0.00000	21	0.00001	0	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000	23	0.00001
Streptomyces europaeiscabiei	146819	S	0	0.00000	19	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	23	0.00001	15	0.00000	0	0.00000	15	0.00001
Streptomyces hundungensis	1077946	S	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces phaeochromogenes	1923	S	0	0.00000	22	0.00001	20	0.00001	15	0.00000	59	0.00002	81	0.00002	26	0.00001	22	0.00000	31	0.00002	27	0.00001
Streptomyces vietnamensis	362257	S	0	0.00000	20	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	20	0.00001
Streptomyces brevispora	887462	S	0	0.00000	17	0.00000	25	0.00001	38	0.00001	19	0.00001	0	0.00000	0	0.00000	17	0.00000	28	0.00002	31	0.00001
Streptomyces stoeckheimensis	3344656	S	0	0.00000	18	0.00001	0	0.00000	0	0.00000	16	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	18	0.00001
Streptomyces scabiei	1930	S	0	0.00000	42	0.00001	0	0.00000	41	0.00001	0	0.00000	0	0.00000	42	0.00001	0	0.00000	0	0.00000	72	0.00003
Streptomyces antibioticus	1890	S	0	0.00000	16	0.00000	0	0.00000	0	0.00000	33	0.00001	0	0.00000	16	0.00000	0	0.00000	17	0.00001	0	0.00000
Streptomyces qinzhouensis	2599401	S	0	0.00000	14	0.00000	13	0.00001	0	0.00000	25	0.00001	0	0.00000	0	0.00000	0	0.00000	25	0.00001	12	0.00000
Streptomyces gilvosporeus	553510	S	0	0.00000	14	0.00000	0	0.00000	25	0.00001	22	0.00001	0	0.00000	17	0.00000	0	0.00000	13	0.00001	22	0.00001
Streptomyces albidoflavus	1886	S	0	0.00000	106	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	149	0.00005
Streptomyces griseochromogenes	68214	S	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	20	0.00001	0	0.00000	13	0.00001	14	0.00001
Streptomyces luteoverticillatus	66425	S	0	0.00000	13	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	17	0.00001	13	0.00000
Streptomyces buecherae	2763006	S	0	0.00000	15	0.00000	0	0.00000	29	0.00001	0	0.00000	0	0.00000	47	0.00001	53	0.00001	0	0.00000	15	0.00001
Streptomyces lydicus	47763	S	0	0.00000	23	0.00001	55	0.00002	36	0.00001	72	0.00002	0	0.00000	0	0.00000	34	0.00001	23	0.00001	41	0.00001
Streptomyces nodosus	40318	S	0	0.00000	14	0.00000	0	0.00000	14	0.00000	13	0.00000	0	0.00000	16	0.00000	0	0.00000	18	0.00001	0	0.00000
Streptomyces sanyensis	568869	S	0	0.00000	14	0.00000	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sirii	3127701	S	0	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000
Streptomyces netropsis	55404	S	0	0.00000	16	0.00000	0	0.00000	24	0.00001	26	0.00001	0	0.00000	20	0.00001	0	0.00000	38	0.00002	0	0.00000
Streptomyces xiamenensis	408015	S	0	0.00000	27	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	30	0.00001
Streptomyces pristinaespiralis	38300	S	0	0.00000	13	0.00000	0	0.00000	30	0.00001	0	0.00000	0	0.00000	20	0.00001	0	0.00000	0	0.00000	26	0.00001
Streptomyces roseochromogenus	285450	S	0	0.00000	14	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	21	0.00001
Streptomyces cathayae	3031124	S	0	0.00000	48	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	49	0.00002
Kitasatospora sp. MMS16-BH015	2018025	S	0	0.00000	53	0.00002	0	0.00000	41	0.00001	20	0.00001	0	0.00000	15	0.00000	13	0.00000	20	0.00001	35	0.00001
Kitasatospora sp. KL5	3425125	S	0	0.00000	48	0.00001	0	0.00000	73	0.00002	25	0.00001	26	0.00001	34	0.00001	20	0.00000	24	0.00001	36	0.00001
Kitasatospora sp. NBC_01246	2903570	S	0	0.00000	40	0.00001	38	0.00002	53	0.00001	36	0.00001	0	0.00000	37	0.00001	17	0.00000	60	0.00003	86	0.00003
Kitasatospora sp. NA04385	2742135	S	0	0.00000	23	0.00001	0	0.00000	43	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Kitasatospora sp. CM 4170	3075627	S	0	0.00000	24	0.00001	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Kitasatospora sp. NBC_00070	2975962	S	0	0.00000	15	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000	17	0.00000	0	0.00000	0	0.00000
Kitasatospora fiedleri	2991545	S	0	0.00000	60	0.00002	0	0.00000	31	0.00001	25	0.00001	0	0.00000	0	0.00000	20	0.00000	18	0.00001	0	0.00000
Actinacidiphila reveromycinica	659352	S	0	0.00000	32	0.00001	28	0.00001	27	0.00001	37	0.00001	21	0.00000	17	0.00000	23	0.00000	42	0.00002	56	0.00002
Actinacidiphila sp. ITFR-21	3075199	S	0	0.00000	22	0.00001	13	0.00001	12	0.00000	0	0.00000	11	0.00000	0	0.00000	0	0.00000	0	0.00000	20	0.00001
Streptacidiphilus sp. PB12-B1b	2705012	S	0	0.00000	18	0.00001	0	0.00000	19	0.00001	16	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000
Peterkaempfera podocarpi	3232308	S	0	0.00000	16	0.00000	0	0.00000	21	0.00001	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Mycolicibacterium neoaurum	1795	S	0	0.00000	84	0.00002	29	0.00001	58	0.00002	59	0.00002	0	0.00000	26	0.00001	14	0.00000	75	0.00004	64	0.00002
Mycolicibacterium tokaiense	39695	S	0	0.00000	54	0.00002	25	0.00001	52	0.00001	36	0.00001	22	0.00000	36	0.00001	21	0.00000	47	0.00003	88	0.00003
Mycolicibacterium monacense	85693	S	0	0.00000	45	0.00001	0	0.00000	39	0.00001	28	0.00001	14	0.00000	0	0.00000	14	0.00000	45	0.00003	53	0.00002
Mycolicibacterium sp. YH-1	2908837	S	0	0.00000	21	0.00001	0	0.00000	17	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	18	0.00001
