gene_id,gene_name,16h_1,16h_2,16h_3,8h_1,8h_2,8h_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000107815,TWNK,3605,3628,3342,2449,2145,1959,2890.2235675642514,0.8600819716828974,0.042311687510478695,4.5649118968163016e-94,1.1599265556275729e-91,Up
ENSG00000066279,ASPM,1482,1446,1361,3375,3126,2788,2208.2439054336483,-0.9285862541193457,0.04590624365712387,1.4438111631809727e-93,3.599448471530225e-91,Down
ENSG00000170515,PA2G4,13067,13028,12688,10706,9632,8979,11435.641132583129,0.5776880646609088,0.02835467774314164,2.6092708779982864e-93,6.384499279813214e-91,Up
ENSG00000130204,TOMM40,4341,4270,4057,3059,2841,2514,3551.7676764541216,0.7607677398183714,0.03774692403371689,5.269976299862246e-92,1.2660399427287247e-89,Up
ENSG00000130826,DKC1,6257,6186,5825,4815,4346,4033,5288.188620783612,0.6414373798814724,0.03190432189837435,4.2022192520027977e-91,9.914986245841601e-89,Up
ENSG00000167085,PHB1,7841,8042,7810,6001,5453,5015,6762.324457151002,0.6971160906475742,0.034742965401344805,6.088688764871204e-91,1.4114007833376003e-88,Up
ENSG00000163938,GNL3,5060,4935,4476,3592,3237,3066,4100.822687892498,0.7175902406462085,0.03594111215779966,3.685269983687555e-90,8.395426257666149e-88,Up
ENSG00000100823,APEX1,12354,12151,11684,10204,9474,8476,10791.935419530544,0.5363374117813559,0.026869292479914243,1.3171399735714103e-89,2.949723808610007e-87,Up
ENSG00000077348,EXOSC5,1882,1960,1789,1046,966,880,1446.797505163162,1.1269757087613115,0.05728557364014577,3.678943658322457e-89,8.101647092902438e-87,Up
ENSG00000237649,KIFC1,1704,1631,1511,3656,3339,3033,2421.709555826433,-0.8638051459698877,0.043764587579234876,6.049991357925485e-89,1.3104678002011381e-86,Down
ENSG00000081237,PTPRC,4233,3771,3542,7721,7195,6574,5395.4319453250055,-0.7152842436787228,0.03627060036633828,4.920992279289608e-88,1.0487269513911871e-85,Down
ENSG00000126457,PRMT1,6773,6882,6740,5150,4602,4310,5803.162724079566,0.7083774538179126,0.03591898835993764,5.175351387060852e-88,1.0854272678926197e-85,Up
ENSG00000112984,KIF20A,787,715,706,2085,1871,1697,1272.330272119087,-1.1672019834604948,0.06008496421778624,5.599559652185174e-87,1.1560465888175423e-84,Down
ENSG00000109971,HSPA8,51733,48700,47961,45728,41828,38366,45887.21317540329,0.4119215376517608,0.02093050537161285,5.959855302350793e-87,1.2115010478455543e-84,Up
ENSG00000196975,ANXA4,18190,16850,16539,15073,13808,12810,15624.626941419649,0.48044249726994953,0.02449477579016411,1.6086384059760566e-86,3.220445342145702e-84,Up
ENSG00000138764,CCNG2,686,645,601,1865,1678,1557,1137.6792926709315,-1.2120509916925717,0.06254585823527355,1.896881744964998e-86,3.740820671077988e-84,Down
ENSG00000172115,CYCS,11088,10728,10225,9285,8401,7627,9611.686743770144,0.5142417559935824,0.026298346538434204,4.552611277329223e-86,8.84612541284574e-84,Up
