gene_id	gene_name	A5BKO_1	A5BKO_2	A5BKO_3	Mix_1	Mix_2	Mix_3	NT_1	NT_2	NT_3
ENSG00000216921.9	FAM240C	0	0	0	0	0	0	0	0	0
ENSG00000216937.14	CCDC7	46	41	26	89.999	76.999	78.001	31	22	48
ENSG00000216938.3	RPL7P58	0	0	0	1	0	0	0	0	0
ENSG00000216966.1	ENSG00000216966	0	0	0	0	0	0	0	0	0
ENSG00000216977.1	RPL21P65	1	1	0	1	0	1	0	0	1
ENSG00000216990.2	HSPD1P10	1	4	0	0	1	0	0	1	1
ENSG00000216998.1	CYP2AC1P	0	0	0	0	0	0	0	0	0
ENSG00000217004.1	ENSG00000217004	0	0	0	0	0	0	0	0	0
ENSG00000217026.3	RPL10P1	0	0	0	0	0	1.002	1	0	1
ENSG00000217027.1	TPT1P4	0	0	0	3.002	0	0	0	0.797	0
ENSG00000217030.1	ENSG00000217030	0	2.001	0	1	0	0	3.001	0	0
ENSG00000217041.1	ENSG00000217041	0	0	0	0	0	0	0	0	0
ENSG00000217044.1	MTCO3P31	0	0	0	0	0	0	0	0	0
ENSG00000217060.1	ENSG00000217060	1.001	1.002	0	0	0	0	0	0	0
ENSG00000217067.2	ENSG00000217067	0	0	0	0	0	0	0	0	0
ENSG00000217078.1	ENSG00000217078	0	0	0	0	0	0	0	0	0
ENSG00000217083.1	MTCO2P33	0	0	0	0	0	0	0	0	0
ENSG00000217085.2	HMGB3P19	0	0	0	0	0	0	0	0	0
ENSG00000217089.1	RPS29P13	0	0	0	0	0	0	0	0	0
ENSG00000217094.2	PPIAP31	8.438	18.136	13.484	5.136	8.329	3.053	9.274	10.111	11.243
ENSG00000217120.1	ENSG00000217120	0	0	0	0	0	0	0	0	0
ENSG00000217128.13	FNIP1	586	836.001	582	1224	909.999	883.999	561	604	636
ENSG00000217130.1	ENSG00000217130	0	2.006	1.002	0	0	2.006	1.002	1.003	1.002
ENSG00000217135.2	ENSG00000217135	0	0	0	0	0	0	0	0	0
ENSG00000217139.2	ENSG00000217139	0	0	0	0	1	0	0	2.001	2.003
ENSG00000217159.2	LARP1P1	0	0	0	0	0	0	0	0	0
ENSG00000217160.2	MTCO2P31	0	0	0	0	0	0	0	0	0
ENSG00000217165.1	ANKRD18EP	0	0	0	0	0	0	1	1	2
ENSG00000217169.2	MTHFD2P2	0	0	0	0	0	0	0	0	0
ENSG00000217178.1	FAM136FP	0	0	0	0	0	0	0	0	0
ENSG00000217179.1	MTCYBP2	0	0	0	0	0	0	0	0	0
ENSG00000217181.1	RPL21P63	0	0	0	0	0	0	0	0	0
ENSG00000217195.1	ENSG00000217195	0	0	0	0	0	0	0	0	0
ENSG00000217227.1	TFGP1	0	0	0	0	0	0	0	0	0
ENSG00000217228.1	GSTA12P	0	0	0	0	0	0	0	0	0
ENSG00000217231.2	ENSG00000217231	0	0	0	0	0	0	0	0	0
ENSG00000217236.2	SP9	170.035	139	151	346	261	278	90	116.024	87
ENSG00000217239.3	ENSG00000217239	0.921	0	0.942	0	0	0	1	0	0
ENSG00000217241.1	CBX3P9	3.016	8.075	2.006	4.044	2.018	2.012	6.039	2.014	2.02
ENSG00000217261.5	POM121L4P	0	0	0	0	0	0	0	0	0
ENSG00000217268.1	TXNP7	0	0	0	0	0	0	0	0	0
ENSG00000217272.1	RAB1AP2	0	0	0	0	0	0	0	0	0
ENSG00000217275.2	ENSG00000217275	3.002	3.004	0	4.003	1.002	2.003	3.002	1.001	0
ENSG00000217289.3	ENSG00000217289	1	3.847	1	2.003	1	1.001	1	0	3
ENSG00000217314.2	UQCRFS1P3	0	0	0	0	0	0	0	0	0
ENSG00000217315.1	OR2W2P	0	0	0	0	0	0	0	0	0
ENSG00000217325.3	PRELID1P1	0	1.013	1.006	1.011	0	0	0	0	1.012
ENSG00000217327.3	RPS7P5	0	0	0	0	0	0	0	0	0
ENSG00000217330.1	SSXP10	0	0	0	0	0	0	0	0	0
ENSG00000217331.1	ENSG00000217331	0	0	0	0	0	0	0	0	0
ENSG00000217334.1	ENSG00000217334	0	0	0	1	0	0	0	0	0
ENSG00000217372.2	TUBB4BP7	0	0	1	0	0	0	0	0	1
ENSG00000217377.1	AK4P5	0	0	0	0	0	0	0	0	0
ENSG00000217379.2	RPL21P61	0	0	0	0	0	0	0	0	0
ENSG00000217385.1	PSMC1P11	0	1	0	0	0	0	1	0	0
ENSG00000217404.2	RPS4XP9	0	0	0	0	0	0	0	0	0
ENSG00000217408.2	PRELID1P2	0	0	0	0	0	0	0	0	0
ENSG00000217414.2	DDX18P3	0	0	1	0	0	0	0	0	0
ENSG00000217416.4	ISCA1P1	0	2.094	1.069	0	0	0	4.657	0	2.175
ENSG00000217442.4	SYCE3	0	0	0	1	0	1	0	0	0
ENSG00000217447.1	ENSG00000217447	0	0	0	0	0	0	0	0	0
ENSG00000217455.8	ENSG00000217455	0	0	0	0	0	0	0	0	0
ENSG00000217477.2	ENSG00000217477	0	0	0	0	0	0	0	0	0
ENSG00000217482.2	HMGB1P17	0	0	0	0	0	0	0	0	0
ENSG00000217483.1	ENSG00000217483	0	0	0	0	0	0	0	0	0
ENSG00000217488.3	ENSG00000217488	0	0	0	0	0	0	0	0	0
ENSG00000217495.2	ENSG00000217495	0	0	0	0	0	0	0	0	0
ENSG00000217512.1	ENSG00000217512	0	0	0	0	0	1	0	0	0
ENSG00000217514.1	ENSG00000217514	0	0	0	0	0	0	0	0	0
ENSG00000217527.1	RPS16P5	0	0	0	1	0	0	0	0	0
ENSG00000217539.2	IQCB2P	0	0	0	0	0	0	0	0	0
ENSG00000217555.13	CKLF	544.854	829.651	537.412	991.13	819.881	769.958	615.606	613.841	567.928
ENSG00000217557.1	ENSG00000217557	0	0	0	0	0	0	0	0	0
ENSG00000217566.2	TDGF1P4	0	0	0	0	0	0	0	0	0
ENSG00000217576.7	ENSG00000217576	0	0	0	0	0	0	0	0	0
ENSG00000217585.1	MDH1P2	0	0	0	0	0	0	0	0	0
ENSG00000217612.2	ENSG00000217612	0	0	1	0	0	0	0	0	0
ENSG00000217624.2	YWHAZP10	1.006	2.478	0	1.016	1.015	1.273	1.014	0	3.064
ENSG00000217631.1	ENSG00000217631	0	0	0	0	0	0	0	0	0
ENSG00000217643.1	PTGES3P2	0	0	0	0	0	0	0	0	0
ENSG00000217644.5	ENSG00000217644	3	0	0	0	0	0	0	0	0
