pathway	meanAL	meanIF	meanRA	log2FC	p	padj
PWY-5973: cis-vaccenate biosynthesis	0.00592422130802766	0.00568520505805714	0.0058047131830424	-0.0594029129607201	0.69047619047619	0.911143838978891
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.0195164889747465	0.0202961877464116	0.0199063383605791	0.0565123955900238	0.69047619047619	0.911143838978891
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.0195164889747465	0.0202961877464116	0.0199063383605791	0.0565123955900238	0.69047619047619	0.911143838978891
PWY-6608: guanosine nucleotides degradation III	0.00158893624706696	0.00150606244185586	0.00154749934446141	-0.0772297246770037	0.69047619047619	0.911143838978891
PWY-6901: superpathway of glucose and xylose degradation	0.00190344314372628	0.00139704185414939	0.00165024249893784	-0.445961665224876	0.69047619047619	0.911143838978891
PWY-702: L-methionine biosynthesis II	0.00143131687378404	0.0010495836121989	0.00124045024299147	-0.447159712147566	0.69047619047619	0.911143838978891
PWY-7238: sucrose biosynthesis II	0.0146389443079268	0.0123080955414485	0.0134735199246877	-0.250185307349094	0.69047619047619	0.911143838978891
PWY-7663: gondoate biosynthesis (anaerobic)	0.00505926937119067	0.00479423180956164	0.00492675059037615	-0.0776136261107538	0.69047619047619	0.911143838978891
PWY-7790: UMP biosynthesis II	0.0209850338242164	0.0217544345154104	0.0213697341698134	0.0519462960041161	0.69047619047619	0.911143838978891
PWY-7791: UMP biosynthesis III	0.0209850338242164	0.0217544345154104	0.0213697341698134	0.0519462960041161	0.69047619047619	0.911143838978891
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0.00149641414365886	0.00140443032564948	0.00145042223465417	-0.091461352702274	0.69047619047619	0.911143838978891
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0.00354123128442104	0.00312038926306433	0.00333081027374269	-0.182470129185514	0.841269841269841	0.952942829049024
PWY-5981: CDP-diacylglycerol biosynthesis III	0.00460570571715512	0.00443734486795014	0.00452152529255263	-0.0537136674204821	0.841269841269841	0.952942829049024
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.00137087426503396	0.00127353951180753	0.00132220688842074	-0.106172162915591	0.841269841269841	0.952942829049024
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.0128819042890189	0.0131502515586318	0.0130160779238254	0.0297422346927193	0.841269841269841	0.952942829049024
PWY-6629: superpathway of L-tryptophan biosynthesis	0.00488977898610064	0.00428365846293772	0.00458671872451918	-0.190884061515005	0.841269841269841	0.952942829049024
PWY-6700: queuosine biosynthesis I (de novo)	0.0120061870040332	0.0139043330817848	0.012955260042909	0.211740100956132	0.841269841269841	0.952942829049024
PWY-6936: seleno-amino acid biosynthesis (plants)	0.00471303710302516	0.00506863208280681	0.00489083459291599	0.104917936936302	0.841269841269841	0.952942829049024
PWY-7185: UTP and CTP dephosphorylation I	0.00149840394054591	0.00130288962421157	0.00140064678237874	-0.201567349866327	0.841269841269841	0.952942829049024
PWY-7199: pyrimidine deoxyribonucleosides salvage	0.00813970614864686	0.00820326214822598	0.00817148414843642	0.011219647033918	0.841269841269841	0.952942829049024
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	0.00117807919682628	0.00109662274321369	0.00113735097001999	-0.103278344852076	0.841269841269841	0.952942829049024
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	0.00163861345234199	0.00134335400798684	0.00149098373016441	-0.286442639621449	0.841269841269841	0.952942829049024
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	0.00297081343037547	0.0033926139295562	0.00318171367996583	0.191478901009817	0.841269841269841	0.952942829049024
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	0.00374837395197375	0.00436957467917606	0.0040589743155749	0.221173266498625	0.841269841269841	0.952942829049024
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	0.00191794826780119	0.00182665785694928	0.00187230306237523	-0.0703198001695783	0.841269841269841	0.952942829049024
TRPSYN-PWY: L-tryptophan biosynthesis	0.00279764049725673	0.00230920355131012	0.00255342202428343	-0.276706203030688	0.841269841269841	0.952942829049024
VALSYN-PWY: L-valine biosynthesis	0.0239407478567973	0.0246160446824188	0.0242783962696081	0.0401290948093062	0.841269841269841	0.952942829049024
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.0103349041535117	0.0104635703720991	0.0103992372628054	0.0178484854149458	1	1
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	0.0118566962210653	0.0118594552190774	0.0118580757200714	0.000335641061901391	1	1
HISDEG-PWY: L-histidine degradation I	0.0035612250849661	0.00349586567555221	0.00352854538025915	-0.0267162992193801	1	1
HISTSYN-PWY: L-histidine biosynthesis	0.0074968524955669	0.0079660384910423	0.0077314454933046	0.0875661010847628	1	1
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.00444133668191837	0.0042976084306289	0.00436947255627363	-0.0474490398320261	1	1
PWY-5097: L-lysine biosynthesis VI	0.0128264189626972	0.0128358062455481	0.0128311126041227	0.00105539808121715	1	1
PWY-5695: inosine 5'-phosphate degradation	0.00300965918647119	0.00307987804371404	0.00304476861509261	0.0332621736350152	1	1
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.0173972788960824	0.018022464053414	0.0177098714747482	0.0509317230230455	1	1
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0.0130931463124124	0.0133645844881073	0.0132288654002598	0.0296009245829414	1	1
PWY-6897: thiamine diphosphate salvage II	0.00163633197338197	0.00146611633111138	0.00155122415224668	-0.158363591462956	1	1
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	0.00216737254117231	0.00208202712103118	0.00212469983110175	-0.0579310194187238	1	1
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	0.00130345970268574	0.00117771822997415	0.00124058896632995	-0.146233490745152	1	1
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	0.00932290775159696	0.00943834022008458	0.00938062398584077	0.0177512924329762	1	1
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	0.00961426649603303	0.0107074988199139	0.0101608826579734	0.155357499958183	1	1
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	0.00151152242429958	0.00155964865414884	0.00153558553922421	0.045189251089582	1	1
