gene_id,gene_name,16h_1,16h_2,16h_3,Control_1,Control_2,Control_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000123066,MED13L,5052,4610,4482,40925,46885,44377,21775.34716165514,-3.0782171452891074,0.0618858399502233,0,0,Down
ENSG00000123106,CCDC91,735,686,680,11098,13248,12221,5540.202101057861,-3.9706032500898965,0.07249017646171968,0,0,Down
ENSG00000123552,USP45,366,357,285,6082,6514,6398,2903.949437097751,-4.087533639308483,0.10448662907856547,0,0,Down
ENSG00000123636,BAZ2B,945,955,808,13916,17502,13567,7032.729278542282,-3.8988221105369023,0.06613928341619238,0,0,Down
ENSG00000124782,RREB1,3262,3267,2918,23396,31589,23912,13022.977607238536,-2.904392260945185,0.060967096699316575,0,0,Down
ENSG00000124813,RUNX2,655,651,607,8157,9633,6974,3760.2605957622864,-3.5361325408289987,0.08418174475892194,0,0,Down
ENSG00000125246,CLYBL,261,213,231,5261,7254,5727,2850.5511707334163,-4.5275768045905,0.10866184780346322,0,0,Down
ENSG00000126267,COX6B1,7450,7181,7275,763,1111,896,3776.3786416020903,3.1352238010919136,0.07726809599389088,0,0,Up
ENSG00000128973,CLN6,3022,3042,2873,43,59,29,1342.3717389924252,6.214938414578963,0.1543559219016992,0,0,Up
ENSG00000129824,RPS4Y1,12517,12538,11757,1911,2454,2093,6511.00831845753,2.6598017161405685,0.059323950981472036,0,0,Up
ENSG00000130255,RPL36,35196,32875,34221,1994,1731,1394,15737.03385333072,4.449083046148676,0.11566870983391483,0,0,Up
ENSG00000130811,EIF3G,8521,8306,8351,1010,1151,1019,4094.2463276290487,3.1307259178511435,0.061401903209789103,0,0,Up
ENSG00000131374,TBC1D5,2279,2034,1986,62275,76332,70143,31033.785053969412,-4.901055227702205,0.057513113786763645,0,0,Down
ENSG00000132466,ANKRD17,3524,3197,3159,21551,28818,22290,11612.436331559526,-2.7224591012733605,0.05422009146893183,0,0,Down
ENSG00000132507,EIF5A,17913,18011,17330,926,1178,908,7421.119457076851,4.292838086198007,0.07275028904488529,0,0,Up
ENSG00000132549,VPS13B,1174,1057,946,28186,34007,32212,14192.653373378238,-4.744814946459016,0.06993617311222165,0,0,Down
ENSG00000132842,AP3B1,2698,2638,2533,12756,14304,13286,7073.936518415739,-2.212039273586326,0.053959222206788324,0,0,Down
ENSG00000132964,CDK8,746,702,721,6903,7825,6528,3403.700765984634,-3.1413870461304723,0.06721328717256164,0,0,Down
