gene_id,gene_name,pi5_1,pi5_2,pi5_3,pi5_4,NC_1,NC_2,NC_3,NC_4,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<0.05 & |log2FC|>=0.585)
ADGRB2,ADGRB2,185.999,189.001,168,190,305,266,295,279,230.97602038926,-0.012617248894376128,0.03160755477725183,0.01015140928989758,NA,NS
ADGRE5,ADGRE5,819,742,718,723,1086,884,921,791,827.4911101138282,0.0033275959237548344,0.018711293621578313,0.47879884739048667,NA,NS
ADGRF1,ADGRF1,11,14,10,4,15,14,14,7,10.919819247553127,-2.3933859409607595e-6,0.022724809251309024,0.9982212789843276,NA,NS
ADGRG2,ADGRG2,1387,1138,1109,1225,1795,1511,1512,1182,1339.0618717371508,0.003203550344145054,0.01747898341110008,0.4969695642372753,NA,NS
ADGRG3,ADGRG3,10,12,23,24,29,23,22,25,20.906395485130275,-6.283588876003071e-4,0.022660065490285156,0.6497680132011784,NA,NS
ADGRG4,ADGRG4,107,103,107,89,147,117,134,114,113.84893745782009,1.4354285868943466e-4,0.02136773022809674,0.9619384226193837,NA,NS
ADGRL1,ADGRL1,1311,1285,1095.999,1248,1835,1518.001,1590.999,1369.999,1390.4878710467233,-0.001150436891264367,0.016749994654045728,0.7959356661995931,NA,NS
ADGRL3,ADGRL3,276,210,229,279,388,270,304,243,270.8683592032126,0.002729846141913153,0.020914786275318235,0.4906230531874354,NA,NS
ADGRV1,ADGRV1,332,296,302,347,532,379,435,309,359.71261603647577,-8.603748773308056e-4,0.019413470516116447,0.8321973023710718,NA,NS
ADHFE1,ADHFE1,634,536,553,560,1018,730,755,604,658.9575418253796,-0.007358885590963498,0.023199082573156782,0.17996110399423776,NA,NS
ADIPOR1,ADIPOR1,1991,1767,1589,1771.999,2689,2048,2281,1901,1978.6732121083635,0.001308347286570268,0.015213100436226647,0.7651085472053835,NA,NS
ADIRF,ADIRF,106,59,77,79,153,81,99,73,88.27434768974749,3.320718399872652e-4,0.021838957845356822,0.8977733257958922,NA,NS
ADISSP,ADISSP,565,524,455.999,472,823,685,721,601,595.0225385350458,-0.013090834546151717,0.029940768555695604,0.04681215569543183,NA,NS
ADK,ADK,88,61,79,104,261,60,112,106,103.00724031620288,-0.0010519365480623334,0.022752599984927048,0.442421567176818,NA,NS
ADM,ADM,179,206,174,167,278,202,261,216,208.13340764870244,-0.0015275744056469495,0.021101321981487974,0.6568425748509179,NA,NS
ADM2,ADM2,92,75,66,98,147,136,136,91,102.21965104882868,-0.00538316144321285,0.024639148757596402,0.08499077585661907,NA,NS
ADNP2,ADNP2,1744,1668,1554,1680,2744,2114,2035.968,1695,1872.1881128706189,-0.0015347282079448534,0.015242965040677013,0.7268713105321836,NA,NS
ADO,ADO,1583,1317,1157,1309,2403,1567,1725,1343,1513.3484365505074,-0.002793762937198338,0.017629327743022317,0.5475001556790702,NA,NS
ADORA1,ADORA1,75,43,49,53,70,81,62,41,58.449752201943696,0.0012761858785589214,0.022345752308954383,0.5643393664993764,NA,NS
ADORA2B,ADORA2B,363,269,305,296,448,367,385,332,341.8498243258137,0.0010668078132532676,0.019638281738941145,0.7905255534320966,NA,NS
ADPRH,ADPRH,2019,1739,1617,1869,3142,2056,2033,1794,1993.7672844286462,0.003339853580525986,0.017786546658152068,0.48131109581338555,NA,NS
ADPRM,ADPRM,203,172,159.001,165,324,207,236.001,183.001,200.95096673156414,-0.0029619703765465955,0.021451181068224048,0.4349809502509177,NA,NS
ADPRS,ADPRS,896,774,672,781,1243,949,1069,887,893.5601950838026,-0.005626127358091135,0.020956707604381362,0.2756015281632018,NA,NS
ADRA1B,ADRA1B,7,9,10,14,29,8,5,10,11.01874726745054,8.896370515483076e-5,0.022749666163225737,0.9287256133311328,NA,NS
ADRA2A,ADRA2A,10,11,5,19,24,12,14,11,12.789145397126811,-1.817698902092603e-4,0.02270705988691269,0.8733726855515526,NA,NS
ADRB1,ADRB1,46,22,26,43,41,41,24,33,34.382183693423315,0.0018413838940980647,0.022846535025147652,0.2950721138316759,NA,NS
ADRB2,ADRB2,30,24,22,24,34,28,34,20,26.653270240654564,7.724859008377863e-4,0.022521489093187918,0.6549607126380262,NA,NS
ADSL,ADSL,1251,1008,879,1029,1815,1384,1410,1149,1211.737160345407,-0.01830477871946129,0.03282990457312493,0.03223061379737085,NA,NS
ADSS1,ADSS1,43,33,30,31,65,29,50,39,38.96163334370896,-4.969797781841334e-4,0.022349429696208817,0.7987509285593584,NA,NS
AEBP1,AEBP1,168,187,118,135,210,184,169,141,162.41422555484027,0.003119706563910124,0.022287136748593925,0.34895510619959236,NA,NS
AEBP2,AEBP2,1428,1329,1109,1357.871,2332.999,1726,1554.259,1229.999,1472.8148234143332,-0.0019494173608742178,0.01794707454744437,0.6638914544628229,NA,NS
AEN,AEN,87,67,66,84,110,106,107,73,86.10836332431516,-6.708430830231644e-4,0.021735215339887454,0.8063743777146083,NA,NS
AFAP1L1,AFAP1L1,189,160,176,189,244,208,203,144,187.6286164403467,0.006324586327505806,0.02475056787706675,0.11642736030744477,NA,NS
AFF2,AFF2,167,184,112,153,235,209.771,180,131,168.50974760299863,0.0011858649390173372,0.021361612677142258,0.70815943774715,NA,NS
AFF3,AFF3,176,163,136,166,227,201,236,169,181.88878798529373,-0.0011549062463469158,0.02092614865970981,0.7379142904304651,NA,NS
AFG1L,AFG1L,168,97,96,102,205,168,176,126,138.01738458983928,-0.004409397572596921,0.02356547039491135,0.17100228457223562,NA,NS
AFG2A,AFG2A,456,323,323,371,706,466,468,390,425.4852068236903,-0.005571008773464062,0.022792856663452574,0.22752978457373646,NA,NS
AFG2B,AFG2B,563,497,491,464,843,582,651,582,574.559068561402,-0.003108573112442151,0.01958797335525832,0.4908485191334803,NA,NS
AFMID,AFMID,184,165,158,158,376,213,243,215,206.77308692455617,-0.012271957769865494,0.0311518938887905,0.01316613941822817,NA,NS
AFTPH,AFTPH,2645,2236,2111,2412,4099,2857,2956,2205,2630.3824370613615,-5.461105531654898e-4,0.015444968226473838,0.9005716387593385,NA,NS
AGA,AGA,2358,2264,2110,2243,3263,2611,2753,2295,2463.1311459691665,0.006450808871983981,0.020325458507005192,0.23932856036695288,NA,NS
AGAP1,AGAP1,53,35,38,36,64,43.001,41,38,42.80440434162669,0.001362855254607376,0.022437346958216482,0.5213607581339399,NA,NS
AGAP3,AGAP3,851,741,682,724,1188,987,1052.999,822,865.7713846630664,-0.008365618254932731,0.0240102302112746,0.14924699560260338,NA,NS
AGBL2,AGBL2,838,718.001,754.999,687,1197.999,884,962,811,844.1407939263911,-0.0010252303234102094,0.017501641468003197,0.816200980873615,NA,NS
AGBL3,AGBL3,185,202,229,238,338,231,254,228,236.10437954929913,0.00159492797202236,0.021086878014329527,0.6454892494572801,NA,NS
AGBL5,AGBL5,1561,1464.999,1413,1339.001,2024,1735.001,1990.999,1597,1626.336521860581,-7.03062973401348e-4,0.01800313816353772,0.8712485176767075,NA,NS
AGER,AGER,24,26,18,27,41,23,29,21,25.59576528675631,5.436787435530433e-4,0.022509716112560314,0.746213539865962,NA,NS
AGFG1,AGFG1,2377,2122.001,1992.999,2225,3736.999,2636,2759,2275,2466.6291375954816,-0.003737113216229942,0.016147295742441933,0.42472343456589856,NA,NS
AGFG2,AGFG2,1306,1301,1208,1167,1637,1589,1589,1280,1376.635566295778,0.002450162813345772,0.019226711179842815,0.5780720058997268,NA,NS
AGGF1,AGGF1,1222,1018,940,1039,1765,1246,1312,1107,1183.327744354227,-0.0013012720340825864,0.01569291770332429,0.7685059272138863,NA,NS
AGK,AGK,576,465,492,511,830,543,580,526,557.1114854666224,0.004453671967969281,0.02082236222238569,0.3447775260412928,NA,NS
AGMAT,AGMAT,1122,985,941,998,1756,1387,1403,1096,1184.790991571428,-0.025157554137701283,0.037253042072041505,0.015546297340684627,NA,NS
AGPAT1,AGPAT1,1787,1598.999,1351,1430,2284,1926,2077,1744.001,1751.136034007591,-0.0035612095203920407,0.018877507492917275,0.4526827743153509,NA,NS
AGPAT3,AGPAT3,1077,938,864,908,1576.001,1147,1194,956,1062.1335558086184,-0.0010708027611332697,0.015830910604284144,0.8084674445863411,NA,NS
AGT,AGT,62,35,41,46,78,43,55,54,50.7546961623303,1.8885017528314402e-4,0.022170764959240356,0.93075514179498,NA,NS
AGTPBP1,AGTPBP1,321,264,265,288,437,359,368,292,319.39223209977285,-5.274761400049876e-4,0.01922987215766905,0.8972433328130036,NA,NS
AGTRAP,AGTRAP,657,610,527,551,860,556,711,668,637.090416958076,0.004018579628245591,0.021329494734332464,0.35666726358484974,NA,NS
AGXT,AGXT,234,190,159,194,335,227,259,190,218.2634966782016,-0.0010043730643575519,0.020360201729665423,0.7873318598829618,NA,NS
AHDC1,AHDC1,156,161,165,177,244.001,210.999,227,187,189.160980914974,-0.0015819800077618927,0.021056369209340762,0.6495589079575447,NA,NS
AHI1,AHI1,190,224,200,237,362,284,271,261,249.85634284140752,-0.004015445935519291,0.022376494087136087,0.2960492693980145,NA,NS
AHNAK2,AHNAK2,1099,974,893,933,1530,1357,1161,1074,1110.492691807096,-0.00386248479323806,0.019263377663932567,0.4195907352699413,NA,NS
AHR,AHR,1031,1060,893,1070,1367,1343,1388,1100,1146.8791818815644,-0.0013759953892376747,0.01907282842346521,0.7443752044210454,NA,NS
AIDA,AIDA,1119,1023,865,1041,1645,1208,1152.999,915,1101.1418874817432,0.00620916848981756,0.021416382641190973,0.2431466629506362,NA,NS
AIF1L,AIF1L,1174,985,894,1187,1712,1236,1144,1007,1147.9857357820315,0.006556191155216613,0.022426465461627073,0.2142634114341797,NA,NS
AIFM2,AIFM2,631,651,549,615,902,826,815,574,685.8259689107032,-1.8433492865971505e-4,0.018706795578273705,0.9649707003467425,NA,NS
AIFM3,AIFM3,292,261,285,287,385,350,380,338,320.3232880764363,-0.0012860959642631469,0.020402177804134735,0.7319695950383254,NA,NS
AIMP1,AIMP1,1069,788,873,876,2082,988,1052,975,1048.6880062287958,-0.0019348914429689152,0.02211005406864334,0.48998746909281626,NA,NS
AIP,AIP,757,614,614,608,1025,819,867,749,744.757489831144,-0.005663189505362168,0.021453767378260855,0.2655638557242064,NA,NS
AIPL1,AIPL1,71,83,67,69,139,108,127,112,94.74168095063418,-0.008111686757695517,0.02751503229170361,0.015264924489292356,NA,NS
AIRIM,AIRIM,1098,927,805,969,1705,1091,1133,945,1058.9969241394326,-1.831048191853287e-4,0.017184740126202972,0.966733519612187,NA,NS
AJM1,AJM1,142,124,106,117,212,160,172,129,141.90941337986678,-0.0030562063294863762,0.022021813493880698,0.3811122016350261,NA,NS
AK1,AK1,23,22,32,23,40,36,28,37,29.962622613509062,-9.050826283271126e-4,0.02255597851188075,0.5978315635741654,NA,NS
AK4,AK4,169,138,123,174,346,176,188,168,178.44275262791393,-0.003908984648658533,0.022999432472482657,0.23713843903806578,NA,NS
AK6,AK6,1768.692,1432.747,1468.494,1541.897,2764.726,1820.265,1958.84,1597.118,1755.0905329221841,-0.002782531042170449,0.017072707612401542,0.548752283270808,NA,NS
AK7,AK7,102,64,95,89,169,101,107,90,99.56253896206437,-8.68370725544524e-4,0.021751880469544717,0.753145455778102,NA,NS
AK8,AK8,12,10,10,9,37,16,17,13,14.463804273282578,-0.0019044535005640934,0.023095442008456937,0.12909197086238036,NA,NS
AK9,AK9,43,31,39,33,40,28,34,46,37.2005422159676,0.002061510785459768,0.02289086264639953,0.26924028738402833,NA,NS
AKAP12,AKAP12,324,296,269,299,470,353,360,273,325.18898625458047,0.0028097271057330236,0.020193368313959206,0.5097617192010662,NA,NS
AKAP17A,AKAP17A,152,100,132,137,261,175,174,123,151.92192106866017,-0.002881339265021509,0.02222346595436781,0.3729086673542294,NA,NS
AKAP3,AKAP3,152,121,157,175,232,200,224,174,177.02078516379308,-0.0027939036985317996,0.022027771975637073,0.4023132608274935,NA,NS
AKAP4,AKAP4,939,885,843,891,1279,1124,1111,939,991.6206753831802,0.001092843446579767,0.01727654495208974,0.8051435989936997,NA,NS
AKAP5,AKAP5,17,18,11,28,39,20,18,9,19.252021075424896,6.079050852588849e-4,0.022686036219005026,0.6429983207346393,NA,NS
AKAP6,AKAP6,374,331,326,326,516,376,397,297,363.0660427520991,0.007599423372160588,0.024750663357985845,0.13500193880025196,NA,NS
AKAP7,AKAP7,1684,1479.001,1374,1475.999,2509,1811,1858,1476,1676.2904938869092,4.130152328290482e-4,0.014472327211682207,0.9228751784908398,NA,NS
AKIP1,AKIP1,1004,782.001,960.999,920,1349,1017.001,1109,1072,1018.7784820633467,0.001333182668745323,0.01915247301462961,0.750595343769684,NA,NS
AKIRIN2,AKIRIN2,2364,2096,1908,2041,3618,2580,2655,2166,2379.140243085017,-0.004001005411106725,0.016527622047812485,0.4006677359141199,NA,NS
AKNA,AKNA,319,269,246,284,441,388,372.999,304,322.2547266986055,-0.004265224438557341,0.021585906031434766,0.3303620827504543,NA,NS
AKNAD1,AKNAD1,20,9,24,17,15,12,22,18,17.46862936729706,0.0012175930981696951,0.022834662895549453,0.3395945706291842,NA,NS
AKR1A1,AKR1A1,1206,1058,929,934,1640,1347,1428,1155,1191.0593164669476,-0.008594581805626056,0.02422746609508599,0.14281112187530828,NA,NS
AKR1B1,AKR1B1,997,918,793,886,1770,1233,1242,1001,1073.5326505484145,-0.04562386630246334,0.048158705976662504,0.0016461325264407272,NA,NS
AKR1E2,AKR1E2,1201,1079,919,1067,1839,1277,1287,1029,1186.7089032525553,5.023831427880375e-4,0.016270722175260002,0.9093255746847031,NA,NS
AKT1,AKT1,1851,1649,1417,1738,2812,2202,2216,1790,1919.1158431348565,-0.014587553949043668,0.028517840153455737,0.06130737310046724,NA,NS
AKT1S1,AKT1S1,748,645,533,630,953,838,785,657,712.893847498382,-6.638465474711176e-5,0.0177431459074381,0.9878118338315852,NA,NS
AKT2,AKT2,2528,2477,1894,2243,3537,3144,2850,2381,2589.4030545891674,-0.0030329287214149337,0.018314168373414156,0.5153084286772869,NA,NS
AKT3,AKT3,466,459,344.001,453,705,543,546,487,491.64240665752345,-0.0034294854501662675,0.02024907511375139,0.4421632204294524,NA,NS
ALAD,ALAD,1462,1321,1222,1318,2100,1650,1671,1331,1485.6417799625597,4.1305543772318453e-4,0.014616743613398797,0.9231999640807834,NA,NS
ALAS1,ALAS1,1868,1657,1372,1782,2851,2239,2166,1778,1921.995216387104,-0.010525375935178737,0.025408947253903986,0.1077969604013049,NA,NS
ALDH16A1,ALDH16A1,1692,1511,1193,1384,2185,2025,2078,1664,1688.0216529893355,-0.011293512074155852,0.027913790870840692,0.07100497764661871,NA,NS
ALDH1A2,ALDH1A2,16,19,19,29,50,36,27,17,25.541202280647376,-0.0012351177616207283,0.022724398865014053,0.4258898526613646,NA,NS
ALDH1A4,ALDH1A4,192,140,155,150,269,184,146.053,140,168.8736056328337,0.0036988211447371066,0.022655432279357693,0.28121441673837383,NA,NS
ALDH1A6,ALDH1A6,2492,1933,1819,2261.999,3885.999,2623,2701.944,2107,2414.581504653929,-0.0044051026535205885,0.01936274494958245,0.37180117464892387,NA,NS
ALDH1L1,ALDH1L1,458,426,398,540,702,474,570,478,499.69331089133505,0.002637766618986018,0.020366683096840504,0.5247047148637516,NA,NS
ALDH1L2,ALDH1L2,113,72,70,85,121,99,104,80,91.58388723013476,0.0015083380221447226,0.021881243114653226,0.5947042750854601,NA,NS
ALDH3B1,ALDH3B1,21,16,17,15,28,27,32,20,21.49387346539633,-0.0013926933853075723,0.022774848648267412,0.3690847174086378,NA,NS
ALDH4A1,ALDH4A1,2576,2409,1787,2267,3496,2877,2973,2283,2538.8216648290477,-0.0016577071342577727,0.017229317833527245,0.7118518038272941,NA,NS
ALDH5A1,ALDH5A1,1853,1529,1508,1630,2755,1814,2048,1711,1821.7327755670663,-1.537689189671774e-4,0.015343613148402204,0.9718458217569614,NA,NS
ALDH9A1,ALDH9A1,273,260,206,262,393,335,305,299,287.3551324811249,-0.002979291918730556,0.021000639906807502,0.4590291422463586,NA,NS
ALDOB,ALDOB,1534,1331,1412,1354,2837,1614,1843,1432,1623.2302052545838,-0.005055664164406685,0.021546010389345577,0.2908765790461965,NA,NS
ALDOC,ALDOC,510,436,379,398,607,488,601,493,483.71697025878535,-6.785694554319071e-4,0.01949434636756413,0.8658784343530772,NA,NS
ALG1,ALG1,1184,1027,1038,1052,1587,1106,1212,1107,1153.9038122816994,0.01524705776532945,0.030801862220901387,0.044475651112739684,NA,NS
ALG10,ALG10,2276,2234,2064,2154,3479,2484,2612,2126,2394.3127618398717,0.006775016410061069,0.020540152001871422,0.22403281764981245,NA,NS
ALG14,ALG14,355,215,279,262,515,267,260,319,302.7725277323914,0.0013881470044999032,0.021448658520804253,0.6603642113959451,NA,NS
ALG3,ALG3,680,649,550.001,553,989,757,835,728,705.8581093953699,-0.007451407071182374,0.023871854326559524,0.16311311033636744,NA,NS
ALG8,ALG8,1735,1471,1373,1581,2199,1695,1835,1597,1669.6148407761511,0.010843279236365796,0.025560456537793128,0.10349409349677723,NA,NS
ALG9,ALG9,2335,2115,1883,2118,3303,2386,2460,2134,2309.127498042952,0.009220417352318879,0.022396312424099438,0.14209912673638544,NA,NS
ALKBH1,ALKBH1,1169,1102,986,1101,1806,1285,1419,1078,1220.6800781315465,-4.4274745737257716e-4,0.015772848218577232,0.9196728317223131,NA,NS
ALKBH2,ALKBH2,1107.001,896.999,885,932,1526.999,1148.001,1268,1050.999,1083.7124918575014,-0.0035882867292765844,0.0181366282942386,0.4536747818019253,NA,NS
ALKBH3,ALKBH3,498,363.001,382,414.999,716,557,523,439.001,475.90690593175174,-0.004892742419993199,0.02151077435054802,0.2998422245982012,NA,NS
ALKBH4,ALKBH4,749,614,570,664,1096,882,933,721,761.9039319205355,-0.016950560362449196,0.0327091054790491,0.03126066756790752,NA,NS
ALKBH5,ALKBH5,2729,2107,1931.001,2194,3670,2737.18,2686,2246,2488.2319891414595,5.181323896701495e-4,0.01509006489289816,0.904951827312327,NA,NS
ALKBH6,ALKBH6,261,238,195,206,379,269,309,264,260.0570166188492,-0.003885696072294018,0.021781748168378957,0.34272673829371086,NA,NS
ALKBH7,ALKBH7,396,354,313,353,664,431,468,376,408.78584838903805,-0.005584887746536095,0.022424651577796873,0.24190586040474257,NA,NS
ALKBH8,ALKBH8,436,419,397,481,818,520,587,390,492.88092836051067,-0.001993718995197197,0.020141643995858632,0.6209466161461191,NA,NS
ALOX5,ALOX5,43,41,40,18,40,32,33,37,35.811703583566,0.0020273978391365196,0.02292877999364292,0.2507720449353821,NA,NS
ALOXE3,ALOXE3,22,23,11,29,43,17,26,15,22.44901718313288,5.29644413830513e-4,0.022623234069904942,0.7125591005355483,NA,NS
ALPK1,ALPK1,125,147,103,153,221.001,152,137,121,142.47596220394368,0.0022043296019695143,0.021882150555559112,0.4826464403154493,NA,NS
ALS2,ALS2,1274,1130,1143,1257,2012,1484,1469,1212,1348.437250333157,-6.75356982982931e-4,0.01578734850481855,0.8779492567913184,NA,NS
ALS2CL,ALS2CL,562,529.001,458,628,904,688,676,509,607.3337721370278,1.8205055061583755e-4,0.018738933377874585,0.9653477562073559,NA,NS
AMACR,AMACR,908,810,733,785,1496,978,1028,844,924.9833192540256,-0.005418050334672615,0.020703764710400772,0.28982317943476144,NA,NS
AMBP,AMBP,141,158,115,105,220,154,195,126,148.54194090398477,-0.0014230906656575919,0.02154184702540286,0.6459721852278266,NA,NS
AMBRA1,AMBRA1,1474,1294.001,1175.001,1408,2179,1903,1904.999,1510,1575.359511841011,-0.02535502897257871,0.03824614569172946,0.012848649013613664,NA,NS
AMDHD2,AMDHD2,596,455,446.999,487,738,549,605.999,523.999,543.2692194122546,0.00328792425446588,0.019687946438174595,0.46956966970620634,NA,NS
AMER3,AMER3,90,73,85,72,98,101,105,69,86.19979377392839,0.0017918713382330585,0.02215349807223972,0.5049593467904498,NA,NS
AMH,AMH,257,249,216,261,463,295,355,289,290.9301957199775,-0.007641917643808386,0.025443011771622125,0.1067743587046981,NA,NS
AMIGO1,AMIGO1,2016,1707,1578,1810,2846,1986,2097,1823,1951.9659832839545,0.0051151763206568075,0.01834218683224234,0.31665871993481287,NA,NS
AMIGO3,AMIGO3,242,179,187,159,296,228,260,186,213.402522672931,1.6409512131571378e-4,0.020565722954178838,0.9629986225442698,NA,NS
AMMECR1,AMMECR1,864,784,656,808,1194,966,911,786,858.491365104048,0.0024736181953795397,0.01775219187539817,0.5895531013228584,NA,NS
AMN,AMN,1464,1158.001,1128,1102,1888,1365.001,1548,1325,1351.9214633491204,2.3224399904370763e-4,0.01689969751575252,0.9579312733192358,NA,NS
AMN1,AMN1,50,41,35,47,71,44,46,57,48.228949880277604,3.828793714770396e-5,0.022176249191656387,0.9858550692465076,NA,NS
AMOT,AMOT,2085.001,1785.001,1397,1875.999,3282.999,2171,2075,1889,2018.813739797596,-0.0029641858815654125,0.018925374133712432,0.5178734966421592,NA,NS
AMPD3,AMPD3,909,801,712,875,1297,960,929,879,907.427531333117,0.003105421735663683,0.01832858519471243,0.5066663081382572,NA,NS
AMPH,AMPH,237,234,197,198,326,241,233,203,230.99960623599986,0.005556324427576574,0.023490260271950544,0.19074842107715484,NA,NS
AMT,AMT,46,26,41,33,63,44,45,46,42.24979031239783,-8.064973990258912e-4,0.022344591608570427,0.6920813643391706,NA,NS
ANAPC10,ANAPC10,294,205,225,269,492,231,345,297,286.8579776360199,-0.002658312012737755,0.021831534385444266,0.4351694621039714,NA,NS
ANAPC11,ANAPC11,1000.988,686,823.001,823.001,1539,1010,993.993,856,943.2557182956141,-0.002199606171913966,0.01933191755163585,0.6107976036252714,NA,NS
ANAPC13,ANAPC13,1440,1204,1159,1218,2227,1452,1607,1263,1414.2031181590298,-0.00209208161653451,0.01681258676685372,0.6450805359208631,NA,NS
ANAPC15,ANAPC15,762,613,658.001,690,1112,748,832.001,766.999,761.3425775997526,6.50707523977885e-5,0.017824578444916122,0.9880286936260118,NA,NS
ANAPC16,ANAPC16,1750,1301,1273,1495,2440,1808,1788,1434,1626.2735817812209,-8.629746922026688e-4,0.01626847201652594,0.845394205892257,NA,NS
ANAPC2,ANAPC2,1822,1613,1401,1565,2452,2056,2078,1610,1795.6169642372074,-0.001184833716880089,0.015568842038662148,0.7879598117181204,NA,NS
ANAPC5,ANAPC5,2352,2105,1789,2171,3321,2585,2568,2140,2340.2873814880854,9.475590392392667e-4,0.014251455298150638,0.8233400469274259,NA,NS
ANAPC7,ANAPC7,1884,1612,1379,1674,2712,2085,2046,1809,1864.3570449747463,-0.006383785563700762,0.02019298976359637,0.24269709965025657,NA,NS
ANG,ANG,450,328,337,315,556,314,405,320,372.62449664209413,0.0089076059752678,0.027078447133584656,0.0624920408407985,NA,NS
ANGEL1,ANGEL1,967,1023,876,943,1356,1205,1234,1009,1066.603520784559,2.7082670064290095e-4,0.017858363226651176,0.9501972923812693,NA,NS
ANGEL2,ANGEL2,2144.999,2103.999,1827.999,1925.001,2995,2426.001,2600,2080.998,2234.8474362738675,5.109413105067059e-4,0.015561875871642447,0.9071082259314555,NA,NS
ANGPT1,ANGPT1,239,199,175,205,319,261,204,232,226.19655461985852,8.197435921919538e-4,0.020535003969835222,0.8203428112834499,NA,NS
ANGPTL2,ANGPTL2,294,223,220,250,390,296,284,252,271.66285158929514,0.001514999899228126,0.019931420539966212,0.7044295242598999,NA,NS
ANGPTL4,ANGPTL4,330,265,209,254,413,312,316,264,290.11029094910964,0.0015646933720796828,0.020049299333231452,0.6928300305464348,NA,NS
ANK1,ANK1,229.001,224,205.999,255.001,410,282,243,254,257.99447977937325,-7.814584238240096e-4,0.02038735962345202,0.8317320330033353,NA,NS
ANK2,ANK2,98,94,106,103,154,92,112,117,108.89208323602307,0.0018559862818611982,0.021979572200763527,0.5207329052655004,NA,NS
ANKDD1A,ANKDD1A,287,267,272,259,441,319,373,257,304.1440865665534,-1.0618281693568733e-4,0.019669475865645554,0.9784390155608631,NA,NS
ANKDD1B,ANKDD1B,12,5,18,11,20,19,9,23,14.584793865888312,-7.237655350334825e-4,0.022773814871951115,0.5176851268089104,NA,NS
ANKEF1,ANKEF1,135,139,115,121,241,148,160,136,145.85076720569998,-0.0016736203664318107,0.02133027469471544,0.6157632112552694,NA,NS
ANKFY1,ANKFY1,401,493,388,479,620,665,601,493,512.5167312890329,-0.0033433583678857933,0.021737551013748233,0.38229941930702743,NA,NS
ANKH,ANKH,656,517,555,574,943,669,700,547,633.7821772576829,0.0025827138563642663,0.018691648737298644,0.5681541385321969,NA,NS
ANKLE1,ANKLE1,2332,2238,2199,2071.999,3211,2886,3226,2552,2561.361671679897,-0.006212144556665537,0.022479423010132272,0.22256641657655177,NA,NS
ANKRA2,ANKRA2,1050,928,943,990,1546,1087,1352,1032,1099.5951719370105,-7.584682980470249e-4,0.017339084492300053,0.8632231158982283,NA,NS
ANKRD1,ANKRD1,93,56,61,93,122,90,100,75,84.45254258573823,-1.4549956120432856e-4,0.021783654885506182,0.9558788796382991,NA,NS
ANKRD12,ANKRD12,1811,1699,1583,1869,2630.999,2076,2109,1741,1916.2161559435779,0.0046701587447958845,0.01854122493507467,0.352640993666972,NA,NS
ANKRD13A,ANKRD13A,2293,1913.001,1820.001,1976,3238,2579,2365,1962,2227.99257446273,5.904939825919023e-4,0.014731626726993593,0.8908120946221793,NA,NS
ANKRD13B,ANKRD13B,178,200,145,147,229.001,207.001,237,190,189.9784367058876,-8.028307152019702e-4,0.021099207178233714,0.8062874844043658,NA,NS
ANKRD13C,ANKRD13C,1289,1157,987,1136,1782,1439,1597,1245,1307.0008383049324,-0.006131845451243126,0.021036053015189772,0.2507757185813774,NA,NS
ANKRD16,ANKRD16,782,665,635,721,1096,797,806,656,758.3539390473916,0.008644338443068594,0.024139195584728223,0.14353503567326809,NA,NS
ANKRD2,ANKRD2,14,6,9,14,22,18,16,10,13.098124970188454,-7.476366750115368e-4,0.022748848751103556,0.5348345455820626,NA,NS
ANKRD22,ANKRD22,497,439,396,410,714,511,566,456,489.7835916886525,-0.0011338437501782967,0.018244965497415146,0.7940205816694904,NA,NS
ANKRD23,ANKRD23,155,171,144,141,244,195,207,183,177.54667012170938,-0.0028051165727654664,0.021701549424137843,0.43188124117772214,NA,NS
ANKRD24,ANKRD24,24,9,13,7,16,17,17,12,14.159996266390207,2.520980898545867e-4,0.022694170771143395,0.8320645980907238,NA,NS
ANKRD31,ANKRD31,58,56,57,58,90,70,65,41,60.92120804181782,0.001789580014445833,0.022376254507420503,0.4621160360251889,NA,NS
ANKRD34A,ANKRD34A,37,39,24,15,57,36,41,28,33.511738946213335,-8.008951805608405e-4,0.02252923665500977,0.6423508020861372,NA,NS
ANKRD35,ANKRD35,90,78,88,92,136,109,140,109,103.76960815969566,-0.0030769210386716655,0.022662368253741027,0.30066626384092593,NA,NS
ANKRD37,ANKRD37,126,72,97,79,149,116,141,118,110.24130116539345,-0.0026213282986518576,0.02246775894460197,0.3570568704489277,NA,NS
ANKRD39,ANKRD39,686,580,508,521,989,686,693,627,647.8854682152573,-0.0022118401935312783,0.018626090469957574,0.619583397806445,NA,NS
ANKRD42,ANKRD42,25,13,16,14,47,38,20,18,22.56105047538642,-0.0020501474929436794,0.02307830446554339,0.16358396097389227,NA,NS
ANKRD44,ANKRD44,857.001,765,718,817,1197,971,876.999,719.001,853.6194231331526,0.008780268229388584,0.024509572450724378,0.13614753709907765,NA,NS
ANKRD45,ANKRD45,75,43,56,87,118,64,83,72,73.06478425914761,-1.911478076647264e-4,0.02205256285344919,0.9345625403570299,NA,NS
ANKRD46,ANKRD46,2005,1819,1679,1974,3060,2159,2219.999,1939,2073.238688219717,0.0021383162987851697,0.015519693000221851,0.631843189089218,NA,NS
