gene_id,gene_name,Mix_1,Mix_2,Mix_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000141577.14,CEP131,1309,999.001,1086,802.001,728,844.001,852.6801339007864,0.2783141900387795,0.1358384179317227,0.027516747825088856,0.04728494330867339,Up
ENSG00000175040.6,CHST2,3448,2952,3033.972,3192.997,3146,3114,3488.5614681630327,-0.18950953059512404,0.08883548367266854,0.02752155092958563,0.04728586471343689,NS
ENSG00000141469.18,SLC14A1,279.999,196,238.001,148,170.999,175,203.66117372999284,0.2886167957086988,0.14176714354230682,0.027586654100578336,0.04739037370060597,Up
ENSG00000151012.13,SLC7A11,2159,1534,1506,724,814,922,1002.5175387568,0.5220615225681506,0.33711983690735986,0.027597216019693123,0.047401169858995534,Up
ENSG00000163867.17,ZMYM6,501.891,386.033,416.565,312.948,266.116,344.687,376.0030892930839,0.2661684640847326,0.1292232363393425,0.027688157320381986,0.04755000146047934,Up
ENSG00000155666.12,KDM8,105.999,106.001,98,123.001,118.001,123.999,127.83795306239278,-0.35357751532601595,0.1816278536109364,0.027718588411594518,0.047587513056125554,Down
ENSG00000198677.13,SKIC3,745.998,550.999,557.001,409.002,390.999,517.001,524.9979407574306,0.26039664321286854,0.12606763401051213,0.02771636959396524,0.047587513056125554,NS
ENSG00000048140.18,TSPAN17,193,163,184,207.001,195.001,197,189.99916631041796,-0.3017106532877535,0.14954262705916185,0.027744413469243726,0.04762447181941744,Down
ENSG00000115977.21,AAK1,1947,1317,1456,1025,1052.001,1248.001,1331.5883399284457,0.26622697956565866,0.12936154331669167,0.027800133253918044,0.04770533860636726,Up
ENSG00000125482.13,TTF1,724,612,609,585,634,737,654.5580792281296,-0.19389970702973441,0.09121250953243921,0.027798490756144958,0.04770533860636726,NS
ENSG00000140443.15,IGF1R,1830,1303,1370,1146,1056,1225,1269.7506506104028,0.17776369245247206,0.08319144992231707,0.02787816460955756,0.047831834680773636,NS
ENSG00000204217.16,BMPR2,1066.001,722,731,539.015,561,592.016,623.545103992683,0.31191152469399147,0.15579523015106458,0.02791080291150241,0.04788042072217797,Up
