gene_id,gene_name,A5BKO_1,A5BKO_2,A5BKO_3,Mix_1,Mix_2,Mix_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000178896.9,EXOSC4,672.502,688.982,672.554,342.248,320.103,273.976,477.2429300980218,1.0940720876876093,0.15240321888342365,3.4280206356749414e-14,2.4120206148920443e-13,Up
ENSG00000185386.15,MAPK11,103,135,93,270,221,236,143.98501443366752,-1.0775949269604344,0.14997370231563695,3.528429095345549e-14,2.481094621486001e-13,Down
ENSG00000186687.16,LYRM7,2230,2288,2078,1500.001,1196.999,1170.999,1707.2677049623815,0.7753122273965753,0.10550291291629904,3.6245837268716804e-14,2.5470917476976516e-13,Up
ENSG00000125734.16,GPR108,618,1080.998,541.999,1515.998,1330.001,1412.001,943.0764605899383,-0.9188225748428226,0.12629621785453446,3.647237865091001e-14,2.561387200312958e-13,Down
ENSG00000161847.15,RAVER1,3185.078,4102.658,2999.237,2982.945,2383.513,2604,2924.106456404311,0.37101051154916725,0.049430402573183096,3.916021936864487e-14,2.7484075430229415e-13,Up
ENSG00000275342.6,PRAG1,525,626,474,376,268,306,424.5268099744318,0.763541855514632,0.10404451641885494,4.073024115987364e-14,2.8567881805931623e-13,Up
ENSG00000143753.14,DEGS1,694,1015,667,549,477,474,637.106023690454,0.6418432928934299,0.08682389114616183,4.093241129774133e-14,2.86777829210781e-13,Up
ENSG00000177666.17,PNPLA2,920,1387,883,1806,1400,1616.999,1161.4603181500947,-0.5877522583940519,0.07925739508953157,4.09386866821382e-14,2.86777829210781e-13,Down
ENSG00000171840.13,NINJ2,938,1027,963,542,496,525,728.6448462525788,0.8904543707983132,0.12240691214721064,4.103602224229578e-14,2.8727807864126457e-13,Up
ENSG00000008083.14,JARID2,1240,1936,1274,2552,1910.001,2082,1705.028629012914,-0.5460939843642711,0.0734697883139568,4.106799074248897e-14,2.873203746264285e-13,Down
ENSG00000018510.18,AGPS,3994.001,3985.999,3684.999,2686,1977,1967.999,2955.973214624681,0.8236317815044182,0.11275759275598451,4.23879461513093e-14,2.963679616711733e-13,Up
ENSG00000184205.14,TSPYL2,906,1382.279,940.999,1802,1436.001,1599,1199.5838414808384,-0.5723703217517392,0.07717499327696359,4.2753481776216e-14,2.9873523647164297e-13,Down
ENSG00000174695.10,TMEM167A,3480.751,3924.996,3127.991,2855.963,2204.437,2218.302,2890.3719608855104,0.5437664970048998,0.07321131459752046,4.31427049919172e-14,3.012649380721023e-13,Up
ENSG00000135617.4,PRADC1,749,1017,801,544,457,423,637.1887510345927,0.8297467486799917,0.11373069027670411,4.421820558553018e-14,3.085138106721789e-13,Up
ENSG00000144867.13,SRPRB,1747.001,2299,1792,1431,1132.001,1281.001,1596.3753375170422,0.5987202822158686,0.08089970483409645,4.423645958834978e-14,3.085138106721789e-13,Up
ENSG00000148426.14,PROSER2,76,200,94,414.001,366,374.001,213.2360954555768,-1.5879772800352894,0.2292183246120854,4.506443586453227e-14,3.140906152520419e-13,Down
