gene_id,gene_name,A5BKO_1,A5BKO_2,A5BKO_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000198420.10,TCAF1,436.684,929.701,426.346,640.224,650.857,741.136,723.0225016844932,-0.167823317270841,0.10763224434491614,0.010795651871902486,0.08981715480258942,NS
ENSG00000103257.9,SLC7A5,9782.218,20627.925,9266.836,14522.216,14113.097,14657.458,14523.919287850034,-0.17036040413399178,0.10207636604705173,0.010959009956200643,0.09057422616489695,NS
ENSG00000130511.16,SSBP4,2426.994,2503.954,2322.993,1760.951,1775.954,1745.944,1949.239809758764,0.16819270812543577,0.08895520340991135,0.010981037451795404,0.09057422616489695,NS
ENSG00000132953.18,XPO4,1895,1407,1873,1005,1088,1217,1254.9237018555318,0.15834178323087156,0.11550755192071953,0.010934488589942516,0.09057422616489695,NS
ENSG00000154945.7,ANKRD40,1945.703,1792.649,1741,1255.635,1344,1310,1567.9825649375568,0.17062652646019785,0.09515111309856204,0.010960343923360046,0.09057422616489695,NS
ENSG00000155368.18,DBI,3005.001,3805,2697,2552,2492,2334.001,2448.444160102716,0.13594454931652292,0.06138270688103055,0.01097998287285432,0.09057422616489695,NS
ENSG00000163376.11,KBTBD8,707,580,630,404,441,426,502.30830526378,0.16578197172497425,0.10952585403080581,0.010976478621408228,0.09057422616489695,NS
ENSG00000104774.13,MAN2B1,1293.619,2126.514,1116.943,1509.503,1633.931,1570.805,1606.0857930896107,-0.16698985802846242,0.08711125552961552,0.011015253398587154,0.09061714165475122,NS
ENSG00000156504.17,PABIR2,1940.999,2178.999,1803.999,1453.001,1514,1566.999,1605.8187514984677,0.15038156086737411,0.0709298924187471,0.010998153959022901,0.09061714165475122,NS
ENSG00000172167.8,MTBP,541,476,537.999,309,338,378,422.46622649444924,0.1647615830204941,0.11047186865571729,0.011010117172711836,0.09061714165475122,NS
ENSG00000088305.19,DNMT3B,1208.003,799,1065,629.999,596.998,688.001,765.5812816328674,0.15330219419163046,0.11824232535770972,0.01106481004947834,0.09094497382772986,NS
ENSG00000151576.10,QTRT2,1519,1415,1478.999,992.001,973,1109,1018.8939919769105,0.1703585326326937,0.10102822791006062,0.011076471930192155,0.0909610359210346,NS
ENSG00000145337.5,PYURF,731.348,721.018,719.93,473.144,518.736,518.382,620.126692827419,0.17037535559120082,0.1005124931982103,0.011113089494497646,0.09110205473617054,NS
ENSG00000168288.13,MMADHC,2398,2839,2325,1936,1935.001,1906,2224.7102217171005,0.15021401531379963,0.0709738275425784,0.011112304954885223,0.09110205473617054,NS
ENSG00000055118.17,KCNH2,795,2211,692,1510,1622,1542.001,1249.5718642058857,-0.14385197985120682,0.12256083228304049,0.011214920180119456,0.09141117580172096,NS
ENSG00000100601.10,ALKBH1,500,576.001,429,378,356,374,436.1679634538972,0.16256525205035868,0.08206148021834615,0.011232210573318692,0.09141117580172096,NS
ENSG00000106086.21,PLEKHA8,668.719,1211.263,684.172,866.911,919.636,893.896,1080.292092168579,-0.16743117555026477,0.08858104342351399,0.01123029606930233,0.09141117580172096,NS
ENSG00000115677.18,HDLBP,9149.999,10498.001,8591,7188,7296.003,7666.001,8460.857948467103,0.13544411622077854,0.061287226635604306,0.011168828276056772,0.09141117580172096,NS
ENSG00000130396.22,AFDN,184.001,513.001,185,343.999,373.002,404.001,444.0319229135582,-0.14481961587230602,0.12215161541603982,0.011203018640736969,0.09141117580172096,NS
ENSG00000160072.20,ATAD3B,1504.806,1123.787,1282.37,782.489,771.246,969.449,861.1423049246972,0.15990923801539653,0.11400037797581271,0.01123859920208992,0.09141117580172096,NS
ENSG00000167799.10,NUDT8,491,454.001,472.999,328,312,300,379.6096923385731,0.16592394078555303,0.10887589418361802,0.011178136457627892,0.09141117580172096,NS
ENSG00000169228.14,RAB24,273,438.709,233.204,342.001,343.58,332.999,410.20054279137327,-0.17008639306538534,0.09551400005750442,0.011232050528886447,0.09141117580172096,NS
ENSG00000189298.14,ZKSCAN3,251,505.194,225,340.509,394.296,400.367,362.78361872610805,-0.1641975020383585,0.1105284045564431,0.01123433850931646,0.09141117580172096,NS
ENSG00000168066.22,SF1,6808.001,7288,6705,5085,4878.997,5581.999,5306.154211959014,0.16219521000910794,0.0817122549703927,0.011256955768945746,0.09148107160019224,NS
ENSG00000126953.8,TIMM8A,516,550.999,493,353,395,343.001,353.26324458992326,0.1701370737341375,0.09779444176323579,0.011310821826347354,0.09162384570895248,NS
ENSG00000165632.9,TAF3,601,682,556,426,475,459,573.0979715075177,0.16230184397624942,0.08197338437212769,0.01131949781275296,0.09162384570895248,NS
ENSG00000169375.17,SIN3A,2016.001,2930,1886.998,2143.001,2203.999,2246.999,2235.3247731384527,-0.1261582859002974,0.05606134992893036,0.011287074557018195,0.09162384570895248,NS
ENSG00000179526.17,SHARPIN,648,743.999,612,484.999,488,508.999,615.9861832154503,0.16241293663108713,0.08209502957121298,0.011318882560699201,0.09162384570895248,NS
ENSG00000196550.11,FAM72A,1255.295,1496.484,1116.492,903.782,900.538,1102.169,1264.1302808553867,0.1558389852638321,0.07576686109926767,0.0113234165774778,0.09162384570895248,NS
ENSG00000153560.12,UBP1,2879.999,4407,2636,3166,3155,3403,2830.3037091306023,-0.14060027568361083,0.06469841863285018,0.011357896617482178,0.09182354728715099,NS
ENSG00000176148.16,TCP11L1,191,359,154,262.999,275,277,302.0977043991352,-0.16399874200425463,0.11043528739640578,0.011367829330574272,0.0918246214030008,NS
ENSG00000118922.19,KLF12,800,804.999,729,540,547,591,847.7191699541397,0.16884757207857845,0.09220745017050895,0.011379676651057167,0.09183030280049109,NS
ENSG00000157514.18,TSC22D3,101,155,105,133,134,132.001,386.7856765701399,-0.1699552630330283,0.09842984357558478,0.011393338571081452,0.09183030280049109,NS
ENSG00000182199.11,SHMT2,2480,4002,2256.002,3030.999,2908,2865,3801.644178373281,-0.15709348079258104,0.07699573238180271,0.011397934061576428,0.09183030280049109,NS
ENSG00000141526.18,SLC16A3,598,978,596.001,747,718.001,744,1312.06838131399,-0.15842537334264806,0.07830837308456554,0.01144733225909527,0.09214905779013977,NS
ENSG00000204472.13,AIF1,2888,3417,2833.001,2350,2419,2232,2429.9729177869217,0.1485909302875454,0.07027733625178577,0.011458821573585425,0.09216236750600466,NS
ENSG00000122126.18,OCRL,218,391,234,318,281,329,313.6668202939531,-0.1696955385521218,0.0995960959675268,0.011477875101387161,0.09217621499317134,NS
ENSG00000176454.15,LPCAT4,571,520,494.001,373,343.001,375,444.729305982855,0.16910622748266144,0.10237807675146877,0.011480218025296795,0.09217621499317134,NS
ENSG00000169016.17,E2F6,1041.948,1029.98,1059.956,751.977,742.895,693.853,798.3830842490759,0.16954598030101864,0.09989633182354596,0.011530428614192853,0.09250009941351629,NS
ENSG00000183971.10,NPW,2976,4010,2745,2574,2472,2212,2548.197267149115,0.15517890667414286,0.07558462467400875,0.011546735468997264,0.09255167779683862,NS
ENSG00000113300.13,CNOT6,1002,1505,981,1163,1108,1165.999,1152.3189031216946,-0.14081926555631682,0.0650955022458594,0.011575602389514954,0.09270375588867959,NS
ENSG00000164051.14,CCDC51,492.123,492.982,431.66,319.49,316.311,323.171,352.2125011108054,0.16793859163808886,0.10466520524122601,0.01158620733842644,0.09270944727673419,NS
ENSG00000137267.7,TUBB2A,116.719,245.459,105.291,198.97,175.685,194.752,186.01241680177043,-0.15437202604926756,0.11696639408870378,0.0116169000303063,0.09274429598675571,NS
ENSG00000142544.7,CTU1,527,574,504,403,362,343,372.5593330767852,0.16928290673493598,0.10036743148873856,0.011620256508906211,0.09274429598675571,NS
ENSG00000271601.4,LIX1L,2431,2252,2208,1594,1696,1647,2137.99546562601,0.16911261780960443,0.09470301879101745,0.01160486706440804,0.09274429598675571,NS
ENSG00000058453.17,CROCC,833.132,652.845,669.378,414.767,471.849,521.789,559.8552372843178,0.1618560447124155,0.11172243672003389,0.011696316170317975,0.09285386695102339,NS
ENSG00000061938.21,TNK2,495.241,1175.276,478.948,806.067,787.886,945.037,811.2009666931021,-0.15798127605138473,0.11466654256200981,0.011672829359675027,0.09285386695102339,NS
ENSG00000076003.5,MCM6,9695,9934,8894,7214,7167,7058,7893.611228139007,0.15947007036605243,0.07984551436137884,0.011713262618581606,0.09285386695102339,NS
ENSG00000105245.9,NUMBL,465,447,416,280.999,300,317.999,322.9906733932538,0.16748227009410943,0.10511877827783156,0.01168746956361531,0.09285386695102339,NS
ENSG00000111696.12,NT5DC3,554,468,546,288,319,382,366.58427560489633,0.15539201978266512,0.11630717391175456,0.011667113158031829,0.09285386695102339,NS
ENSG00000131732.12,ZCCHC9,1051.999,1333,998.001,890.001,873.999,838,1012.184506449888,0.14249592647456383,0.0662845288988001,0.01164885738399767,0.09285386695102339,NS
ENSG00000151474.23,FRMD4A,341,187,301,145,162,135,164.8415200365261,0.1237638159728364,0.13001201883458027,0.011706820095897621,0.09285386695102339,NS
ENSG00000170802.17,FOXN2,1482,1558,1338,1018,1071,1154,1243.8868755545195,0.1628747777120738,0.08356940828267932,0.01171009435579362,0.09285386695102339,NS
ENSG00000069509.6,FUNDC1,345,358,326,239,250,212,283.1451089489256,0.16815326495517485,0.10324668234832415,0.01178003714515545,0.0930682529933445,NS
ENSG00000119684.16,MLH3,698,617,656,430,399,494.001,486.45690555214156,0.16546058268149896,0.10789807945891325,0.011765680825471492,0.0930682529933445,NS
ENSG00000157873.18,TNFRSF14,131.998,298,96,233.001,203.001,237.999,272.67322865828567,-0.1425430361416008,0.12257318281214355,0.011755999064263414,0.0930682529933445,NS
ENSG00000171608.18,PIK3CD,845.998,1521.001,751.001,1051.002,1112,1165,1022.719910412022,-0.16892366613337517,0.09557172173739877,0.011773246185904173,0.0930682529933445,NS
ENSG00000204599.16,TRIM39,410.857,770,376,548.001,541.946,612,585.6897743806298,-0.16886556716275164,0.10065131721981048,0.011791859040712309,0.09308316698523532,NS
ENSG00000168003.19,SLC3A2,4436,8944.004,4261,6437,6327.998,6287,7432.708632113057,-0.16893778604082726,0.09976682134099663,0.0118209082852443,0.09323393150903965,NS
ENSG00000143436.11,MRPL9,1979,2332,1965.99,1627,1604.938,1532,1716.8625559271288,0.15296245341103407,0.07422481590024438,0.011848792878560601,0.09329679770765784,NS
ENSG00000151502.11,VPS26B,1989.999,2436.001,1733.001,1535.001,1658,1601,1945.2133887644316,0.13429283456813404,0.06130681134998066,0.01184651035786731,0.09329679770765784,NS
ENSG00000153046.18,CDYL,694,1366.999,643,954,965,1039,940.5987761048959,-0.16837604475880566,0.10179508536566961,0.011899760216089142,0.09346249222527683,NS
ENSG00000184602.6,SNN,411,984,357,690,721,715,613.6665739268832,-0.15163161367566144,0.11814252234784565,0.011891825365121718,0.09346249222527683,NS
ENSG00000198771.11,RCSD1,2699.999,2996,2616,2166,2092,2049.001,3361.16567920322,0.15439677972992497,0.07548938075644482,0.011889603263758073,0.09346249222527683,NS
ENSG00000102967.12,DHODH,547.001,551.002,500.999,370,353,361,367.6875665922624,0.16715530228150047,0.10463717134443469,0.011959394309976784,0.09368592486864044,NS
ENSG00000109046.15,WSB1,1567,2601.001,1406.001,1830,1827.001,2033,1982.5410696147735,-0.1610175802549711,0.08206577764296692,0.011988198923959434,0.09368592486864044,NS
ENSG00000124596.17,OARD1,582.281,1021.498,556.716,790.862,740.879,732.083,935.6993723735225,-0.16660529110150618,0.08990495475651902,0.011959145000705947,0.09368592486864044,NS
ENSG00000137343.18,ATAT1,202.999,334,140.001,252.001,261,279.999,243.94732140037985,-0.16120341655511675,0.11179296818977698,0.011963471622795745,0.09368592486864044,NS
ENSG00000185658.14,BRWD1,875,1374,729.999,956.001,1020.9,1104.001,1124.492633325916,-0.1637991558803153,0.08545886535876604,0.01198064429466962,0.09368592486864044,NS
ENSG00000197903.8,H2BC12,370.98,268.625,324.906,206.989,182.667,214,389.01225617806205,0.15293801800967013,0.11733720465242303,0.011973879413390637,0.09368592486864044,NS
ENSG00000154803.13,FLCN,629,919.331,545,720,672,743.999,727.250724764677,-0.1582264546615199,0.07917567959878097,0.011999639691128534,0.09369718658822863,NS
ENSG00000033050.9,ABCF2,1805.078,2122.784,1769.521,1456.017,1383.023,1472.532,1350.804754530104,0.1539025640365223,0.07545008422694806,0.012123950709112895,0.09458902426676755,NS
ENSG00000010818.11,HIVEP2,634,1089,569,768,796.999,899,937.0899758835346,-0.168070823764028,0.09638440264806145,0.012236810061480365,0.09491631645370117,NS
