gene_id,gene_name,J_904,J_897,J_899,A,B,C,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000040809.11,Chil3,2,7,11,193,173,53,88.20528029398776,-2.652945878679377,1.3753599542385495,4.213860084583227e-7,1.7251413449300391e-4,Down
ENSMUSG00000032526.12,Ss18l2,1937,2659.999,2503.001,1414,1375,1212,1676.0888395804318,0.7904151389649594,0.20452914104659048,4.418514359884485e-7,1.7271481686748465e-4,Up
ENSMUSG00000021606.9,Ndufs6,3288,5277.995,4334.998,1758,2290.987,1982.996,2954.9697004766517,0.98567911076979,0.25653665691195904,4.7057341098190706e-7,1.7897051457668639e-4,Up
ENSMUSG00000021290.7,Atp5mj,9311,16175,14086,5374,6849.999,5909,8365.881401243307,1.0016712588315844,0.2628907767308114,5.259522277705318e-7,1.947684144522875e-4,Up
ENSMUSG00000059534.9,Uqcr10,8253.999,12417,10861,4551,6118,4934,7235.245993294427,0.920502371893187,0.24457478610549957,6.336914755501606e-7,2.286488831779964e-4,Up
ENSMUSG00000045322.11,Tlr9,54,31,74,289,182,172,99.4542667358138,-1.3605754947312492,0.4013780310504377,7.34055731672115e-7,2.5824080640225006e-4,Down
ENSMUSG00000037152.12,Ndufc1,3996,6699.999,5949,2045,2749.999,2188,3437.5941058978215,1.075193179841157,0.2918770213689301,7.614452123773595e-7,2.613428543554684e-4,Up
ENSMUSG00000029632.8,Ndufa4,14426,24206.992,20225,8950.999,11261.999,8808.001,13416.771064326304,0.9218347741987414,0.2492103953256704,8.052016911186902e-7,2.6978090946243354e-4,Up
ENSMUSG00000032330.8,Cox7a2,7938,10881,10853,6482,6635,6076,7307.063218475309,0.6174758651437049,0.16047803279431144,8.874251660763368e-7,2.9041504504712123e-4,Up
ENSMUSG00000003955.9,Fam162a,1641,2247.999,2166,1178.001,1298.001,1223,1524.723327495613,0.6805610940222216,0.18156642215835694,9.405333303475135e-7,3.0079965965114114e-4,Up
ENSMUSG00000076609.3,Igkc,171,296,184,45,21,26,119.83747985721824,1.7515869665933876,0.7763153704766623,9.836073999099586e-7,3.0758496292295417e-4,Up
ENSMUSG00000016427.8,Ndufa1,3588,4894,4538,1614,2373,2247,2928.20421910847,0.9390143137788309,0.2582638066576111,1.0059239738749224e-6,3.077252643558241e-4,Up
ENSMUSG00000029499.12,Pxmp2,316,427,383,185,193,185,297.91180465976976,0.9037285273258006,0.24986088447410415,1.094578014399142e-6,3.277213152898878e-4,Up
ENSMUSG00000063882.13,Uqcrh,18512.001,23658,25383.999,14840.999,15020,14535,17249.793254403918,0.5949921354377478,0.1552643450619169,1.123692249709847e-6,3.294291112066035e-4,Up
ENSMUSG00000020163.13,Uqcr11,4394,7113,5584,2450,3185,2515,4098.4777446279,0.9465416254500753,0.2649192701651521,1.2509627928888256e-6,3.592560902353379e-4,Up
ENSMUSG00000016252.8,Atp5f1e,11837,24413,16841.001,6253.001,8168,6507,11281.019228226378,1.114186210078827,0.32106700976676955,1.3846762343706877e-6,3.689275030523135e-4,Up
ENSMUSG00000040048.15,Ndufb10,8491,12457,11597,5324,5756.001,5620,7646.04472594973,0.8677736876742383,0.24390336431662424,1.3869512853312788e-6,3.689275030523135e-4,Up
ENSMUSG00000045996.13,Polr2k,2559,3609.998,3234,1525,1809.994,1845,2060.734631975789,0.7890199422457695,0.22079766750778237,1.4157252106896623e-6,3.689275030523135e-4,Up
ENSMUSG00000067149.7,Jchain,220,293,168,30,18,28,130.9163068029214,1.8333234572332258,0.951330671105975,1.342635090550648e-6,3.689275030523135e-4,Up
ENSMUSG00000071547.5,Nt5dc2,190.999,149,208.999,540,599,328,337.1102178710343,-1.0256225636129275,0.2915081803706429,1.3939888995933917e-6,3.689275030523135e-4,Down
ENSMUSG00000020483.15,Dynll2,8957,9665,9339,6234.001,5878,6237,6822.267785224969,0.5996820566092119,0.15964926957429326,1.4830921784560218e-6,3.741931027367288e-4,Up
ENSMUSG00000021040.16,Slirp,2093.001,3193,2864.999,1405,1706,1427.999,1798.3229061043041,0.778223508364753,0.21830292504849433,1.4891141098107455e-6,3.741931027367288e-4,Up
ENSMUSG00000018770.10,Atp5mc3,18676,28959,26658,12195.999,14845,11239,17510.57232891181,0.8606139713091769,0.24476252431263237,1.62526840101725e-6,4.0124170068622355e-4,Up
ENSMUSG00000028407.5,Smim27,172,349,251,72,93,79,147.0949011346114,1.2626253723487793,0.39169441877033084,1.6826955007668096e-6,4.019847569431535e-4,Up
ENSMUSG00000045316.6,Fahd1,1453,1984,1968,1088,1118,931,1276.6870201652446,0.7339512209835443,0.2062879873225443,1.6854107916178265e-6,4.019847569431535e-4,Up
ENSMUSG00000027983.14,Cyp2u1,144.001,231.001,184.001,99,98,83,131.88536751685655,0.8953430693985804,0.25689950797296407,1.7665167707506156e-6,4.075151475082403e-4,Up
ENSMUSG00000035365.16,Parpbp,30,28,32,155,135,60,65.52935777061754,-1.2841907377470367,0.40558407543809255,1.7623713049980608e-6,4.075151475082403e-4,Down
ENSMUSG00000026568.7,Mpc2,5751,9302.999,7883,3631,3988.999,3212,5300.308403151737,0.9471458516403523,0.27482074460591716,1.929925905318054e-6,4.3803092483283315e-4,Up
ENSMUSG00000022226.7,Mcpt2,1280,2355,1840,758,585,688,1163.5985301717985,1.1484175800138843,0.3496726621370451,2.1508255376821732e-6,4.8041931692481814e-4,Up
ENSMUSG00000018339.13,Gpx3,19193,28694,16537,9695,8722,9069,15972.364361214984,1.0433637970749314,0.31092224890662873,2.2560961971103044e-6,4.960591513396282e-4,Up
ENSMUSG00000028998.7,Tomm7,2912,4115,3371,1806,2058,1847,2494.5929483890864,0.7881163895174291,0.22946888712555683,2.404026552659976e-6,5.204532561389413e-4,Up
ENSMUSG00000030055.17,Rab43,786.984,841.161,632.014,1894.34,1396.705,1565.132,1113.7190067555107,-0.7824962925513701,0.22940402018095754,2.6515829928096075e-6,5.653496344669212e-4,Down
ENSMUSG00000078784.9,Rbis,2223.404,2986.181,3051.214,1827.988,1760.929,1725.982,1916.8273898021705,0.6088792031393084,0.1713360333558513,3.1297325814251493e-6,6.573372669524582e-4,Up
ENSMUSG00000022013.5,Dnajc15,2352,3092.999,2844,1895,1835,1765.001,2131.5952495547795,0.5789797278269752,0.16131967624095186,3.4481858500481945e-6,6.847336733068813e-4,Up
ENSMUSG00000028648.14,Ndufs5,3849.678,5259.985,4717,2235.999,3019.001,2601.001,3383.8865988985817,0.7382333944053623,0.21905691213778433,3.4269120107121056e-6,6.847336733068813e-4,Up
ENSMUSG00000032815.17,Fanca,14,13,19,86,97.999,54,45.71480622202211,-1.3802451027014833,0.5386921169409515,3.4548103187029966e-6,6.847336733068813e-4,Down
ENSMUSG00000038412.9,Higd1a,2076,3090.572,2715.999,1334.001,1659.953,1348.999,1824.6973495584218,0.7744030274716995,0.23109031972321548,3.364644025628179e-6,6.847336733068813e-4,Up
ENSMUSG00000019797.12,Mtres1,2004,2883,2813,1422,1348,1329,1787.7130362211726,0.8098641529034427,0.24520020803291692,3.745948945151702e-6,7.146574476940826e-4,Up
ENSMUSG00000021764.9,Ndufs4,6087.001,8483,8712.999,5223.999,5043,4469,5820.114065441317,0.6255070157182229,0.17985861479358267,3.758147465133749e-6,7.146574476940826e-4,Up
ENSMUSG00000022111.10,Uchl3,1160,1455.976,1459.996,1074,959,979.994,1051.7728883943678,0.46348698650302844,0.11930215320683774,3.7077691603780336e-6,7.146574476940826e-4,Up
ENSMUSG00000023951.19,Vegfa,3139.001,4134.999,4659.001,2290,2590.001,1740.001,2889.4462751924093,0.7642915363783856,0.23035366599847526,3.888267530873845e-6,7.2954267592609e-4,Up
ENSMUSG00000078974.11,Sec61g,4566.679,6213.935,6037.413,2858.252,3281.724,3148.322,3680.895719532248,0.7650872521973052,0.2317012664986494,4.113013961020879e-6,7.615570060458659e-4,Up
ENSMUSG00000041498.15,Kif14,14,14,17,114.001,138,46,56.11628985798768,-1.4367988246549621,0.6624953726878088,4.2305802706055544e-6,7.731522801033943e-4,Down
ENSMUSG00000021496.13,Pcbd2,332,384,342,147,221,184,259.0266181763999,0.8220897188433103,0.252996802278266,4.430667358641252e-6,7.993378342410219e-4,Up
ENSMUSG00000022820.5,Ndufb4,4989.873,8200.385,6223.588,3375.308,3749.189,3006.023,4540.130432041639,0.8292852554165309,0.2560814690584788,4.548288434407211e-6,8.02762275238842e-4,Up
ENSMUSG00000028068.15,Iqgap3,36,31,60,282,246.999,87,115.64156208851108,-1.3271152060297857,0.5175354371088644,4.563742326542592e-6,8.02762275238842e-4,Down
ENSMUSG00000030652.12,Coq7,1004,1388,1433,711.001,868,791,958.7319529040174,0.637698085915239,0.1874179780756741,4.654309104121671e-6,8.085856507802488e-4,Up
ENSMUSG00000043162.8,Pyurf,1160.844,1386.245,1563.448,907.698,872.775,809.756,1003.0554636741163,0.6246348846100549,0.18300079761107607,4.846284850485024e-6,8.316697611710399e-4,Up
ENSMUSG00000033429.11,Mcee,851.999,1177,1190,700.001,636,652,824.8351072848145,0.646262036319222,0.19268693348173552,5.327150961000994e-6,9.031767267856143e-4,Up
ENSMUSG00000022450.7,Ndufa6,4024,6544,5742,2808.001,3073.001,2674,3944.957067380651,0.8138779387979855,0.2555083007707188,5.618769095309206e-6,9.31509377917059e-4,Up
ENSMUSG00000024038.18,Ndufv3,3186.999,4603,3864,2375,2343.001,2109,2890.9511773657864,0.7053390972936353,0.2162910411132771,5.7279574034225125e-6,9.31509377917059e-4,Up
ENSMUSG00000026565.19,Pou2f1,583,472,625,1327,856,943,654.6923922213423,-0.6203960693319325,0.18385209717197634,5.777883876210948e-6,9.31509377917059e-4,Down
ENSMUSG00000031231.5,Cox7b,13885,22323,20211.001,10394,11661,9116,12844.699382560753,0.7612766912921708,0.23705898034116366,5.7624493026478265e-6,9.31509377917059e-4,Up
ENSMUSG00000068184.8,Ndufaf2,487,621,550,305,343,361,385.80951012918,0.6585136642174397,0.1987925678496162,5.8252434093733086e-6,9.31509377917059e-4,Up
ENSMUSG00000046516.12,Cox17,4132,6013,5262,2401.999,3339,2673,3812.6005230273854,0.7679650005964541,0.24006996358727045,5.922013554616079e-6,9.36343536410758e-4,Up
ENSMUSG00000035578.17,Iqcg,229,379,340,140,151,123,190.87147936798104,0.9742298925068993,0.31971159405120825,6.466508472222191e-6,0.0010110745246790075,Up
ENSMUSG00000050608.12,Micos10,6425,8687,8963,5395,5419,5358.001,6001.266357481203,0.5519850160542864,0.1583399616579286,6.5658849165551725e-6,0.0010153311268765316,Up
ENSMUSG00000001663.11,Gstt1,509,570,494,364,301,309,411.2775995959912,0.6480811001927139,0.1976280673558416,6.976086463365674e-6,0.0010670379207878453,Up
ENSMUSG00000084786.10,Ubl5,3143.999,3281.999,3529.999,2234.001,2372.001,2385.999,2568.651544851216,0.5058317141854717,0.1408258966959531,7.097484554732743e-6,0.0010739333618731092,Up
ENSMUSG00000022982.11,Sod1,4415.989,5436.993,4784.992,3300.998,3284.995,3186.981,4033.6595760391206,0.563119883958904,0.16407665781046027,7.270749544203902e-6,0.0010884466764472054,Up
ENSMUSG00000026888.15,Grb14,497,501,686,309,337,223,389.346326225768,0.8196997810602586,0.26478038530292636,7.531923945079353e-6,0.0011156761447911228,Up
ENSMUSG00000026032.9,Ndufb3,5711,6840.981,7710,4277,4349.979,4344,5117.39685601963,0.5968716747735794,0.17971590843802063,8.337204679803022e-6,0.001222095252647793,Up
ENSMUSG00000032089.17,Il10ra,1971,1425,2361,3388,3459,3536,2661.100976225021,-0.599666789673935,0.18110192595746966,8.473708963339416e-6,0.0012292993044547655,Down
ENSMUSG00000061068.8,Mcpt4,1044.796,2039.985,1251,463,433.999,523,917.9895638726698,1.141838421139874,0.42692335587585756,9.349163273462753e-6,0.0013424635263690598,Up
ENSMUSG00000080893.2,Ndufa12-ps,345.127,408.485,445.169,135.143,180.732,218.147,262.72338083772655,0.9303121778447389,0.3164179049608567,9.741612651941837e-6,0.0013846865983649043,Up
ENSMUSG00000021552.8,Gkap1,998.881,1079.057,1160.205,699.07,654.109,700.566,800.2001152842571,0.606600667739707,0.18722276123937226,1.0477920483144945e-5,0.0014744529703881566,Up
ENSMUSG00000015968.19,Cacna1d,372,222.999,384.999,821,720,674,484.4886164782936,-0.8102377642805316,0.2716322762115531,1.1177174257268156e-5,0.0015572791697849254,Down
ENSMUSG00000068079.6,Tcf15,69,116,142,34,44,42,75.98820089113607,1.0566825897129828,0.3862872704512473,1.149646520491499e-5,0.0015860613565055269,Up
ENSMUSG00000056758.15,Hmga2,23,23,14,101,175,98,72.87280151866653,-1.2705565455060912,0.6608125512950775,1.2164303882775926e-5,0.0016619037304701247,Down
ENSMUSG00000034641.3,Cd300ld,1800.951,1456.979,2140.927,4080,3743.853,3387,2397.1038889092024,-0.7262498631279436,0.24150013960991293,1.3103971154117476e-5,0.0017730680969302033,Down
ENSMUSG00000021943.8,Gdf10,722,1315,999,290,244,306,602.2769074886794,1.1706970908880945,0.501303852793722,1.4469096338129704e-5,0.0019378819882894225,Up
ENSMUSG00000040084.10,Bub1b,66,52,81,448,476,166,204.52365261434772,-1.2260565190202755,0.6051844859475116,1.459746239046893e-5,0.0019378819882894225,Down
ENSMUSG00000061518.12,Cox5b,8440.563,12116.595,11513.152,6787.937,6835.562,5569.95,7984.487691146626,0.659911917565451,0.21705178817043383,1.5507223022086664e-5,0.002039417218381341,Up
ENSMUSG00000028416.14,Bag1,6669,8070,8991,6105.999,6096,5649.999,6567.225859893532,0.4299968545119083,0.11931276397909203,1.717840261849848e-5,0.0021975861967955513,Up
ENSMUSG00000035456.10,Prdm8,145,121,121,66,41,35,83.88049170592964,1.0486322262333188,0.4078090279918417,1.703843638656671e-5,0.0021975861967955513,Up
ENSMUSG00000085566.2,A730017L22Rik,66,76,86,170,144,139,93.95090787029812,-0.6727469213391665,0.22448616798637805,1.6926965000885495e-5,0.0021975861967955513,Down
ENSMUSG00000022469.18,Rapgef3,222,196,299,168.999,133.001,151,177.55920699614603,0.5994718309601614,0.19277665198396646,1.7615271975850044e-5,0.002233172137334791,Up
ENSMUSG00000042682.11,Selenok,6847.999,7870.995,7579,5160.998,5196,5410.996,6008.446226944339,0.49131895130934095,0.1450684534923369,1.80565605404073e-5,0.0022486010612797484,Up
ENSMUSG00000063320.12,Uqcc6,156,212.25,149.276,82,90.999,64,124.46404774134064,0.8984432066303093,0.32623790574550254,1.7961774164046365e-5,0.0022486010612797484,Up
ENSMUSG00000057130.13,Txnl4a,832.094,872.297,938.499,759.243,651.251,654.092,738.5445597507586,0.3982143163633607,0.1079944142164117,1.8816315214378553e-5,0.00232265954119943,Up
ENSMUSG00000014294.5,Ndufa2,4093,6265,4899,2409,3039,2664,3758.7032083827353,0.7629605201240026,0.2676343079526145,1.9546231397692507e-5,0.002350893745541273,Up
ENSMUSG00000025204.11,Ndufb8,7916.001,11718.567,9676.999,5773.887,6342,4863.999,7651.129756828138,0.6877340233906445,0.23433477848234419,1.953632110513168e-5,0.002350893745541273,Up
ENSMUSG00000026879.15,Gsn,42398.001,81313.999,42949.999,24235.999,22090.999,23962.001,41100.05153625879,0.9549716666778373,0.3586762134879691,1.935433127477833e-5,0.002350893745541273,Up
ENSMUSG00000004730.16,Adgre1,4631,3514,4733,12513,9350,8974,6265.881550991103,-0.8310565144024119,0.3005994086757586,2.095345955888185e-5,0.002498788838242249,Down
ENSMUSG00000028864.8,Hgf,242.524,178.594,303.19,864.364,633.276,725.152,377.967648286435,-1.0049860352409679,0.3939948627813287,2.1141515724490653e-5,0.002500028649370021,Down
ENSMUSG00000024965.10,Fermt3,1015,729,952,1886.001,1789.999,1347,1223.6860301643478,-0.6015971667634421,0.19736383109682748,2.152371609342824e-5,0.0025031548170803487,Down
ENSMUSG00000041147.11,Brca2,90,67,97,244,261.999,183,128.04193748539686,-0.928551174410365,0.3498666107473964,2.150876379098099e-5,0.0025031548170803487,Down
ENSMUSG00000039081.11,Zfp503,970,1112,1109,546,497,497,757.2784535917468,0.8423443382170751,0.3094939340952454,2.303790830452985e-5,0.002657290538207738,Up
ENSMUSG00000031818.13,Cox4i1,17415.001,25226.001,21440.001,13642,14581,12117.999,17578.055201570394,0.6023236602834361,0.19926556134703188,2.338832973092761e-5,0.0026757770404358806,Up
ENSMUSG00000020022.18,Ndufa12,4785.873,6332.516,6100.831,3484.856,3817.267,3426.853,4173.096757140738,0.6077592751605907,0.20212103699174622,2.3785687749329953e-5,0.0026992919194239605,Up
ENSMUSG00000000563.18,Atp5pb,21446.87,29266.835,30837.821,19161.91,18831.652,17007.867,20783.86326710463,0.5316891248863582,0.1669567991972584,2.41359473211342e-5,0.0027171284056240036,Up
ENSMUSG00000045160.15,Bola3,2046,2977,3018.998,1529.001,1552.001,1323.001,1857.1754807303719,0.7246122680689745,0.26075713105909576,2.8125921536499575e-5,0.0031411743481081114,Up
ENSMUSG00000023473.14,Celsr3,19,15,13,74,50,36,36.732550145013015,-1.0196815372325985,0.43393201146391736,2.9881245581085575e-5,0.0033109361245435925,Down
ENSMUSG00000003134.11,Tbc1d8,430,415,551,827,674.001,641,531.6170822892396,-0.4158249806667307,0.11896542013274848,3.084289602044774e-5,0.0033650936814046814,Down
ENSMUSG00000024099.16,Ndufv2,10941,15823,15411,9324,9518,8181,10535.555160318425,0.5772189635155482,0.19261675698339004,3.0848286306225405e-5,0.0033650936814046814,Up
ENSMUSG00000052270.8,Fpr2,52,47,74,142,152,96,90.33798541535624,-0.7717369324272539,0.28723137665588183,3.173235169550388e-5,0.0034299968257248442,Down
ENSMUSG00000063787.5,Chchd1,2982,4954,4276,2556.001,2391,2133,2844.402691725722,0.6732438973692673,0.23979450015408046,3.1930754986494784e-5,0.0034299968257248442,Up
ENSMUSG00000027379.15,Bub1,71,42,113,385,479,185,220.04534105417832,-1.0929971599264605,0.5650347555119436,3.379030659927183e-5,0.0035914913127347544,Down
ENSMUSG00000036398.14,Ppp1r11,2116,2395,2533,1867,1742.001,1752.001,1877.6123843923635,0.4158623669415092,0.11988246410072612,3.394459526675116e-5,0.0035914913127347544,Up
ENSMUSG00000007080.15,Pole,41,26,56.999,158,181,80,83.90644083760635,-1.009956395143853,0.4440236226872728,3.574339059872127e-5,0.003698389650773571,Down
ENSMUSG00000042724.9,Map3k9,21,21,25,100,51,56,37.43797147933042,-0.9633597620093342,0.40411957586327496,3.5715650254285577e-5,0.003698389650773571,Down
ENSMUSG00000063200.5,Nol7,2861,3742.999,3612,2354.001,2418,2336,2629.913054415327,0.4971199411678204,0.15650642298730674,3.5635890263533195e-5,0.003698389650773571,Up
ENSMUSG00000025402.13,Nab2,814,851,916,1528,1402,1196,1006.901528383125,-0.4499231349222257,0.13538042767460545,3.7164701690883775e-5,0.003816832981034346,Down
ENSMUSG00000040010.11,Slc7a5,146,138,171,423,395,225,221.35025645401512,-0.7709017157554285,0.2928089149082135,3.743056789246303e-5,0.003816832981034346,Down
ENSMUSG00000004044.10,Cavin1,10004,13675,12890,9379,8121,7603,9710.831995420318,0.5132893407683967,0.16587059593018147,3.967149789731949e-5,0.003956843269718787,Up
ENSMUSG00000006717.8,Acot13,2220,2834,2946,1665,1588,1524,1940.6762191296523,0.636438004747224,0.22733169250020363,3.984114567971064e-5,0.003956843269718787,Up
ENSMUSG00000029126.8,Nsg1,388,451,557,375,321,304.001,374.69870400911105,0.46972239189309994,0.14512028709210278,3.956648968467657e-5,0.003956843269718787,Up
ENSMUSG00000091498.5,Mpc1-ps,214.156,248.881,270.992,124.735,123.447,131.612,175.3897624279423,0.758074579928184,0.288649631829977,3.992835022030044e-5,0.003956843269718787,Up
ENSMUSG00000034168.8,Irf2bpl,2176,2749,2590,1621,1808,1619,1987.395492550136,0.5275019848010085,0.17317407217021633,4.051102989518369e-5,0.003986511976818356,Up
ENSMUSG00000044288.7,Cnr1,176,152,119,56,54,66,114.11053917261702,0.9429113246711386,0.39963391442274016,4.091077442127307e-5,0.003997891789278852,Up
ENSMUSG00000066637.3,Ttc32,774,927,848,595,520,508.999,674.9071495776433,0.5815943547294664,0.20098946680523216,4.21532621729211e-5,0.004067513265610635,Up
ENSMUSG00000091537.3,Tma7,5633.265,7633.984,6987.972,4376.997,4553.706,4408.825,5033.883114611686,0.5453461333004713,0.18276023647907855,4.220131728106543e-5,0.004067513265610635,Up
ENSMUSG00000030647.9,Ndufc2,4890,6974,6496,4469,4489,3992,4921.430291012459,0.48337836646976895,0.1531221913536064,4.443159699052141e-5,0.004253343080616445,Up
ENSMUSG00000024542.10,Cep192,446,347.001,522,940,827,725.001,528.7238149320622,-0.6056953155721034,0.21483657628964956,4.5285846900311196e-5,0.004305827280953913,Down
ENSMUSG00000004939.8,Nmrk2,5578,11363,5496,3536,2674,1200,4336.848475683544,1.009534309320874,0.47829846856251546,4.609702871307686e-5,0.004324515920336117,Up
ENSMUSG00000038717.10,Atp5mg,21768.59,31284.888,28141.414,16557.738,18062.093,15759.963,21145.66636538413,0.598168201712609,0.2112584850994574,4.583624272424933e-5,0.004324515920336117,Up
ENSMUSG00000005107.14,Slc2a9,179,159,155,331,275,296,194.7475870499262,-0.5672361278366022,0.19603074517731603,4.720901788674707e-5,0.004352041153010449,Down
