gene_id,gene_name,J_902,J_912,J_896,A,B,C,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000021265.4,Slc25a29,55,124,87,64,61,37,73.83686838774433,0.6436134728470575,0.34170326135780893,6.546994884343737e-4,0.014782655394115033,Up
ENSMUSG00000026755.15,Arpc5l,2531,3255.999,3760.999,3148.999,2864,2620.001,3300.179901471578,0.48342778070844944,0.1959692573519967,6.608873507930748e-4,0.014863631370084233,Up
ENSMUSG00000034902.18,Pip5k1c,1391.999,1559,1202,3367.999,2481.002,2586,2104.4410056663783,-0.39428280565008833,0.1432815844975495,6.615827049752834e-4,0.014863631370084233,Down
ENSMUSG00000038683.17,Pak1ip1,1646.999,1556,1504,1815.999,1782,1738,1796.082546956153,0.2860926650312606,0.09252213690371193,6.599562496305277e-4,0.014863631370084233,Up
ENSMUSG00000023972.11,Ptk7,129,100,109,205,361,374,229.10206676381526,-0.5992868300958678,0.28438129617629215,6.710750538895053e-4,0.014965163361369192,Down
ENSMUSG00000025373.15,Rnf41,758,723,610.999,1289,1265.999,1208.999,1005.5592098526878,-0.2930305066812207,0.09549989104779878,6.716343186950906e-4,0.014965163361369192,Down
ENSMUSG00000032263.15,Bckdhb,1256,549,400,453,475,516,592.8417300521265,0.6211394174773845,0.3081447051841362,6.687514740660738e-4,0.014965163361369192,Up
ENSMUSG00000034265.9,Zdhhc14,423,449,364,442,452,398,439.2473800920612,0.3596391277578605,0.1254862347629187,6.676272247460298e-4,0.014965163361369192,Up
ENSMUSG00000036225.16,Kctd1,160,139,182,130.002,140,93,171.04016171448004,0.5828537249577156,0.26909232808396755,6.704228165715643e-4,0.014965163361369192,Up
ENSMUSG00000048330.15,Ric3,88,62.001,51,66,43,31,55.945776233984766,0.6109528332949273,0.29766305272786964,6.809074373788992e-4,0.015132147128528946,Up
ENSMUSG00000055322.17,Tns1,8252,6679,5607.999,6985,5809,5849,6566.201702866842,0.46979305992684617,0.18816119924221622,6.813661812402314e-4,0.015132147128528946,Up
ENSMUSG00000019841.17,Rev3l,860,903,775.999,1950.001,1395.999,1540.001,1108.753355246436,-0.3472750058857909,0.11984070708278743,6.864861896535191e-4,0.015220861827973517,Down
